N	3gram	Berdyaev_V_1	Myshleni
1	в том что	2	31
2	с другой стороны	1	8
3	вместе с тем	1	3
4	по сравнению с	1	3
5	и что в	1	2
6	но и в	2	2
7	мы видим что	1	2
8	не могут быть	1	2
9	в вопросе о	2	2
10	я думаю что	1	1
11	видим что все	1	1
12	есть прежде всего	1	1
13	бы то ни	1	1
14	вместо того чтобы	2	1
15	то и другое	1	1
16	к тому что	3	1
17	его личности и	1	1
18	в конце концов	1	1
19	в истории человечества	1	1
20	он говорит что	1	1
21	как бы в	1	1
22	но все же	1	1
23	после того как	1	1
24	и хотя и	1	1
25	том что он	2	1
26	как и в	1	1
