N	2gram	Medvedev_F_1	UchenyiS
1	и в	24	14
2	формальный метод	9	11
3	а не	10	10
4	не только	7	10
5	формального метода	16	9
6	прежде всего	22	8
7	и не	20	8
8	не может	16	7
9	в этом	15	7
10	то что	8	7
11	может быть	14	6
12	в искусстве	5	6
13	то же	10	5
14	художественное произведение	6	5
15	в художественном	3	5
16	все это	9	5
17	хотя бы	5	5
18	перестает быть	3	5
19	художественного творчества	1	5
20	с другой	5	4
21	но и	7	4
22	что такое	2	4
23	в их	11	4
24	в россии	3	4
25	в этой	6	4
26	конечно не	4	4
27	литературной науки	1	4
28	то ни	3	3
29	это не	2	3
30	было бы	6	3
31	как и	11	3
32	для этого	4	3
33	в частности	4	3
34	в своей	11	3
35	бы то	3	3
36	произведения искусства	3	3
37	в то	9	3
38	все же	3	3
39	но в	5	3
40	истории литературы	12	3
41	пришлось бы	1	3
42	не следует	1	3
43	же время	8	3
44	в области	3	3
45	у нас	5	3
46	другой стороны	1	3
47	для него	3	3
48	не как	4	3
49	ни было	2	3
50	не о	3	3
51	как такового	2	3
52	а между	1	2
53	именно как	12	2
54	и с	8	2
55	художественного произведения	23	2
56	и через	1	2
57	художественном произведении	3	2
58	материала и	3	2
59	до сих	6	2
60	а как	2	2
61	самом деле	6	2
62	художественных произведений	4	2
63	в итоге	1	2
64	противном случае	1	2
65	должна быть	7	2
66	очень показательна	1	2
67	мы не	3	2
68	не приходится	2	2
69	если бы	4	2
70	ничего не	2	2
71	как таковой	6	2
72	не столько	1	2
73	том что	1	2
74	материал для	1	2
75	сводится к	3	2
76	но даже	1	2
77	мы и	1	2
78	литературы и	2	2
79	в широком	3	2
80	в шкловский	1	2
81	но конечно	1	2
82	с его	4	2
83	но не	3	2
84	в сторону	1	2
85	в противовес	2	2
86	в его	23	2
87	по существу	2	2
88	что и	2	2
89	художественной формы	2	2
90	по себе	5	2
91	сих пор	6	2
92	но это	3	2
93	этом смысле	1	2
94	в противном	1	2
95	интереса к	1	2
96	в том	6	2
97	тех или	1	2
98	это уже	1	2
99	и для	1	2
100	что он	3	2
101	поэтики на	1	2
102	теоретической поэтики	3	2
103	в себе	3	2
104	искусства как	2	2
105	при таком	4	2
106	формы и	5	2
107	в самом	5	2
108	между тем	2	2
109	только в	2	2
110	мы получаем	1	2
111	не в	8	2
112	для всех	1	2
113	и является	2	2
114	в системе	2	2
115	не есть	2	2
116	этом отношении	1	2
117	или иных	1	2
118	фактов и	2	2
119	его и	2	2
120	бы и	1	2
121	всех этих	3	2
122	не могут	1	2
123	могут быть	1	2
124	смысле этого	3	2
125	а о	1	2
126	как раз	2	2
127	таким образом	13	2
128	даже и	2	2
129	ее содержании	1	1
130	литературного факта	1	1
131	и это	2	1
132	на лингвистику	1	1
133	гораздо больше	1	1
134	от произведения	2	1
135	конструктивный принцип	1	1
136	литературы а	3	1
137	общих принципов	1	1
138	как таковым	2	1
139	же как	2	1
140	связанных с	1	1
141	искусство и	1	1
142	в этот	1	1
143	формальным методом	2	1
144	даже не	1	1
145	входит в	6	1
146	данном случае	1	1
147	или иначе	2	1
148	только при	1	1
149	искусства в	4	1
150	к следующему	1	1
151	существует в	1	1
152	может пройти	1	1
153	вопросам методологии	1	1
154	из самых	1	1
155	в произведении	2	1
156	установка на	1	1
157	в пределах	6	1
158	и др	5	1
159	к которой	1	1
160	что для	1	1
161	слова а	1	1
162	наших формалистов	5	1
163	никогда не	4	1
164	полагаем что	2	1
165	литературного произведения	4	1
166	произведение как	3	1
167	так и	18	1
168	сводить к	1	1
169	одной стороны	4	1
170	той же	1	1
171	историю литературы	2	1
172	этого не	1	1
173	до конца	7	1
174	оно все	1	1
175	исторической поэтики	3	1
176	с тем	2	1
177	место и	1	1
178	и техники	2	1
179	методом и	1	1
180	смысле можно	1	1
181	основные определения	1	1
182	искусствоведения и	1	1
183	как целого	1	1
184	даны не	1	1
185	развитие в	1	1
186	об ее	1	1
187	об искусстве	3	1
188	в словах	1	1
189	и даже	3	1
190	должно быть	11	1
191	метода в	6	1
192	по теории	1	1
193	и форм	2	1
194	современном европейском	1	1
195	формализма в	2	1
196	можно сказать	1	1
197	смысле и	1	1
198	как элемент	2	1
199	пройти мимо	1	1
200	или менее	6	1
201	в г	1	1
202	все элементы	1	1
203	произведения как	2	1
204	материал и	1	1
205	искусства и	5	1
206	науки они	1	1
207	метод и	3	1
208	как на	4	1
209	приводит к	2	1
210	поэтики это	1	1
211	и отчетливых	1	1
212	в ней	10	1
213	и потому	9	1
214	почти не	2	1
215	в котором	1	1
216	основными понятиями	1	1
217	и что	2	1
218	и содержание	2	1
219	утверждение примата	1	1
220	в различных	2	1
221	единства и	2	1
222	из которых	1	1
223	содержания в	1	1
224	литературные произведения	2	1
225	как таковая	1	1
226	противников в	1	1
227	все в	2	1
228	искусства не	2	1
229	в той	1	1
230	своей работе	2	1
231	ее существование	1	1
232	ее к	2	1
233	он может	1	1
234	в данном	1	1
235	что же	1	1
236	поэтика должна	2	1
237	бы в	3	1
238	не входит	1	1
239	того что	5	1
240	и возможностей	1	1
241	друг другу	1	1
242	и приемы	1	1
243	образом на	2	1
244	отдельности и	1	1
245	произведения в	8	1
246	на его	2	1
247	ней не	1	1
248	говорит он	3	1
249	тому чтобы	1	1
250	оно является	1	1
251	это значит	1	1
252	и являлись	1	1
253	нет и	2	1
254	и единого	1	1
255	за пределы	2	1
256	на то	1	1
257	к изучению	1	1
258	все детали	1	1
259	и вся	1	1
260	поэтики еще	1	1
261	его как	3	1
262	отнюдь не	6	1
263	она не	6	1
264	задачи и	4	1
265	органического единства	1	1
266	самое ее	1	1
267	существенным является	1	1
268	независимо от	4	1
269	его на	1	1
270	принципов и	1	1
271	основные понятия	1	1
272	литературы как	3	1
273	историческая поэтика	2	1
274	как элементы	1	1
275	в своем	11	1
276	поэтики и	1	1
277	как нам	1	1
278	нам думается	1	1
279	но для	3	1
280	и все	6	1
281	художественного восприятия	2	1
282	произведения а	2	1
283	она должна	3	1
284	связанных и	1	1
285	произведений и	1	1
286	и барокко	2	1
287	которых она	1	1
288	процессе художественного	1	1
289	анализ его	1	1
290	на своем	2	1
291	более или	6	1
292	как таковое	2	1
293	и отчетливо	1	1
294	на элемент	1	1
295	есть ли	1	1
296	поэтикой и	1	1
297	произведения нельзя	1	1
298	и действительно	1	1
299	в точном	1	1
300	метода не	1	1
301	конкретную жизнь	1	1
302	по мнению	1	1
303	метод должен	1	1
304	в которой	4	1
305	бы ни	5	1
306	истории искусств	1	1
307	это то	1	1
308	понятие формы	1	1
309	он пытается	1	1
310	эти тенденции	1	1
311	не было	3	1
312	так или	1	1
313	науки об	12	1
314	довести до	1	1
315	таком понимании	2	1
316	он в	2	1
317	с одной	4	1
318	с которыми	1	1
319	тем более	1	1
320	построения и	1	1
321	начала и	2	1
322	краткий срок	1	1
323	этого построения	1	1
324	литературы в	8	1
325	уже не	2	1
326	творчество и	1	1
327	далеко не	1	1
328	и необходимо	1	1
329	же в	3	1
330	направлено на	1	1
331	в процессе	9	1
332	в виде	1	1
333	широком смысле	1	1
334	теории и	1	1
335	для формалистов	1	1
336	что было	2	1
337	в нем	14	1
338	точном смысле	1	1
339	или даже	1	1
340	методологии истории	1	1
341	он не	3	1
342	а для	1	1
343	сказать что	1	1
344	только как	2	1
345	не связанных	2	1
346	история литературы	9	1
347	и истории	5	1
348	они в	1	1
349	впервые в	1	1
350	не значит	1	1
351	часто встречается	1	1
352	конструктивное значение	4	1
353	исходить из	4	1
354	данного произведения	2	1
355	понимании форма	1	1
356	он и	1	1
357	морали религии	3	1
358	этот процесс	1	1
359	мы полагаем	2	1
360	религии и	1	1
361	в отдельности	1	1
362	и материал	1	1
363	в современном	2	1
364	правда не	1	1
365	не для	3	1
