N	3gram	Berdyaev_N_1	Istorich
1	с другой стороны	2	8
2	не только в	1	5
3	о том что	1	5
4	так же как	2	4
5	с одной стороны	2	4
6	в том что	1	4
7	то что в	1	3
8	не может быть	4	3
9	то время как	1	2
10	но и в	1	2
11	до сих пор	1	2
12	в том чтобы	1	2
13	в то время	1	2
14	как и в	1	2
15	только потому что	1	1
16	был ли он	1	1
17	а не с	1	1
18	а не в	1	1
19	совсем не в	2	1
20	будет сказать что	1	1
21	же как и	1	1
22	он не может	2	1
23	и оно же	1	1
24	что он может	1	1
25	в зависимости от	1	1
26	о том чтобы	1	1
27	в большинстве случаев	1	1
28	совершенно так же	1	1
29	не знает что	1	1
30	можно было бы	1	1
31	и не в	1	1
32	вместе с тем	2	1
33	другой же стороны	1	1
34	что в эту	1	1
35	то что он	1	1
36	и потому что	1	1
37	это значит что	1	1
38	вопрос о том	2	1
39	и все они	1	1
40	конечно не в	1	1
41	она не может	2	1
42	с другой же	1	1
