N	4gram	Losev_Prob_1	Russkaja
1	что бы то ни	1	3
2	во что бы то	1	3
3	бы то ни стало	1	3
4	и в том и	1	2
5	том и в другом	1	2
6	в том и в	1	2
7	и в другом случае	1	2
8	даже и в этом	1	1
9	и с точки зрения	1	1
10	одного и того же	2	1
11	и на то что	1	1
12	дело в том что	3	1
13	указывает на то что	3	1
14	точно так же и	2	1
15	сказать только то что	1	1
16	сводится к тому что	1	1
17	до сих пор мы	2	1
18	во всех этих случаях	1	1
19	можно сказать только то	1	1
20	которых мы говорили выше	1	1
21	заключается в том что	1	1
22	но в то же	1	1
23	о которых мы говорили	1	1
24	хотя в то же	1	1
