N	2gram	Berdyaev_V_1	Myslijsy
1	потому что	4	49
2	для нас	2	31
3	то есть	1	30
4	и в	16	24
5	может быть	1	23
6	в сознании	1	23
7	то что	9	20
8	и не	20	19
9	в том	3	18
10	а не	7	18
11	что в	3	16
12	не только	2	15
13	не в	3	13
14	то же	1	12
15	но не	2	12
16	мы не	2	11
17	вместе с	1	11
18	что и	3	11
19	что мы	4	11
20	только в	2	11
21	тогда как	1	10
22	как в	1	10
23	для него	2	10
24	так как	9	10
25	в нем	4	9
26	вовсе не	1	9
27	то и	1	9
28	но и	5	9
29	как бы	5	9
30	и на	1	8
31	в этом	4	8
32	том что	2	8
33	в одно	1	8
34	могут быть	2	8
35	а в	2	8
36	в чем	3	7
37	во всех	3	7
38	как и	4	7
39	между собою	1	7
40	того как	1	7
41	не могут	2	7
42	быть может	1	7
43	прежде всего	2	7
44	тем что	2	7
45	того что	5	7
46	во всяком	2	7
47	и т	2	6
48	в состоянии	1	6
49	не имеет	3	6
50	между тем	2	6
51	в одном	1	6
52	с другой	1	6
53	не было	3	6
54	этого слова	1	6
55	не есть	6	6
56	если б	1	5
57	что они	7	5
58	все же	1	5
59	уже в	1	5
60	есть не	1	5
61	и уже	1	5
62	по крайней	1	5
63	с ним	2	5
64	так и	4	5
65	а потому	1	5
66	крайней мере	1	5
67	тот же	3	5
68	бы ни	1	5
69	в них	3	5
70	для того	1	5
71	что не	4	5
72	в которой	1	5
73	а между	2	4
74	в самом	1	4
75	еще не	8	4
76	но в	3	4
77	уже не	2	4
78	одно целое	1	4
79	и если	1	4
80	с тем	2	4
81	в котором	4	4
82	они не	1	4
83	и другое	1	4
84	одна из	2	4
85	никогда не	3	4
86	и что	3	4
87	что он	4	4
88	и вместе	1	4
89	души и	1	4
90	если не	3	4
91	в человеке	1	4
92	что оно	1	4
93	от него	2	4
94	человека и	6	3
95	и то	2	3
96	но она	1	3
97	то это	3	3
98	же что	1	3
99	если в	1	3
100	которые не	2	3
101	хотя и	5	3
102	на нас	2	3
103	что это	1	3
104	в целом	1	3
105	т д	2	3
106	о которой	1	3
107	человека в	1	3
108	его не	2	3
109	это не	2	3
110	и тем	1	3
111	и тогда	2	3
112	в этих	3	3
113	в ней	4	3
114	на него	1	3
115	оно не	3	3
116	как не	3	3
117	не с	2	3
118	мы в	1	3
119	в словах	1	3
120	и вообще	1	3
121	находится в	1	3
122	но мы	2	3
123	от них	1	3
124	и во	2	3
125	вслед за	2	3
126	не так	2	3
127	искать в	1	3
128	что на	1	3
129	но это	3	3
130	и для	3	3
131	и от	1	3
132	и все	4	3
133	с ними	1	3
134	от слова	1	3
135	все что	4	3
136	и есть	4	2
137	не имеют	1	2
138	которое может	1	2
139	человеческой природы	1	2
140	вопрос о	1	2
141	с его	3	2
142	с которыми	1	2
143	что во	3	2
144	его на	1	2
145	могли бы	1	2
146	все эти	3	2
147	перестает быть	1	2
148	и по	1	2
149	на этом	1	2
150	но все	1	2
151	в жизни	3	2
152	должно быть	3	2
153	их в	3	2
154	тому что	3	2
155	что есть	5	2
156	есть прежде	1	2
157	того чтобы	2	2
158	во всем	1	2
159	у нас	1	2
160	превращается в	3	2
161	его с	1	2
162	и это	2	2
163	что все	4	2
164	к нам	2	2
165	в себя	2	2
166	после того	1	2
167	слова для	1	2
168	один из	2	2
169	мы видим	1	2
170	и они	3	2
171	нужно знать	1	2
172	но что	1	2
173	у него	1	2
174	а с	2	2
175	себя и	1	2
176	у человека	1	2
177	ничем не	1	2
178	было для	1	2
179	для их	2	2
180	это самое	1	2
181	так же	1	2
182	сделать его	1	2
183	ко всем	1	2
184	и потому	7	2
185	как это	1	2
186	все это	5	2
187	сознании и	1	2
188	в его	4	2
189	что нет	1	2
190	а к	2	2
191	бы в	1	2
192	хотя бы	3	2
193	другой стороны	1	2
194	к этому	1	2
195	отношение к	1	1
196	не имел	2	1
197	и так	1	1
198	по которым	2	1
199	и до	1	1
200	должна быть	3	1
201	и за	2	1
202	и могут	1	1
203	от всякой	1	1
204	для успокоения	1	1
205	не была	1	1
206	только это	1	1
207	мы и	2	1
208	жизни все	2	1
209	бы то	1	1
210	в ее	1	1
211	мы будем	1	1
212	но как	1	1
213	сознания не	1	1
214	себе и	1	1
215	и чем	1	1
216	в истории	8	1
217	еще больше	1	1
218	нельзя более	1	1
219	духа и	2	1
220	в противоположность	1	1
221	и свою	1	1
222	от этого	3	1
223	бы и	3	1
224	в известном	1	1
225	человеке и	1	1
226	его и	2	1
227	нем но	1	1
228	слово только	1	1
229	есть одна	1	1
230	раз навсегда	2	1
231	от которого	3	1
232	на том	2	1
233	не к	2	1
234	на земле	7	1
235	то ни	1	1
236	мы слышим	2	1
237	не будет	2	1
238	и с	1	1
239	теми которые	1	1
240	лишь в	3	1
241	даже что	1	1
242	ни в	3	1
243	превращаются в	2	1
244	и путем	1	1
245	не всегда	1	1
246	для чего	1	1
247	жизни но	1	1
248	таким же	1	1
249	это только	1	1
250	не хотим	1	1
251	в их	1	1
252	в которых	1	1
253	что уже	1	1
254	что я	3	1
255	для всякого	1	1
256	мир и	2	1
257	не понимает	1	1
258	этот мир	1	1
259	раз и	1	1
260	человека есть	1	1
261	на котором	1	1
262	нельзя не	1	1
263	по законам	1	1
264	найти в	1	1
265	и всегда	1	1
266	почему в	2	1
267	ничего не	1	1
268	самого ощущения	1	1
269	это слово	1	1
270	но теперь	2	1
271	до того	2	1
272	уже и	1	1
273	теперь когда	1	1
274	и сам	2	1
275	указать на	1	1
276	к тому	3	1
277	себя только	1	1
278	видно и	1	1
279	слова с	1	1
280	сходятся и	1	1
281	и слияние	1	1
282	и самое	1	1
283	из всего	1	1
284	как мы	1	1
285	в тюрьму	1	1
286	могут и	1	1
287	если они	1	1
288	они нам	1	1
289	образование в	1	1
290	для человеческого	1	1
291	на нее	1	1
292	и которые	1	1
293	по сравнению	1	1
294	и внешней	1	1
295	будет уже	2	1
296	любви к	1	1
297	всего можно	1	1
298	под конец	2	1
299	ее от	1	1
300	в глазах	1	1
301	я вижу	1	1
302	все в	1	1
303	о красоте	1	1
304	как она	1	1
305	и самые	1	1
306	к нему	1	1
307	кроме себя	1	1
308	но с	1	1
309	д и	1	1
310	если исключить	1	1
311	для себя	1	1
312	и быть	1	1
313	по закону	1	1
314	их жизни	1	1
315	имеет своим	1	1
316	их не	1	1
317	же и	1	1
318	и жажды	1	1
319	конечно не	2	1
320	образом соединиться	1	1
321	стать в	1	1
322	не для	1	1
323	давно уже	2	1
324	к человеку	1	1
325	к ним	1	1
326	бы это	1	1
327	нас как	1	1
328	не были	1	1
329	так не	2	1
330	что человек	1	1
331	тот который	1	1
332	и внешнее	1	1
333	всякого смысла	1	1
334	кто знает	1	1
335	для человека	2	1
336	его во	3	1
337	человека к	1	1
338	если оно	1	1
339	сравнению с	1	1
340	а потом	1	1
341	к чему	3	1
342	с этой	1	1
343	чтобы сделать	2	1
344	есть знак	1	1
345	ни для	1	1
346	ничего кроме	1	1
347	для таких	1	1
348	будет понятно	1	1
349	которого они	1	1
350	это как	1	1
351	человек и	1	1
352	тот кто	2	1
353	вообще в	1	1
354	и могли	1	1
355	основанное на	1	1
356	можно вывести	1	1
357	них и	1	1
358	есть уже	2	1
359	к ее	1	1
360	связь с	1	1
361	его к	2	1
362	может и	1	1
363	него то	1	1
364	для нашего	1	1
365	в последнем	2	1
366	есть и	1	1
367	в трех	1	1
368	жизни и	3	1
369	ее в	2	1
370	в своих	1	1
371	в процессе	1	1
372	им и	1	1
