N	3gram	Losev_Vesc_1	Myshleni
1	с точки зрения	3	21
2	для того чтобы	2	18
3	в том что	4	13
4	не только не	2	9
5	по сравнению с	6	7
6	так же как	1	7
7	к тому что	2	6
8	то же самое	1	5
9	в данном случае	2	5
10	с одной стороны	3	5
11	этой точки зрения	1	4
12	в самом деле	4	4
13	потому что у	1	4
14	с этой точки	1	4
15	вместе с тем	1	4
16	не может быть	6	4
17	заключается в том	1	4
18	о том что	4	4
19	на то что	2	4
20	по своей природе	1	4
21	только потому что	1	3
22	одной стороны и	1	3
23	до сих пор	1	3
24	в этом отношении	1	3
25	в собственном смысле	2	3
26	то и другое	4	3
27	одно и то	4	3
28	и то что	3	3
29	так как она	1	3
30	мы не можем	1	3
31	в самом начале	1	3
32	в первом случае	2	3
33	и то же	4	3
34	тем не менее	3	3
35	во втором случае	1	3
36	содержит в себе	4	3
37	все что мы	1	3
38	содержат в себе	1	3
39	можно сказать что	3	3
40	но то что	1	2
41	в той же	1	2
42	из того что	2	2
43	оба эти момента	1	2
44	бы сказать что	2	2
45	как раз в	1	2
46	то время как	1	2
47	в то время	1	2
48	к мысли и	1	2
49	нужно было бы	1	2
50	в свою очередь	4	2
51	у нее нет	1	2
52	по сравнению со	1	2
53	друг с другом	1	2
54	в себе в	2	2
55	что иное как	7	1
56	и есть то	2	1
57	а следовательно и	1	1
58	представим себе что	1	1
59	только и может	1	1
60	то что является	1	1
61	от того и	1	1
62	но мы не	1	1
63	я не хочу	1	1
64	не содержит в	1	1
65	подобно тому как	4	1
66	каждой из них	1	1
67	есть прежде всего	2	1
68	только на то	1	1
69	так что в	3	1
70	то что эта	1	1
71	самом же деле	1	1
72	что она есть	2	1
73	не есть то	2	1
74	существует не только	1	1
75	в уме в	2	1
76	в зависимости от	1	1
77	сам по себе	3	1
78	того что мы	1	1
79	есть не что	5	1
80	не вещь а	1	1
81	как раз и	1	1
82	же самое время	1	1
83	и во всех	1	1
84	от целого к	1	1
85	можно было бы	1	1
86	кроме того что	1	1
87	но если это	2	1
88	в одинаковой мере	1	1
89	что все это	1	1
90	есть то что	4	1
91	и ничего не	1	1
92	стороны и с	1	1
93	было бы вообще	1	1
94	вещи и ее	1	1
95	сравнить ее с	1	1
96	вещи от ее	1	1
97	в одном случае	1	1
98	здесь как и	1	1
99	только не мешает	1	1
100	не только в	4	1
101	сама по себе	3	1
102	в определенном направлении	1	1
103	находятся в разных	1	1
104	того что она	2	1
105	с другой стороны	2	1
106	если это так	1	1
107	не только к	2	1
108	внутренней и внешней	1	1
109	само по себе	1	1
110	во всяком случае	2	1
111	которое и есть	1	1
112	что у него	1	1
113	мы не смогли	1	1
114	только о том	1	1
115	потому что они	3	1
116	ничего иного кроме	1	1
117	что то же	1	1
118	и во всяком	1	1
119	в ряду других	1	1
120	сказать что оно	1	1
121	нельзя было бы	2	1
122	на самом же	1	1
123	и то и	1	1
124	то что мы	2	1
125	это и есть	1	1
126	исходить из того	1	1
127	но и для	1	1
128	это значит что	19	1
129	это есть именно	1	1
130	с другими вещами	7	1
131	она не может	2	1
132	к действительности и	1	1
133	только не есть	1	1
134	имеют в виду	1	1
135	не что иное	7	1
136	в то же	1	1
137	мы имеем дело	2	1
138	прежде мы должны	1	1
139	было сказано что	1	1
140	этим последним термином	1	1
141	прежде всего оно	1	1
142	что между ними	1	1
143	что и в	1	1
144	только тогда когда	2	1
145	в конце концов	2	1
146	как она может	1	1
147	и с другой	2	1
148	есть вещь и	2	1
