N	2gram	Berdyaev_O_1	ViktorSh
1	и в	19	2
2	том что	2	2
3	в том	5	2
4	в конце	1	2
5	под влиянием	1	1
6	ни к	1	1
7	в другом	2	1
8	хотя бы	3	1
9	и не	13	1
10	связаны и	1	1
11	все время	1	1
12	и его	4	1
13	потому что	9	1
14	и то	2	1
15	самом деле	1	1
16	другом месте	1	1
17	все это	6	1
18	чего не	1	1
19	дело в	1	1
20	в частности	1	1
21	речи и	1	1
22	не одно	1	1
23	ведь это	2	1
24	жизнь их	1	1
25	в самом	5	1
26	так как	2	1
27	к чему	1	1
28	но это	1	1
29	в этом	12	1
30	да и	1	1
31	и заключается	1	1
32	к этому	2	1
33	связанным с	1	1
