N	4gram	Vinokur_Vv_1	Psycholo
1	и в самом деле	3	2
2	до тех пор пока	1	2
3	заключается в том что	2	2
4	одной и той же	2	2
5	то же самое что	2	2
6	так как она есть	1	2
7	в то же время	5	1
8	ответить на этот вопрос	1	1
9	того чтобы сделать эти	1	1
10	которая сама по себе	1	1
11	для того чтобы сделать	1	1
12	это то же самое	1	1
13	точно так же как	1	1
14	бы то ни было	1	1
15	все то что могло	1	1
16	не что иное как	4	1
17	с этой точки зрения	1	1
18	было бы сказать что	1	1
19	т д все это	1	1
20	в том или ином	1	1
21	по самой своей природе	2	1
22	для того чтобы он	2	1
23	дело в том что	2	1
24	что в нем есть	1	1
25	и как раз в	1	1
26	какой бы то ни	1	1
27	и т д все	2	1
28	заключается в том чтобы	1	1
