N	3gram	Tiupa_Hudo_1	Problema
1	той или иной	4	11
2	с точки зрения	3	11
3	тем не менее	3	10
4	в том что	7	8
5	содержит в себе	1	8
6	в той или	2	7
7	с другой стороны	5	6
8	то же самое	1	6
9	по крайней мере	1	6
10	о том что	1	3
11	в этом смысле	3	3
12	или иной мере	1	3
13	точно так же	1	3
14	тех или иных	2	3
15	имеем в виду	3	3
16	в коем случае	2	3
17	в связи с	1	3
18	ни в коем	2	3
19	отчет в том	1	3
20	мы имеем дело	2	3
21	того или иного	3	3
22	в то же	5	2
23	в одном случае	1	2
24	себе отчет в	1	2
25	что иное как	1	2
26	к тому же	1	2
27	дело не в	1	2
28	и прежде всего	1	2
29	тот или иной	2	2
30	есть не что	1	2
31	в то время	1	2
32	каждой из них	1	2
33	не что иное	1	2
34	в сравнении с	1	2
35	более или менее	5	2
36	в художественном смысле	1	2
37	сама по себе	2	2
38	в том или	1	2
39	можно даже сказать	1	2
40	заключается в том	1	2
41	для того чтобы	2	2
42	только при условии	1	2
43	а в том	1	1
44	с одной стороны	2	1
45	и тем самым	1	1
46	в таком случае	1	1
47	а не ее	1	1
48	говорит что он	1	1
49	в том числе	2	1
50	если мы имеем	1	1
51	бы то ни	1	1
52	по себе а	1	1
53	в одном и	1	1
54	это и есть	1	1
55	в прошлом и	1	1
56	и в то	1	1
57	как и в	1	1
58	на каждом из	1	1
59	не содержит в	1	1
60	точки зрения логики	1	1
61	еще и потому	1	1
62	ведь это не	1	1
63	имеем дело с	1	1
64	иметь в виду	1	1
65	то ни было	1	1
66	эти символы не	1	1
67	к тому что	2	1
68	так же как	1	1
69	одном и том	1	1
70	что он не	1	1
71	на первый взгляд	1	1
72	в преступлении и	1	1
73	этой точки зрения	1	1
74	в том чем	1	1
75	жизни то есть	1	1
76	действительность в ее	1	1
77	в настоящее время	1	1
78	себе еще не	1	1
79	в основе своей	1	1
80	для искусства в	1	1
81	то есть как	1	1
82	даже сказать что	1	1
83	мастер и маргарита	1	1
84	мы имеем в	3	1
85	только то что	1	1
86	и том же	1	1
87	по себе еще	1	1
88	и поэтому не	1	1
89	в известном смысле	1	1
90	и потому что	1	1
91	не могли бы	1	1
92	начало и конец	2	1
93	прежде всего в	1	1
94	войне и мире	2	1
95	коем случае не	2	1
96	том числе и	1	1
97	именно потому что	1	1
98	чтобы оно стало	1	1
99	еще не есть	1	1
100	преступлении и наказании	1	1
101	в войне и	2	1
102	том что он	1	1
103	ту или иную	1	1
104	с ним как	1	1
105	одно и то	3	1
106	не была бы	1	1
107	в свою очередь	2	1
108	это было бы	1	1
109	или иной эстетической	1	1
110	а в другом	1	1
111	из этих сторон	1	1
112	с этой точки	1	1
