N	2gram	Medvedev_V_1	Istorich
1	и в	2	26
2	и его	1	10
3	так как	1	9
4	и не	1	9
5	то же	1	8
6	в этом	1	7
7	и то	1	6
8	потому что	1	6
9	и только	1	5
10	в другом	1	5
11	к этому	1	5
12	в которых	1	4
13	так в	1	4
14	том что	2	3
15	то чего	1	3
16	в том	2	3
17	только в	1	3
18	по существу	1	3
19	но это	1	3
20	главным образом	1	2
21	хотя бы	1	2
22	стоит на	1	2
23	все это	1	2
24	совершенно ясно	1	2
25	имеется в	1	2
26	в частности	1	2
27	говоря о	1	1
28	чего не	1	1
29	к созданию	1	1
30	бы уже	1	1
31	чем к	1	1
32	к чему	1	1
33	одно и	1	1
34	что имеется	1	1
35	не будем	1	1
36	образом из	1	1
37	на заре	1	1
38	ясно что	1	1
39	тем более	1	1
40	а только	1	1
41	теснейшим образом	1	1
42	не хотел	1	1
43	именно в	1	1
44	по своим	1	1
45	как же	1	1
46	нет есть	1	1
47	под влиянием	1	1
48	говорится в	1	1
49	ни к	1	1
50	поэтического творчества	1	1
51	не играет	1	1
52	по поводу	1	1
