N	4gram	Tiupa_Disk_1	Problema
1	не говоря уже о	2	4
2	с одной стороны и	2	3
3	но в таком случае	1	3
4	только в том случае	1	2
5	заключается в том что	1	2
6	в том числе и	2	2
7	и в то же	1	1
8	которые лежат в основе	1	1
9	внимание на то что	1	1
10	и не может быть	1	1
11	с одной стороны это	1	1
12	в том что всякое	1	1
13	в том что в	2	1
14	в том случае если	1	1
15	ни о чем не	1	1
16	в том или ином	1	1
17	свидетельствует о том что	1	1
18	одним и тем же	1	1
19	подобно тому как мы	1	1
20	с самого начала мы	1	1
