N	2gram	Tiupa_Hudo_2	Freidism
1	и не	18	23
2	не может	4	20
3	точки зрения	2	19
4	прежде всего	3	18
5	к отцу	1	16
6	в этом	13	15
7	в его	11	15
8	в душе	8	13
9	может быть	8	13
10	и его	5	12
11	все эти	1	11
12	как и	11	11
13	с точки	2	11
14	как бы	5	11
15	то что	6	11
16	самом деле	3	10
17	но в	2	10
18	его в	2	10
19	с ним	7	10
20	как мы	2	10
21	так и	8	10
22	и потому	1	10
23	с его	5	9
24	во всех	1	9
25	по отношению	7	9
26	и в	28	9
27	то же	6	8
28	не только	11	8
29	он не	4	8
30	в своей	6	8
31	еще не	3	8
32	оно и	1	8
33	что он	8	8
34	только в	4	8
35	так как	1	8
36	все это	3	8
37	и все	7	8
38	отношению к	7	8
39	все что	3	8
40	в самом	5	7
41	мы уже	3	7
42	отношение к	2	7
43	те же	2	7
44	к нему	3	7
45	один из	2	7
46	мы знаем	2	7
47	что же	2	7
48	сказать что	2	7
49	в ней	3	6
50	за пределы	1	6
51	к смерти	1	6
52	все те	2	6
53	так сказать	1	6
54	и с	6	6
55	и ее	3	6
56	того что	1	6
57	для него	5	6
58	вовсе не	2	6
59	никогда не	5	6
60	хотя бы	2	6
61	совершенно не	1	6
62	я и	6	5
63	и на	3	5
64	он сам	2	5
65	и к	2	5
66	в этой	5	5
67	обыденной жизни	1	5
68	знаем что	1	5
69	не в	13	5
70	в то	6	5
71	в себя	1	5
72	но мы	1	5
73	можно сказать	6	5
74	для того	4	5
75	во внешнем	1	5
76	по мнению	1	5
77	а в	6	5
78	но и	9	5
79	его жизни	5	5
80	что в	5	5
81	той же	2	4
82	мы не	1	4
83	в которой	1	4
84	говорить о	2	4
85	я не	7	4
86	но не	4	4
87	все же	2	4
88	не было	6	4
89	из этих	2	4
90	в пределах	1	4
91	в нем	3	4
92	на этом	2	4
93	то ни	1	4
94	при этом	11	4
95	об этом	7	4
96	с другими	3	4
97	в жизни	8	4
98	во время	1	4
99	не менее	5	4
100	в основе	2	4
101	же время	4	4
102	всей жизни	1	4
103	потому что	2	4
104	и для	2	4
105	к тому	7	4
106	того чтобы	4	4
107	данном случае	2	4
108	сводится к	6	4
109	характер и	2	4
110	с самого	1	4
111	это только	1	4
112	с ними	3	4
113	уже не	10	4
114	в котором	6	4
115	как раз	4	4
116	от того	1	4
117	себя и	2	4
118	в данном	2	4
119	и о	4	4
120	в этих	3	4
121	между ними	2	4
122	в таком	1	4
123	жизнь человека	1	3
124	таком случае	1	3
125	человека и	3	3
126	другому человеку	1	3
127	смерти отца	1	3
128	при анализе	1	3
129	на себя	3	3
130	он был	1	3
131	с отцом	1	3
132	конечном счете	3	3
