N	3gram	Bakhtin_Pr_1	Poddanst
1	в то же	3	7
2	то же время	3	7
3	не только в	2	4
4	в том что	3	4
5	с точки зрения	6	3
6	сами по себе	1	3
7	с одной стороны	3	3
8	одной стороны и	1	2
9	и в то	2	2
10	но и в	2	2
11	и потому в	1	2
12	одна из важнейших	1	1
13	во всей полноте	1	1
14	да и не	1	1
15	далеко не все	1	1
16	в настоящее время	1	1
17	в этом смысле	3	1
18	или хотя бы	1	1
19	и в этом	1	1
20	и не может	2	1
21	хотя бы и	1	1
22	в отличие от	5	1
23	и именно в	1	1
24	не было бы	1	1
25	что дело идет	1	1
26	может и должна	2	1
27	и пр в	1	1
28	и в частности	2	1
29	в применении к	3	1
30	если бы мы	1	1
31	по сравнению с	1	1
32	настоящее время в	1	1
33	не в том	1	1
34	не в пустоте	1	1
35	в творчестве достоевского	1	1
36	с другой стороны	4	1
37	не может быть	11	1
38	та или иная	1	1
39	ни к чему	1	1
40	и тем самым	2	1
41	но в то	1	1
42	не более как	1	1
43	в большинстве случаев	5	1
44	и не менее	1	1
45	как одна из	1	1
46	не входят в	2	1
47	творчества и в	1	1
48	для того чтобы	2	1
49	она может и	1	1
50	и т д	1	1
