N	2gram	Ircho_Kome_3	Mirosoze
1	и в	22	46
2	в нем	3	22
3	у него	4	22
4	может быть	6	21
5	в этом	8	20
6	не только	5	18
7	и не	21	18
8	никогда не	3	18
9	но и	4	15
10	не может	3	15
11	человека в	2	14
12	как и	3	13
13	а не	4	13
14	друг друга	4	12
15	к человеку	2	12
16	прежде всего	5	12
17	потому что	10	12
18	и он	2	11
19	не было	2	11
20	но он	1	11
21	в ней	4	11
22	но в	5	10
23	в себе	4	10
24	он не	5	10
25	он был	4	9
26	не в	4	9
27	не знает	3	9
28	отношение к	5	8
29	в своем	8	8
30	на земле	1	8
31	любовь к	3	8
32	так как	11	8
33	она не	2	8
34	как бы	3	8
35	человека и	2	7
36	в мире	2	7
37	как в	2	7
38	и к	3	7
39	в нашем	1	7
40	в этой	3	7
41	человек не	1	7
42	любви к	5	7
43	хотя бы	4	7
44	и потому	1	7
45	и для	4	7
46	что он	8	7
47	вопрос о	1	6
48	там и	1	6
49	он сам	1	6
50	и здесь	4	6
51	жизнь в	1	6
52	так же	4	6
53	и там	1	6
54	жизни и	1	6
55	то же	7	5
56	я не	1	5
57	в самом	9	5
58	что она	4	5
59	что все	1	5
60	бога и	1	5
61	в своей	5	5
62	в отношении	4	5
63	в конце	7	5
64	во всем	1	5
65	и его	6	5
66	к тому	6	5
67	и это	2	5
68	те же	1	5
69	это не	2	5
70	один из	3	5
71	в его	8	5
72	для того	6	5
73	то что	4	5
74	и все	2	5
75	жизни это	1	4
76	с его	3	4
77	у них	1	4
78	его на	2	4
79	нет в	1	4
80	том что	13	4
81	жизнь и	1	4
82	его отношение	1	4
83	тому что	2	4
84	не имеет	3	4
85	из людей	1	4
86	того чтобы	6	4
87	перед ним	3	4
88	должен быть	2	4
89	что у	1	4
90	так и	4	4
91	для этого	1	4
92	и женщины	1	4
93	что и	8	4
94	в свою	7	4
95	они не	1	4
96	до конца	4	4
97	т е	16	4
98	человека не	2	4
99	что в	5	4
100	все что	3	4
101	чтобы не	1	3
102	к другому	1	3
103	той же	1	3
104	они были	1	3
105	и на	2	3
106	в чем	1	3
107	человеку и	1	3
108	как он	3	3
109	и она	1	3
110	в каждом	1	3
111	не будет	2	3
112	и с	4	3
113	его в	8	3
114	ни в	10	3
115	в них	3	3
116	все равно	3	3
117	не мог	2	3
118	любовь и	1	3
119	принадлежат к	1	3
120	того как	1	3
121	он хочет	1	3
122	по своей	1	3
123	людей и	2	3
124	в трагедии	1	3
125	себя и	2	3
126	в образе	2	3
127	было в	1	3
128	ничего подобного	1	3
129	если бы	8	3
130	с ним	5	3
131	о том	8	3
132	и во	2	3
133	что они	2	3
134	к которой	1	3
135	в том	12	3
136	только в	1	3
137	не так	3	3
138	и никогда	1	3
139	тем что	5	3
140	от того	2	3
141	до сих	9	3
142	считает себя	1	3
143	с которым	1	3
144	человек в	1	3
145	для человека	1	3
146	нет ничего	2	3
147	жизни в	1	3
148	сих пор	9	3
149	и от	1	3
150	отношении к	1	3
151	отрекается от	1	3
152	на смену	1	3
153	сказать что	1	3
154	в своих	2	3
155	я и	1	2
156	любовь в	1	2
157	отношения к	2	2
158	он считает	1	2
159	себе путь	1	2
160	его не	2	2
161	совсем иное	1	2
162	принадлежит к	1	2
163	а для	1	2
164	для нашей	1	2
165	же что	1	2
166	не от	1	2
167	не был	1	2
168	во всех	2	2
169	по отношению	5	2
170	себе и	1	2
171	более чем	5	2
172	свою вину	2	2
173	как к	1	2
174	хотя и	5	2
175	в действительности	1	2
176	от этого	1	2
177	от своей	2	2
178	то в	1	2
179	и этим	3	2
180	в которой	3	2
181	бы не	2	2
182	и тот	3	2
183	и те	1	2
184	если он	2	2
185	и если	2	2
186	на его	2	2
187	не к	1	2
188	на этом	1	2
189	с собой	1	2
190	еще вернемся	1	2
191	если я	1	2
192	не всегда	1	2
193	чем в	3	2
194	в этих	1	2
195	точки зрения	4	2
196	место в	1	2
197	них есть	1	2
198	которые в	1	2
199	сам он	2	2
200	ему как	1	2
201	быть лишь	1	2
202	в атмосфере	1	2
203	эта мысль	1	2
204	человека от	1	2
205	ничего не	3	2
206	к ней	8	2
207	и любовь	2	2
208	связи с	5	2
209	в основе	2	2
210	к себе	5	2
211	нет ни	2	2
212	быть назван	1	2
213	они стали	1	2
214	приходит к	1	2
215	был для	1	2
216	чем я	1	2
217	он так	3	2
218	можно было	2	2
219	есть также	1	2
220	в которые	1	2
221	после того	1	2
222	и поэтому	4	2
223	и та	1	2
224	и что	6	2
225	в сущности	2	2
226	нас в	1	2
227	к нему	5	2
228	не надо	1	2
229	все время	2	2
230	подобно тому	1	2
231	ответственности и	1	2
232	мы видим	1	2
233	тот же	2	2
234	бы его	1	2
235	равно что	1	2
236	он уже	1	2
237	между тем	2	2
238	так что	6	2
239	со своим	1	2
240	уже в	2	2
241	ни одного	1	2
242	друг за	1	2
243	и других	1	2
244	себе в	3	2
245	в судьбе	1	2
246	не о	3	2
247	не случайно	1	2
248	е в	2	2
249	черты сходства	1	2
250	что человек	1	2
251	уходит в	1	2
252	мы еще	1	2
253	что не	3	2
254	превращается в	1	2
255	вместе с	9	2
256	к своему	2	2
257	что женщина	1	2
258	такого рода	1	2
259	тому как	1	2
260	да и	1	2
261	из этой	2	2
262	сам не	1	2
263	в средство	1	2
264	человек и	1	2
265	бы в	4	2
266	а в	7	2
267	человеческой природой	1	2
268	к самому	1	2
269	все к	2	2
270	но этот	1	2
271	жизни а	1	2
272	отношению к	3	2
273	и эта	1	2
274	всем и	1	1
275	пор не	2	1
276	говорят о	1	1
277	о любви	2	1
278	самом деле	6	1
279	из любви	1	1
280	перед лицом	2	1
281	свою жену	1	1
282	с изображением	1	1
283	всего лишь	2	1
284	всех окружающих	1	1
285	он знает	4	1
286	а совершенно	1	1
287	это совершенно	1	1
288	мы не	2	1
289	преступления и	1	1
290	у тебя	2	1
291	будет легче	1	1
292	выходит из	2	1
293	еще до	1	1
294	говорить о	3	1
295	что любовь	1	1
296	х годов	2	1
297	и ее	2	1
298	к существенному	1	1
299	кто это	1	1
300	вывод что	2	1
301	на них	3	1
302	тем как	1	1
303	и все-таки	1	1
304	и сравнительно	1	1
305	препятствием для	1	1
306	если в	1	1
307	с отцом	2	1
308	в новом	1	1
309	началось и	1	1
310	друга и	1	1
311	нет и	4	1
312	за пределы	2	1
313	которые не	1	1
314	к браку	1	1
315	себя за	1	1
316	с этим	3	1
317	это был	1	1
318	все остальные	2	1
319	там не	1	1
320	могли бы	1	1
321	и как	1	1
322	многие из	1	1
323	для которого	1	1
324	не хочет	5	1
325	из жизни	1	1
326	отказывается от	1	1
327	в целом	3	1
328	человек у	1	1
329	человеческой судьбы	1	1
330	все эти	1	1
331	право на	1	1
332	раз в	2	1
333	только один	2	1
334	на то	3	1
335	эту мысль	1	1
336	опять не	1	1
337	он должен	1	1
338	что ни	3	1
339	но все	4	1
340	же пути	1	1
341	совпадают с	4	1
342	же не	1	1
343	то чтобы	1	1
344	если жизнь	1	1
345	в другом	2	1
346	об этом	7	1
347	говорил что	1	1
348	на пиру	1	1
349	вот например	1	1
350	начала что	1	1
351	было бы	3	1
352	отца и	2	1
353	свободного человека	1	1
354	всю свою	1	1
355	не спасает	2	1
356	после этого	2	1
357	и тем	1	1
358	за ней	2	1
359	из первых	1	1
360	две женщины	1	1
361	так называемого	1	1
362	был поставлен	1	1
363	его образа	1	1
364	этого не	1	1
365	с тем	4	1
366	в развитии	2	1
367	остается в	2	1
368	на себя	4	1
369	перед собой	1	1
370	его образ	1	1
371	которую он	2	1
372	бы на	1	1
373	но если	3	1
374	от своего	1	1
375	доводит до	2	1
376	как все	1	1
377	и без	2	1
378	в котором	2	1
379	с точки	3	1
380	человеком и	1	1
381	к одному	1	1
382	прийти к	1	1
383	в которых	5	1
384	признать что	1	1
385	должны были	1	1
386	стало быть	1	1
387	одном из	1	1
388	и мать	1	1
389	отцом и	3	1
390	их в	3	1
391	отец и	3	1
392	человека перед	1	1
393	кто идет	1	1
394	вернемся к	1	1
395	могли дать	1	1
396	не любил	1	1
397	к этим	1	1
398	не по	7	1
399	в самых	1	1
400	же его	1	1
401	и отсутствие	1	1
402	всех бедствий	1	1
403	и весь	1	1
404	своей природе	1	1
405	ему и	2	1
406	душе и	1	1
407	и теперь	1	1
408	в сознании	1	1
409	хочет быть	2	1
410	того же	6	1
411	до того	2	1
412	что на	1	1
413	в нее	1	1
414	бог и	1	1
415	его для	1	1
416	не могут	2	1
417	ее на	1	1
418	бы он	3	1
419	что отец	8	1
420	по сравнению	2	1
421	все еще	2	1
422	своего отца	1	1
423	жить с	1	1
424	того самого	1	1
425	имеет больше	1	1
426	в тихом	1	1
427	в ее	3	1
428	он с	1	1
429	в пределах	2	1
430	приводит к	3	1
431	роль в	2	1
432	в финале	1	1
433	как с	1	1
434	и сам	5	1
435	не с	2	1
436	живет в	1	1
437	которая была	1	1
438	мог бы	1	1
439	она была	2	1
440	когда в	1	1
441	в эпоху	2	1
442	на что	1	1
443	со словами	1	1
444	сама она	2	1
445	мысль не	1	1
446	средством для	1	1
447	именно потому	2	1
448	а также	2	1
449	на вопрос	2	1
450	теперь и	1	1
451	своей любви	2	1
452	может не	1	1
453	как нет	1	1
454	путь к	1	1
455	это в	2	1
456	которой мы	2	1
457	другого а	1	1
458	во втором	1	1
459	и только	1	1
460	к концу	2	1
461	она на	1	1
462	но так	1	1
463	речи о	4	1
464	которым он	2	1
465	ли он	1	1
466	в какой	3	1
467	в стороне	1	1
468	не останется	1	1
469	к отцу	2	1
470	об их	1	1
471	а после	1	1
472	со всеми	1	1
473	к какому	1	1
474	и у	1	1
475	а собственная	1	1
476	а напротив	1	1
477	чем они	2	1
478	отрезает себе	1	1
479	не из	1	1
480	не дает	4	1
481	его и	1	1
482	не сам	1	1
483	был бы	2	1
484	не находит	1	1
485	любовной страсти	1	1
486	в прошлом	1	1
487	моментов в	1	1
488	для них	1	1
489	вот с	1	1
490	существо и	1	1
491	и дурной	1	1
492	этом отношении	2	1
493	они будут	2	1
494	и всякий	1	1
495	мне то	1	1
496	как можно	1	1
497	правом на	1	1
498	не были	1	1
