N	3gram	Propp_Isto_1	Komedia
1	до сих пор	5	9
2	в том что	4	9
3	для того чтобы	1	6
4	о том что	3	4
5	с самого начала	2	4
6	к тому же	1	4
7	если бы он	1	3
8	по отношению к	3	3
9	о том как	1	3
10	и т п	1	3
11	вместе с тем	2	3
12	в связи с	3	3
13	до тех пор	1	3
14	с одной стороны	4	3
15	тем не менее	6	3
16	то же самое	3	3
17	в этом случае	1	2
18	не мешает ему	1	2
19	наряду с этим	1	2
20	бы то ни	2	2
21	в этом отношении	1	2
22	то время как	3	2
23	в этой связи	1	2
24	то ни было	2	2
25	обстоит дело с	2	2
26	с другой стороны	5	2
27	в то время	3	2
28	но все же	3	2
29	что и в	1	2
30	именно потому что	1	2
31	том что она	1	1
32	что он отправляется	1	1
33	что происходит с	1	1
34	более или менее	5	1
35	равно как и	1	1
36	не говоря уже	1	1
37	подобно тому как	1	1
38	в соответствии с	1	1
39	одной стороны и	1	1
40	говоря уже о	1	1
41	в зависимости от	2	1
42	не было и	1	1
43	в отличие от	2	1
44	знаем их в	1	1
45	но и здесь	1	1
46	за то что	1	1
47	на то что	4	1
48	образом и здесь	1	1
49	может быть только	1	1
50	не менее и	1	1
51	между ними происходит	1	1
52	здесь мы видим	1	1
53	едва ли не	1	1
54	и для этого	1	1
55	мотивов которые он	1	1
56	в том чтобы	1	1
57	в первом случае	1	1
58	же самое что	2	1
59	таким образом и	1	1
60	и в пределах	1	1
61	это не так	1	1
62	должен был быть	1	1
63	со стороны его	1	1
64	за это время	1	1
65	в которой мы	1	1
66	но столь же	1	1
67	и для нас	1	1
68	ли не самым	1	1
69	он нисколько не	1	1
70	вопрос о том	2	1
71	мы знаем их	2	1
72	ни одной из	1	1
73	если бы не	1	1
74	и что их	1	1
75	после того как	1	1
76	по этому поводу	2	1
77	к тому что	1	1
78	он отправляется в	1	1
79	друг с другом	3	1
80	и в этом	1	1
81	и между ними	1	1
82	точку зрения что	1	1
83	и т д	22	1
84	что речь идет	1	1
85	он умер и	1	1
86	и здесь не	1	1
