N	3gram	Tiupa_Teor_1	RusskieA
1	в том что	8	15
2	состоит в том	5	8
3	том что в	1	6
4	в связи с	1	4
5	о том что	1	4
6	к тому что	2	4
7	с точки зрения	3	3
8	тем не менее	3	3
9	что иное как	1	2
10	как это имеет	1	2
11	может быть и	2	2
12	и потому что	1	2
13	в равной степени	3	2
14	в свою очередь	2	2
15	в большинстве случаев	1	2
16	это имеет место	1	2
17	не что иное	1	2
18	одном и том	1	1
19	на себя внимание	1	1
20	иметь в виду	1	1
21	и того же	3	1
22	в виду что	1	1
23	в противном случае	1	1
24	по отношению к	4	1
25	точно так же	1	1
26	подобно тому как	1	1
27	точки зрения в	1	1
28	может быть назван	1	1
29	былинах и в	1	1
30	виду что в	1	1
31	можно говорить о	1	1
32	и а а	3	1
33	как это ни	1	1
34	при этом не	1	1
35	тогда как в	2	1
36	об этом так	1	1
37	обращает на себя	1	1
38	в своего рода	1	1
39	что в основе	2	1
40	как видно из	1	1
41	по своему происхождению	1	1
42	и том же	1	1
43	в отличие от	6	1
44	значении этого слова	2	1
45	приводит к тому	2	1
46	в целом ряде	1	1
47	так же как	1	1
48	в былинах и	1	1
49	здесь мы имеем	1	1
50	в одном и	1	1
51	в русском языке	1	1
52	на две части	1	1
53	в то время	1	1
54	никак не может	1	1
55	между тем это	1	1
56	место в текстах	1	1
57	можно сказать что	2	1
58	одного и того	3	1
59	в этих случаях	1	1
60	как и в	2	1
61	в данном случае	5	1
