N	3gram	Propp_Isto_3	Russkaja
1	друг с другом	1	14
2	с точки зрения	1	9
3	в том что	5	7
4	на самом деле	1	6
5	во всяком случае	2	6
6	до сих пор	5	5
7	на то что	1	4
8	не может быть	1	4
9	к которой он	1	4
10	в этом случае	5	3
11	вместе с тем	1	3
12	можно было бы	1	3
13	и то что	2	3
14	в данном случае	3	3
15	точно так же	2	2
16	о том чтобы	1	2
17	бы таким образом	1	2
18	и в том	1	2
19	и вместе с	1	2
20	о том что	2	2
21	друг от друга	1	2
22	в большинстве случаев	1	2
23	она не может	1	2
24	должны были бы	1	1
25	для нас важно	1	1
26	уже знаем что	1	1
27	состоит в том	2	1
28	в свою очередь	1	1
29	между прочим и	1	1
30	по отношению к	2	1
31	в том числе	1	1
32	во всем мире	1	1
33	еще на одну	1	1
34	мы уже знаем	2	1
35	и в других	2	1
36	не только часто	1	1
37	только то что	1	1
38	создателей и носителей	1	1
39	на этот вопрос	1	1
40	не просто в	1	1
41	и на нем	1	1
42	оградить себя от	1	1
43	смысле этого слова	1	1
44	друг друга в	1	1
45	и должно было	1	1
46	одной или нескольких	1	1
47	в связи с	3	1
48	так же как	1	1
49	из всех этих	1	1
50	народов и в	1	1
51	заключается в том	1	1
52	это и есть	1	1
53	с самого начала	1	1
54	но все же	2	1
55	тем не менее	5	1
56	во многих случаях	1	1
57	и прежде всего	1	1
58	в согласии с	1	1
59	к тому же	2	1
