N	3gram	Bakhtin_fo_1	Vladivir
1	в том что	2	9
2	в связи с	5	8
3	во всяком случае	1	6
4	в то время	3	6
5	в это время	1	4
6	само собой разумеется	2	3
7	дело в том	2	3
8	с точки зрения	2	3
9	в отличие от	2	3
10	в то же	6	3
11	то же время	9	3
12	о том что	1	3
13	и до конца	2	2
14	в том же	1	2
15	на первый план	1	2
16	как мы сказали	1	2
17	в данном случае	1	2
18	не только в	2	2
19	в свою очередь	1	2
20	собой разумеется что	2	2
21	мы будем говорить	1	2
22	но дело в	1	2
23	и все же	1	2
24	но кроме того	1	1
25	все это то	1	1
26	да и в	1	1
27	его жизни в	1	1
28	прежде всего на	1	1
29	и во всяком	1	1
30	и в частности	2	1
31	равно как и	2	1
32	мы уже сказали	2	1
33	и по существу	1	1
34	также и в	2	1
35	в том числе	4	1
36	в этом случае	1	1
37	как раз и	2	1
38	они не могут	1	1
39	не было и	2	1
40	до сих пор	3	1
41	и в то	5	1
42	некоторые моменты его	1	1
43	наряду с этим	2	1
44	приходит к выводу	1	1
45	в этом отношении	3	1
46	то время в	1	1
47	что в нем	1	1
48	с этим в	1	1
49	не о чем	1	1
50	вместе с тем	2	1
51	его личной судьбы	1	1
52	может быть и	2	1
53	до известной степени	1	1
54	в самом начале	1	1
55	но в то	1	1
56	в первый раз	1	1
57	в высшей степени	1	1
58	и все его	1	1
59	а также и	2	1
60	то что можно	1	1
61	и как бы	1	1
62	то время как	2	1
63	кроме того в	1	1
64	но вместе с	1	1
65	и в котором	1	1
66	и в том	1	1
67	не может быть	3	1
68	что во всех	1	1
69	в той же	1	1
70	сих пор не	1	1
71	том же месте	1	1
72	имел в виду	1	1
73	разумеется что это	1	1
74	здесь как и	1	1
75	связи с этим	2	1
76	к выводу что	1	1
77	с самого начала	2	1
78	и прежде всего	2	1
79	в самом деле	1	1
80	но все же	2	1
81	с тем и	1	1
82	как мы уже	8	1
83	для того чтобы	5	1
84	и перед смертью	1	1
85	этот вопрос в	1	1
86	к тому же	2	1
87	во всем и	1	1
