N	2gram	Tiupa_Anal_3	Problemy
1	и в	18	34
2	и не	12	29
3	как бы	10	27
4	что он	4	23
5	в его	7	22
6	к другому	1	20
7	в нем	2	19
8	может быть	9	19
9	не может	2	19
10	и все	2	19
11	как и	14	18
12	о себе	2	18
13	себе самому	2	18
14	к себе	1	17
15	в этом	14	16
16	но в	2	16
17	и его	13	16
18	все это	3	16
19	он не	6	15
20	прежде всего	5	15
21	то же	3	14
22	с самим	2	14
23	самом деле	2	13
24	для него	6	13
25	и к	4	12
26	в то	3	12
27	же время	3	12
28	потому что	1	12
29	но и	13	12
30	на самом	1	11
31	в сущности	5	11
32	вовсе не	1	11
33	себя самого	1	11
34	то что	2	11
35	не только	22	10
36	самим собою	1	9
37	не в	6	9
38	героя и	4	9
39	а не	9	9
40	никогда не	5	8
41	с ним	1	8
42	в другом	1	8
43	в самом	5	8
44	себя и	1	8
45	и для	2	8
46	точки зрения	3	8
47	слово о	1	7
48	я не	1	7
49	на него	1	7
50	как будто	1	7
51	как мы	1	7
52	слова в	1	7
53	и даже	8	7
54	что не	3	7
55	там где	2	7
56	этого слова	2	7
57	все же	4	7
58	что в	9	7
59	мы уже	1	6
60	и на	4	6
61	с его	8	6
62	отношение к	1	6
63	что они	3	6
64	в пределах	4	6
65	что у	1	6
66	самим собой	1	6
67	от себя	1	6
68	для себя	1	6
69	так и	14	6
70	в себе	2	6
71	только в	2	6
72	стремится к	1	6
73	от него	1	6
74	с ними	1	6
75	не знает	1	6
76	отношению к	7	6
77	на них	1	5
78	он сам	1	5
79	по отношению	7	5
80	и у	1	5
81	в целом	3	5
82	в диалоге	1	5
83	и вот	2	5
84	лишь в	5	5
85	с тем	2	5
86	в слове	5	5
87	он и	3	5
88	не мог	2	5
89	в конце	5	5
90	даже в	2	5
91	таким образом	4	5
92	к тому	6	5
93	себе самом	1	5
94	и сам	4	5
95	что и	5	5
96	это не	2	5
97	того что	1	5
98	обращаться к	1	5
99	и так	1	5
100	так что	1	5
101	всяком случае	2	5
102	в одном	4	5
103	другого человека	1	5
104	и от	2	5
105	ни одного	1	5
106	мы должны	1	5
107	хотя бы	1	5
108	а в	10	5
109	героя в	1	5
110	во всяком	2	5
111	из его	1	4
112	с таким	1	4
113	он как	1	4
114	еще не	6	4
115	но не	7	4
116	но как	3	4
117	как в	3	4
118	бы и	2	4
119	все эти	2	4
120	на его	2	4
121	при этом	11	4
122	ни был	1	4
123	в мире	5	4
124	его в	3	4
125	с другими	1	4
126	этом смысле	1	4
127	рядом с	1	4
128	с точки	2	4
129	но это	1	4
130	ли я	1	4
131	ничего не	3	4
132	как раз	7	4
133	его внутренней	1	4
134	если бы	1	4
135	и прежде	2	4
136	в начале	6	4
137	в общем	2	4
138	не о	1	4
139	у него	1	4
140	на меня	2	4
141	с другой	7	4
142	тем что	2	4
