N	2gram	Potebnia_M_3	Freidism
1	таким образом	14	24
2	и не	15	23
3	не может	6	20
4	точки зрения	2	19
5	прежде всего	3	18
6	в этом	10	15
7	в его	4	15
8	в душе	10	13
9	мы можем	3	13
10	может быть	28	13
11	и его	4	12
12	все эти	1	11
13	как и	10	11
14	с точки	1	11
15	как бы	3	11
16	то что	18	11
17	самом деле	2	10
18	но в	1	10
19	его в	3	10
20	с ним	6	10
21	как мы	7	10
22	так и	11	10
23	и потому	4	10
24	с его	1	9
25	во всех	1	9
26	по отношению	5	9
27	и в	30	9
28	в сознание	7	9
29	то же	23	8
30	не только	21	8
31	он не	4	8
32	в своей	2	8
33	еще не	5	8
34	что он	6	8
35	только в	21	8
36	так как	13	8
37	все это	4	8
38	и все	3	8
39	отношению к	5	8
40	все что	4	8
41	в самом	8	7
42	мы уже	2	7
43	отношение к	2	7
44	и наконец	2	7
45	ни в	2	7
46	мы видели	4	7
47	те же	6	7
48	к нему	3	7
49	один из	4	7
50	тот же	1	7
51	мы знаем	1	7
52	что же	2	7
53	сказать что	5	7
54	во всяком	1	7
55	в ней	8	6
56	за пределы	2	6
57	так сказать	2	6
58	и с	2	6
59	и ее	1	6
60	того что	18	6
61	для него	9	6
62	вовсе не	7	6
63	я и	3	5
64	на самом	1	5
65	и на	3	5
66	он сам	1	5
67	в чем	3	5
68	в этой	2	5
69	что такое	2	5
70	знаем что	1	5
71	не в	15	5
72	мы должны	4	5
73	в то	10	5
74	в каком	5	5
75	с сознанием	2	5
76	могут быть	3	5
77	для этого	1	5
78	но мы	2	5
79	можно сказать	3	5
80	для того	4	5
81	а в	12	5
82	но и	19	5
83	связь с	3	5
84	с этим	6	5
85	его жизни	2	5
86	в свою	3	5
87	что в	17	5
88	той же	2	4
89	мы не	9	4
90	в которой	3	4
91	говорить о	3	4
92	совсем не	1	4
93	но не	7	4
94	в собственном	2	4
95	все же	2	4
96	не было	4	4
97	из этих	9	4
98	в нем	9	4
99	при этом	3	4
100	об этом	2	4
101	с другими	5	4
102	в жизни	1	4
103	нигде не	1	4
104	во время	2	4
105	не менее	5	4
106	же время	5	4
107	потому что	46	4
108	к тому	7	4
109	если мы	1	4
110	того чтобы	3	4
111	данном случае	1	4
112	сводится к	1	4
113	с самого	1	4
114	это только	1	4
115	другими словами	1	4
116	с ними	1	4
117	конечно не	1	4
118	уже не	6	4
119	не дает	2	4
120	в котором	4	4
121	от того	8	4
122	на которые	1	4
123	себя и	4	4
124	в данном	1	4
125	и о	2	4
126	в более	1	4
127	сознания и	1	4
128	в этих	1	4
129	между ними	1	4
130	в последнем	3	4
131	с бессознательным	1	4
132	в таком	3	4
133	жизнь человека	1	3
