N	2gram	Nazirov_Tv_1	Freidism
1	таким образом	5	24
2	и не	7	23
3	не может	4	20
4	прежде всего	4	18
5	в этом	6	15
6	в его	13	15
7	с помощью	1	14
8	в душе	1	13
9	может быть	5	13
10	и его	6	12
11	все эти	1	11
12	как и	12	11
13	как бы	17	11
14	то что	8	11
15	самом деле	2	10
16	но в	7	10
17	его в	1	10
18	с ним	3	10
19	так и	2	10
20	с его	11	9
21	во всех	1	9
22	по отношению	1	9
23	и в	21	9
24	то же	13	8
25	не только	7	8
26	он не	8	8
27	в своей	4	8
28	еще не	1	8
29	субъективной психологии	1	8
30	что он	6	8
31	только в	5	8
32	так как	3	8
33	все это	10	8
34	и все	6	8
35	отношению к	1	8
36	в самом	3	7
37	мы уже	1	7
38	и наконец	2	7
39	ни в	1	7
40	к нему	1	7
41	один из	4	7
42	тот же	2	7
43	мы знаем	1	7
44	что же	1	7
45	сказать что	2	7
46	в ней	2	6
47	так сказать	2	6
48	и с	3	6
49	на протяжении	3	6
50	и ее	1	6
51	того что	3	6
52	для него	6	6
53	вовсе не	5	6
54	никогда не	3	6
55	хотя бы	5	6
56	я и	3	5
57	на самом	3	5
58	и на	7	5
59	он сам	6	5
60	в чем	2	5
61	и к	1	5
62	в этой	5	5
63	что такое	1	5
64	не в	2	5
65	мы должны	1	5
66	в то	15	5
67	могут быть	2	5
68	в себя	2	5
69	для этого	1	5
70	но мы	1	5
71	можно сказать	2	5
72	по мнению	3	5
73	а в	6	5
74	но и	3	5
75	связь с	1	5
76	с этим	1	5
77	в свою	7	5
78	что в	12	5
79	той же	3	4
80	в которой	3	4
81	говорить о	1	4
82	я не	3	4
83	совсем не	1	4
84	но не	3	4
85	человеческой психики	1	4
86	в собственном	1	4
87	все же	5	4
88	не было	1	4
89	в нем	3	4
90	всех этих	1	4
91	на этом	1	4
92	то ни	1	4
93	связанные с	1	4
94	при этом	7	4
95	об этом	2	4
96	в жизни	2	4
97	нигде не	1	4
98	во время	1	4
99	не менее	6	4
100	в основе	2	4
101	же время	12	4
102	всей жизни	1	4
103	потому что	5	4
104	к тому	2	4
105	если мы	1	4
106	данном случае	2	4
107	с самого	3	4
108	с ними	1	4
