N	2gram	Medvedev_S_1	Psycholo
1	в том	5	37
2	и в	3	32
3	и что	2	22
4	том что	2	21
5	таким образом	2	21
6	то что	2	21
7	что в	2	20
8	может быть	2	18
9	не может	1	17
10	что она	1	16
11	то же	2	13
12	в этом	5	13
13	что он	1	13
14	не только	3	12
15	по себе	1	12
16	было бы	2	11
17	но и	2	10
18	как и	1	10
19	и не	1	10
20	никогда не	1	9
21	тем что	1	9
22	что все	1	9
23	что это	1	8
24	не в	3	8
25	в сущности	1	7
26	и как	1	7
27	все эти	1	7
28	и его	1	7
29	как будто	2	7
30	только в	2	7
31	в этой	1	6
32	те же	1	6
33	о том	1	6
34	и мы	2	6
35	как бы	2	6
36	же самое	1	6
37	на все	1	5
38	далеко не	2	5
39	все это	7	5
40	в то	1	5
41	отнюдь не	1	5
42	он говорит	1	5
43	столь же	1	4
44	в чем	1	4
45	все же	1	4
46	в целом	1	4
47	и по	1	4
48	в данном	1	4
49	иначе говоря	1	4
50	и более	1	4
51	тому что	1	4
52	но только	1	4
53	ничего не	1	4
54	что на	1	4
55	никак не	1	4
56	между тем	1	4
57	а в	1	4
58	на тех	1	3
59	мы не	1	3
60	но как	1	3
61	главным образом	2	3
62	по самому	1	3
63	в своей	1	3
64	и заключается	2	3
65	так и	1	3
66	для этого	1	3
67	образом в	1	3
68	с другой	1	3
69	в конечном	1	3
70	мы должны	1	3
71	один из	1	3
72	существу своему	1	3
73	конечном счете	1	3
74	представить себе	1	3
75	в конце	2	3
76	может служить	1	3
77	в частности	2	3
78	ни на	1	3
79	по существу	2	3
80	это значит	1	3
81	в смысле	2	3
82	конце концов	2	3
83	хотя бы	1	3
84	только как	2	3
85	еще не	2	2
86	слишком много	1	2
87	но не	1	2
88	очевидно что	2	2
89	психологии и	1	2
90	что без	1	2
91	поэта и	1	2
92	в каждом	1	2
93	полагает что	1	2
94	это не	1	2
95	произведение как	1	2
96	в них	1	2
97	всяком случае	1	2
98	место в	1	2
99	том и	1	2
100	в этих	1	2
101	этой области	1	2
102	в процессе	1	2
103	же время	1	2
104	больше того	1	2
105	когда мы	1	2
106	как только	2	2
107	это происходит	1	2
108	том как	1	2
109	во всяком	1	2
110	в его	3	2
111	и только	3	2
112	в него	1	2
113	именно на	1	2
114	вовсе не	1	2
115	к которому	2	2
116	а с	1	2
117	не было	1	2
118	зависит от	1	2
119	стоит только	1	2
120	для нас	3	2
121	из себя	1	2
122	тем более	2	2
123	на этот	1	2
124	а между	1	1
125	и должны	1	1
126	же по	1	1
127	тем же	1	1
128	никаких положительных	1	1
129	самому существу	1	1
130	литературы и	2	1
131	время в	1	1
132	методы и	1	1
133	с одной	1	1
134	только тогда	1	1
135	друг от	1	1
136	за пределы	2	1
137	более чем	3	1
138	кто не	1	1
139	только то	1	1
140	влияет на	1	1
141	формальный метод	1	1
142	но ведь	3	1
143	противном случае	1	1
144	формальным методом	1	1
145	в силу	1	1
146	же не	1	1
147	будто в	1	1
148	этот основной	1	1
149	его в	1	1
150	этих вопросов	1	1
151	но именно	1	1
152	правильно говорит	1	1
153	эти вопросы	1	1
154	к вопросам	1	1
155	из понимания	1	1
156	в котором	1	1
157	придется не	1	1
158	выходит за	1	1
159	стало быть	1	1
160	различает два	1	1
161	по крайней	1	1
162	бы о	1	1
163	хотелось бы	1	1
164	дело не	2	1
165	благодаря тому	1	1
166	приводной ремень	1	1
167	связи с	1	1
168	в области	1	1
169	факта что	1	1
170	точке зрения	1	1
171	все то	1	1
172	заключается что	2	1
173	ли не	1	1
174	этого и	1	1
175	и о	1	1
176	от друга	1	1
177	мы думаем	1	1
178	на что	1	1
179	и должно	1	1
180	трудность и	1	1
181	происходит не	1	1
182	факт мы	1	1
183	эти два	1	1
184	крайней мере	1	1
185	связь между	1	1
186	и самые	1	1
187	изучения литературы	1	1
188	в таких	1	1
189	конечно не	1	1
190	не дает	1	1
191	ведь это	2	1
192	прежде всего	1	1
193	нужно было	2	1
194	даже не	1	1
195	в соответствующих	1	1
196	не один	1	1
197	именно в	1	1
198	и затем	1	1
199	на основании	1	1
200	что таким	1	1
201	по достоинству	1	1
202	их друг	1	1
203	творчество в	1	1
204	он по	1	1
205	в связи	1	1
206	с помощью	1	1
207	раньше всего	1	1
208	по необходимости	1	1
209	сплошь из	1	1
210	одной стороны	1	1
211	быть не	1	1
212	благодаря этому	1	1
213	новые и	1	1
214	в противном	1	1
215	переходим к	1	1
216	она может	2	1
217	в область	1	1
218	в результате	2	1
219	бы в	1	1
220	писателя не	1	1
221	и наконец	1	1
222	его утверждение	1	1
223	между ними	1	1
224	им не	2	1
225	это и	2	1
226	в виде	1	1
227	они не	1	1
