N	3gram	Vinokur_Vv_1	EvropaiC
1	в том что	12	16
2	до сих пор	5	12
3	по отношению к	4	10
4	с точки зрения	2	8
5	а между тем	1	7
6	на самом деле	1	7
7	для того чтобы	21	6
8	в самом деле	5	5
9	о котором идет	1	5
10	по сравнению с	3	5
11	лишь в том	1	5
12	в этом случае	6	4
13	может быть и	2	4
14	и без того	1	4
15	с другой стороны	5	4
16	не может быть	8	4
17	о том что	12	4
18	тот факт что	1	4
19	тем не менее	8	4
20	с течением времени	6	4
21	в конце концов	2	4
22	и того же	2	3
23	в настоящее время	1	3
24	одного и того	2	3
25	в том же	1	3
26	и то что	2	3
27	так же как	1	3
28	в данном случае	4	3
29	так или иначе	4	3
30	в связи с	2	3
31	в целом ряде	2	3
32	заключается в том	3	3
33	в том виде	3	2
34	в начале этой	1	2
35	что же касается	2	2
36	принять во внимание	2	2
37	только то что	1	2
38	бы то ни	1	2
39	заключает в себе	1	2
40	то же время	5	2
41	вместе с тем	3	2
42	то что у	1	2
43	в европейской науке	1	2
44	то ни было	1	2
45	с одной стороны	4	2
46	во всяком случае	3	2
47	что несмотря на	2	2
48	нечего и говорить	1	2
49	в свою очередь	1	2
50	не может служить	2	2
51	но все же	3	2
52	в то же	5	2
53	и в том	3	2
54	того чтобы быть	1	2
55	и в конце	1	1
56	национальной культуры в	1	1
57	тогда когда оно	1	1
58	можно представить себе	2	1
59	судя по его	1	1
60	том виде как	1	1
61	того что в	1	1
62	не только по	1	1
63	и то же	1	1
64	дело в том	2	1
65	не говоря уже	2	1
66	не только с	1	1
67	так как эта	1	1
68	в этом пункте	1	1
69	никак не может	1	1
70	что одним из	1	1
71	то же самое	2	1
72	целом ряде других	1	1
73	в котором они	1	1
74	только в том	2	1
75	между тем мы	1	1
76	тем что она	1	1
77	в лучшем случае	1	1
78	кто так или	1	1
79	говоря уже о	1	1
80	нем не осталось	1	1
81	в зависимости от	1	1
82	представление о том	1	1
83	также и то	1	1
84	у него в	1	1
85	и в дальнейшем	1	1
86	из того что	1	1
87	совершенно ясно что	1	1
88	том или ином	1	1
89	точно так же	2	1
90	в европе и	1	1
91	широком смысле слова	4	1
92	по крайней мере	4	1
93	взгляда на историю	1	1
94	одно и то	1	1
95	то обстоятельство что	1	1
96	в том или	1	1
97	уже о том	1	1
98	только в этом	1	1
99	это может быть	1	1
100	самое что и	1	1
101	может быть не	1	1
102	что входит в	1	1
103	большая или меньшая	1	1
104	именно в этой	1	1
105	и при том	2	1
106	на задний план	1	1
107	состоит в том	2	1
108	и в целом	1	1
109	в общих чертах	1	1
110	во всех отношениях	1	1
111	не в том	2	1
112	истории других народов	1	1
113	можно только после	1	1
114	в нем не	1	1
115	быть и не	1	1
116	и все прочие	1	1
117	в одно целое	1	1
118	одним из самых	1	1
119	дело заключается в	1	1
120	но вместе с	2	1
121	уже и сейчас	1	1
122	о котором мы	1	1
123	и той же	2	1
124	все то что	1	1
125	разница только в	1	1
126	в широком смысле	7	1
127	а так как	2	1
128	а в том	1	1
129	не трудно видеть	6	1
130	том виде в	1	1
131	что с течением	1	1
132	до тех пор	1	1
133	но с другой	1	1
134	самом деле есть	1	1
135	речь в общем	1	1
136	то что входит	1	1
137	два различных аспекта	1	1
138	же самое что	2	1
139	то для того	1	1
140	разница лишь в	1	1
141	том же направлении	1	1
142	смысле этого слова	2	1
143	и что следовательно	1	1
144	уже и без	1	1
145	с самого начала	1	1
146	что это есть	1	1
147	в его собственной	1	1
148	и т.д в	1	1
149	в самом широком	1	1
150	трудно видеть что	5	1
151	с этой целью	1	1
152	сильнее чем в	2	1
153	к тому что	1	1
154	одной и той	2	1
155	в силу указанных	1	1
156	все это делает	1	1
157	как мы видели	2	1
158	идет речь в	1	1
159	мы уже знаем	1	1
160	что мы можем	1	1
161	таким образом по	2	1
162	в большей степени	2	1
163	только тогда когда	1	1
164	как мы знаем	1	1
165	одна от другой	2	1
