1	по отношению к	4	7
2	в том что	1	7
3	так и не	1	5
4	с другой стороны	1	5
5	в свою очередь	6	4
6	в то же	8	3
7	то же время	8	3
8	всех без исключения	1	3
9	в данном случае	1	3
10	в этом отношении	1	3
11	не только не	2	3
12	тот или иной	1	2
13	с точки зрения	13	2
14	тем не менее	1	2
15	в отличие от	1	2
16	сама по себе	2	2
17	во всяком случае	4	2
18	с одной стороны	4	2
19	в предыдущей части	1	1
20	и не должно	1	1
21	в самом начале	1	1
22	входит в состав	1	1
23	до сих пор	6	1
24	говоря уже о	1	1
25	и вступает в	1	1
26	хотя бы и	1	1
27	в отдельности и	1	1
28	и без остатка	1	1
29	произведения в его	1	1
30	в иные моменты	1	1
31	так и в	4	1
32	того или иного	2	1
33	в зависимости от	2	1
34	как если бы	2	1
35	не может быть	5	1
36	искусства так и	1	1
37	в применении к	2	1
38	друг от друга	2	1
39	и как бы	1	1
40	в том чтобы	2	1
41	а не как	1	1
42	отнюдь не является	1	1
43	произведение искусства является	1	1
44	так и на	1	1
45	и может быть	1	1
46	и на всю	1	1
47	по своей природе	1	1
48	в этой роли	1	1
49	не говоря уже	1	1
50	к роману как	1	1
51	этого целого в	1	1
52	до тех пор	1	1
53	в этом смысле	1	1
54	со всех сторон	1	1
55	на самом деле	6	1
56	что и в	1	1
57	с этой стороны	1	1
58	в связи с	2	1
59	между тем как	1	1
60	и свою собственную	1	1
61	не столько в	1	1
62	может и не	1	1
63	не могла не	1	1
64	в большинстве случаев	2	1
65	не сводится к	2	1
66	заключается в том	1	1
67	как бы ни	3	1
68	так или иначе	1	1
