N	3gram	Tiupa_Narr_2	KFilosof
1	по отношению к	5	21
2	не может быть	2	11
3	с точки зрения	2	10
4	может быть только	1	6
5	в отвлечении от	1	5
6	в чем не	1	4
7	ни в чем	1	4
8	в данный момент	1	3
9	в этом смысле	1	3
10	того или иного	3	3
11	на самом деле	2	3
12	во всей его	1	2
13	есть на самом	1	2
14	в то же	3	2
15	не со стороны	1	2
16	здесь мы имеем	1	2
17	мира в котором	1	2
18	только по отношению	1	2
19	в том что	8	2
20	то же время	3	2
21	той или иной	3	2
22	то что я	1	2
23	тем не менее	4	2
24	прошлое и будущее	1	2
25	дело здесь не	1	2
26	в соответствии с	3	2
27	не для того	1	1
28	и тем самым	2	1
29	в большинстве случаев	1	1
30	оба эти момента	1	1
31	возможна только в	1	1
32	смысловое единство возможных	1	1
33	всю свою жизнь	1	1
34	единство возможных суждений	1	1
35	и в то	1	1
36	времени и пространства	2	1
37	пространство и время	1	1
38	в этом последнем	1	1
39	в известном смысле	3	1
40	для того чтобы	1	1
41	в противном случае	1	1
42	всей его полноте	1	1
43	не от себя	1	1
44	к тому что	3	1
45	того мира в	1	1
46	здесь не в	1	1
47	и того же	1	1
48	то же самое	1	1
49	отношение к миру	1	1
50	гарантирует возможное смысловое	1	1
51	действительной жизни и	1	1
52	и смысловой значимости	1	1
53	вследствие того что	1	1
54	не растворяется в	1	1
55	между жизнью и	1	1
56	не зависит от	2	1
57	в том смысле	1	1
58	в виду и	1	1
59	вместо того чтобы	1	1
60	во всяком случае	1	1
61	себя в другом	1	1
62	в основе своей	1	1
63	одного и того	1	1
64	вступает в противоречие	1	1
65	в конечном счете	3	1
66	позицию по отношению	1	1
67	я в мире	2	1
68	не может иметь	1	1
69	а все остальное	1	1
70	возможное смысловое единство	1	1
71	и не должен	1	1
72	не вступает в	1	1
73	в зависимости от	1	1
74	и небо и	1	1
75	за собой и	1	1
76	на том что	1	1
77	и все же	2	1
78	в нем не	1	1
79	не в том	1	1
80	я не могу	1	1
81	не может не	1	1
82	в себе момент	1	1
83	и т.п но	1	1
84	но уже не	1	1
85	в противоречие с	1	1
86	могло бы возникнуть	1	1
87	не превращается в	1	1
88	в ее жизни	1	1
89	и вследствие этого	2	1
