N	3gram	Bakhtin_Pr_3	Poddanst
1	в то же	5	7
2	то же время	5	7
3	в том что	3	4
4	с точки зрения	2	3
5	в том числе	11	2
6	и в то	2	2
7	но и в	1	2
8	весьма вероятно что	1	1
9	да и не	1	1
10	более или менее	3	1
11	в этом смысле	1	1
12	подчеркнуть что дело	1	1
13	или хотя бы	1	1
14	и не может	1	1
15	в эту эпоху	1	1
16	мы не будем	1	1
17	в отличие от	1	1
18	в собственном смысле	2	1
19	что дело идет	1	1
20	и то что	1	1
21	в применении к	1	1
22	дело идет именно	1	1
23	в xix веке	1	1
24	по сравнению с	4	1
25	во всяком случае	1	1
26	в творчестве достоевского	5	1
27	с другой стороны	1	1
28	не может быть	1	1
29	и тем самым	1	1
30	и тем более	1	1
31	но в то	1	1
32	именно потому что	1	1
33	в большинстве случаев	4	1
34	в ней только	1	1
35	живых и мертвых	1	1
36	том числе и	10	1
