N	3gram	Vinokur_Ku_2	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	1	7
3	с точки зрения	8	6
4	во всяком случае	5	6
5	до сих пор	1	5
6	по крайней мере	6	5
7	для того чтобы	8	5
8	о том что	1	4
9	но все же	2	4
10	к тому же	1	4
11	так или иначе	2	3
12	главным образом в	1	3
13	а так как	1	3
14	точно так же	3	3
15	с течением времени	1	3
16	в конце концов	3	3
17	так же как	2	3
18	в связи с	3	3
19	тем не менее	5	3
20	в том что	10	3
21	и потому что	2	2
22	сих пор еще	1	2
23	но все это	1	2
24	потому что и	1	2
25	в этом отношении	3	2
26	с тех пор	1	2
27	с этой точки	2	2
28	то или иное	2	2
29	не только для	1	2
30	может быть и	1	2
31	то ни было	1	2
32	мы должны признать	1	2
33	по сравнению с	1	2
34	с того момента	1	2
35	бы то ни	1	2
36	должны признать что	1	2
37	таким образом в	1	2
38	то же время	3	2
39	ничего общего с	1	2
40	этой точки зрения	2	2
41	но и для	1	2
42	с самого начала	1	2
43	можно сказать что	2	2
44	на то что	2	2
45	в то же	3	2
46	влечет за собой	1	2
47	в широком смысле	2	1
48	состоит в том	1	1
49	одном и том	1	1
50	иметь в виду	1	1
51	чуть ли не	1	1
52	в самом деле	7	1
53	в настоящее время	1	1
54	в соответствии с	2	1
55	того момента как	1	1
56	оно превращается в	1	1
57	а следовательно и	2	1
58	сами по себе	1	1
59	тех пор как	1	1
60	в одном и	1	1
61	что все эти	3	1
62	в первую очередь	1	1
63	и далее в	1	1
64	вследствие того что	1	1
65	все те же	1	1
66	совершенно ясно что	1	1
67	том или ином	1	1
68	из этих слов	1	1
69	и некоторые другие	1	1
70	ясно что и	1	1
71	главным образом через	1	1
72	в том или	1	1
73	в этой области	4	1
74	в данном случае	1	1
75	в нашем смысле	2	1
76	не потому что	1	1
77	это однако не	1	1
78	смысле этого слова	1	1
79	и том же	1	1
80	в отличие от	2	1
81	мы видели выше	1	1
82	одни из этих	1	1
83	и в этой	1	1
84	общего с теориями	1	1
85	точки зрения а	1	1
86	а именно само	1	1
87	не в том	1	1
88	таким образом при	1	1
89	все более и	1	1
90	однако несмотря на	1	1
91	не только от	1	1
92	тем или иным	1	1
93	не имеет никакого	1	1
94	с другой стороны	7	1
95	речь идет о	1	1
96	что оно имеет	1	1
97	только то что	1	1
98	не может быть	4	1
99	но с другой	1	1
100	может и не	1	1
101	в то время	1	1
102	в свою очередь	2	1
103	в этом последнем	1	1
104	и никогда не	1	1
105	в связь с	1	1
106	широком смысле этого	2	1
107	более и более	1	1
108	могут рассматриваться как	1	1
109	несмотря на все	1	1
110	приблизительно то же	1	1
111	не более как	1	1
112	в силу самой	1	1
113	после того как	1	1
114	все это для	1	1
115	решиться взглянуть на	1	1
116	только тогда когда	1	1
117	и здесь не	1	1
