N	3gram	Trubetskoy_1	OGranits
1	с точки зрения	9	5
2	не может быть	4	4
3	по отношению к	1	3
4	в самом деле	1	2
5	в данном случае	3	2
6	того или иного	2	2
7	с самого начала	1	2
8	в том что	7	2
9	в другом месте	1	1
10	и более или	1	1
11	само собой разумеется	1	1
12	они считают себя	1	1
13	более или менее	4	1
14	на самом деле	6	1
15	и в некоторых	1	1
16	то же самое	1	1
17	что они считают	1	1
18	и не может	3	1
19	же время в	1	1
20	не может иметь	1	1
21	только то что	1	1
22	в этом отношении	1	1
23	этой возможностью и	1	1
24	можно было бы	3	1
25	может и должно	1	1
26	но мы должны	1	1
27	в значительной мере	2	1
28	и в индии	1	1
29	для того чтобы	6	1
30	так же как	1	1
31	состоит в том	1	1
32	на том основании	1	1
33	тем не менее	1	1
34	и вместе с	2	1
35	и как бы	1	1
36	в связи с	1	1
37	прежде всего в	1	1
38	это конечно не	1	1
39	потому что они	1	1
40	может привести только	1	1
41	то же время	10	1
42	собой разумеется что	1	1
43	в борьбе с	1	1
44	том основании что	1	1
45	него прежде всего	1	1
46	но в то	1	1
47	для него прежде	1	1
48	привести только к	1	1
49	несмотря на все	1	1
50	на то что	4	1
51	ведь в самом	1	1
52	в то же	10	1
53	к тому что	2	1
54	тех или иных	1	1
55	и это особенно	1	1
