N	2gram	Voloshinov_1	ViktorSh
1	и в	12	2
2	том что	5	2
3	в том	6	2
4	и только	1	1
5	крайней мере	1	1
6	тем более	1	1
7	и почти	1	1
8	в другом	1	1
9	хотя бы	5	1
10	и не	10	1
11	все время	6	1
12	и его	13	1
13	сводится к	1	1
14	и то	2	1
15	самом деле	3	1
16	все это	3	1
17	совершенно ясно	1	1
18	именно в	1	1
19	в теории	1	1
20	как же	2	1
21	дело в	4	1
22	в частности	1	1
23	одно и	2	1
24	все то	1	1
25	столь же	1	1
26	ведь это	1	1
27	в значительной	1	1
28	в самом	4	1
29	для них	1	1
30	только в	6	1
31	то же	5	1
32	ясно что	3	1
33	так как	9	1
34	далеко не	1	1
35	что слово	2	1
36	но это	2	1
37	в этом	4	1
38	да и	3	1
39	по крайней	1	1
40	к этому	2	1
41	значительной степени	1	1
42	же две	1	1
43	том же	1	1
