N	3gram	Propp_Isto_1	Stilisti
1	в зависимости от	2	7
2	для того чтобы	1	7
3	мы никогда не	1	5
4	того или иного	1	5
5	прежде всего в	1	4
6	то же самое	3	4
7	с самого начала	2	4
8	в этом случае	1	3
9	но и в	2	3
10	не только в	1	3
11	мы уже видели	1	3
12	но все же	3	3
13	должны были бы	2	2
14	та же самая	1	2
15	равно как и	1	2
16	вместе с тем	2	2
17	как мы увидим	2	2
18	в этом отношении	1	2
19	и в области	1	2
20	в значительной степени	1	2
21	но в то	1	2
22	на первый взгляд	2	2
23	смысле этого слова	1	2
24	не может быть	7	2
25	есть не что	1	2
26	не что иное	1	2
27	только в области	1	2
28	о том что	3	2
29	что иное как	1	2
30	в связи с	3	2
31	к тому что	1	2
32	мы видим что	8	2
33	тех или иных	1	2
34	мы видели что	2	2
35	в другом месте	1	1
36	до наших дней	1	1
37	по себе не	1	1
38	мы должны будем	4	1
39	бы нам удалось	1	1
40	вернемся теперь к	1	1
41	по отношению к	3	1
42	более или менее	5	1
43	не говоря уже	1	1
44	с исторической действительностью	1	1
45	мы должны были	2	1
46	должны помнить что	1	1
47	и в особенности	1	1
48	не совсем так	1	1
49	ответ на него	1	1
50	только одна сторона	1	1
51	в нем и	1	1
52	до сих пор	5	1
53	из них в	1	1
54	если бы нам	1	1
55	это будет видно	1	1
56	борьбы с природой	2	1
57	можно было бы	3	1
58	на этот вопрос	2	1
59	и в каком	1	1
60	в своем развитии	1	1
61	в большинстве случаев	4	1
62	тому или иному	1	1
63	всего мы должны	1	1
64	именно так и	2	1
65	в которой мы	1	1
66	и этот момент	1	1
67	как мы это	1	1
68	и в этом	1	1
69	тем не менее	6	1
70	иметь в виду	1	1
71	так как нам	1	1
72	на вопросе о	1	1
73	мы будем называть	2	1
74	уже видели что	1	1
75	что это слишком	1	1
76	что это так	1	1
77	содержит в себе	1	1
78	не менее и	1	1
79	это не совсем	1	1
80	если мы будем	1	1
81	мы говорили что	1	1
82	все же и	1	1
83	ключ к пониманию	1	1
84	таким образом в	1	1
85	прежде всего мы	1	1
86	мы не можем	2	1
87	таким образом мы	2	1
88	само по себе	2	1
89	мы увидим ниже	2	1
90	или иное явление	1	1
91	хотя бы в	1	1
92	эту точку зрения	2	1
93	чрезвычайно важно для	1	1
94	это отнюдь не	1	1
95	вопрос о том	2	1
96	не только на	1	1
97	происходит и в	1	1
98	еще не мог	1	1
99	только тогда когда	1	1
100	с другой стороны	5	1
101	уже не только	1	1
102	с течением времени	1	1
103	в том что	4	1
104	именно потому что	1	1
105	мы увидим что	5	1
