N	4gram	Tiupa_Lite_2	EvropaiE
1	в то же время	9	14
2	и в то же	1	8
3	с одной стороны и	1	6
4	с этой точки зрения	1	5
5	бы то ни было	1	4
6	например с точки зрения	1	2
7	стрелой татарской древней воли	1	1
8	ясен долгий путь наш	1	1
9	нам ясен долгий путь	1	1
10	в том числе и	1	1
11	долгий путь наш путь	1	1
12	татарской древней воли пронзил	1	1
13	наш путь стрелой татарской	1	1
14	путь стрелой татарской древней	1	1
15	воли пронзил нам грудь	1	1
16	путь наш путь стрелой	1	1
17	и даже более того	1	1
18	древней воли пронзил нам	1	1
19	не говоря уже о	2	1
20	то же время не	1	1
21	поскольку речь идет о	2	1
