N	3gram	Trubetskoy_1	Istorich
1	так же как	3	12
2	мы знаем что	7	7
3	совершенно так же	4	6
4	до сих пор	8	5
5	точно так же	1	5
6	и то что	3	5
7	с другой стороны	4	4
8	не может быть	3	4
9	но все же	2	4
10	в этом случае	4	3
11	в данном случае	3	3
12	по сравнению с	5	3
13	мы видели что	1	3
14	на то что	7	3
15	как мы видели	1	3
16	о том что	4	2
17	то же самое	1	2
18	но мы знаем	1	2
19	выше мы видели	1	2
20	на задний план	1	2
21	смысле этого слова	1	2
22	мы видели выше	1	2
23	в тех случаях	1	2
24	тех случаях когда	1	2
25	в другом случае	1	2
26	в связи с	3	2
27	тем не менее	4	2
28	и может быть	2	1
29	он при этом	1	1
30	не только по	1	1
31	но так как	2	1
32	не только с	1	1
33	что в данном	1	1
34	в том числе	1	1
35	во всем мире	1	1
36	они основаны на	1	1
37	он все же	2	1
38	и не может	1	1
39	очень много и	1	1
40	как и все	2	1
41	в зависимости от	1	1
42	и при помощи	1	1
43	друг на друга	1	1
44	независимо от того	1	1
45	в более позднее	1	1
46	совершенно ясно что	1	1
47	за то что	1	1
48	в приложении к	1	1
49	которые не могут	1	1
50	может быть и	4	1
51	лет тому назад	1	1
52	все эти черты	1	1
53	что представление об	1	1
54	то время как	1	1
55	если бы при	1	1
56	именно в этой	1	1
57	таким образом и	1	1
58	этом случае мы	1	1
59	чтобы ответить на	1	1
60	и то же	1	1
61	во всех этих	2	1
62	в самые отдаленные	1	1
63	и с этой	1	1
64	таким же образом	2	1
65	не в том	1	1
66	но вместе с	1	1
67	одно и то	1	1
68	мы уже знаем	1	1
69	что у него	1	1
70	вместе с тем	2	1
71	в широком смысле	1	1
72	в общих чертах	1	1
73	из которых каждый	1	1
74	таким образом мы	1	1
75	в то время	2	1
76	том что они	1	1
77	же самое что	1	1
78	более позднее время	1	1
79	ничего общего с	2	1
80	и если бы	1	1
81	примеры показывают что	1	1
82	но даже в	1	1
83	тем более что	1	1
84	на земле в	1	1
85	у данного народа	1	1
86	на пути к	1	1
87	к тому что	1	1
88	мы видим что	1	1
89	ясно показывают что	1	1
90	совершенно таким же	1	1
91	на вопрос поставленный	1	1
92	о том чтобы	2	1
93	вопрос поставленный в	1	1
94	как и в	2	1
95	может рассматриваться как	1	1
96	только тогда когда	1	1
97	указывают на то	2	1
