N	3gram	Vinokur_St_1	Mirosoze
1	не может быть	5	17
2	а не в	1	4
3	но и в	2	4
4	и в самом	3	3
5	не может не	1	2
6	по отношению к	3	2
7	до сих пор	7	2
8	и не может	1	2
9	хотя бы и	2	2
10	что он не	1	2
11	в том смысле	2	2
12	то время как	1	2
13	не только в	4	2
14	плоть от плоти	1	2
15	в конце концов	1	2
16	как будто бы	1	2
17	это не значит	3	2
18	он не знает	1	2
19	в то время	2	2
20	я хотел бы	1	2
21	для того чтобы	10	2
22	он не только	1	2
23	для него не	1	1
24	на том что	1	1
25	потому что он	1	1
26	это тем более	1	1
27	никогда не было	1	1
28	всякий раз когда	1	1
29	а иногда и	2	1
30	начале xix века	1	1
31	а вовсе не	1	1
32	в которых он	1	1
33	это бы еще	1	1
34	в самом деле	5	1
35	если и можно	1	1
36	в начале xix	1	1
37	потому что не	1	1
38	и не было	1	1
39	в зависимости от	1	1
40	в иных случаях	2	1
41	в наше время	1	1
42	и т п	9	1
43	но это не	1	1
44	вовсе не так	1	1
45	при котором не	1	1
46	что в то	1	1
47	в том случае	1	1
48	может быть и	2	1
49	вообще не существует	2	1
50	это прежде всего	2	1
51	не хочет знать	1	1
52	быть и речи	1	1
53	и по отношению	1	1
54	лишь те которые	1	1
55	потому что ведь	1	1
56	во всех этих	1	1
57	трудно было бы	1	1
58	не в том	2	1
59	во всяком случае	6	1
60	тем что в	2	1
61	как и всякая	1	1
62	на протяжении всей	1	1
63	и в том	2	1
64	но также и	4	1
65	в котором она	1	1
66	том смысле что	1	1
67	даже и в	1	1
68	выйти за пределы	1	1
69	с того что	1	1
70	и никогда не	1	1
71	что и в	4	1
72	нужно сказать что	4	1
73	о том что	11	1
74	но не менее	1	1
75	в вопросе о	1	1
76	не значит что	3	1
77	можно было бы	8	1
78	во многих отношениях	1	1
79	не знает и	1	1
80	в том что	17	1
81	в его время	1	1
