N	3gram	Bakhtin_sl_2	Literetu
1	в том что	4	11
2	в отличие от	12	5
3	то же время	4	5
4	в то же	4	5
5	не только в	2	4
6	в связи с	2	4
7	по отношению к	4	2
8	дело не только	1	2
9	с точки зрения	3	2
10	в этом отношении	3	2
11	с одной стороны	5	2
12	во всяком случае	2	2
13	о том что	1	2
14	тем не менее	1	2
15	как например в	1	1
16	иметь в виду	1	1
17	а не в	1	1
18	как это может	1	1
19	на то что	1	1
20	жизни на основании	1	1
21	том что он	1	1
22	этот последний модус	1	1
23	и не только	1	1
24	как это было	1	1
25	в зависимости от	4	1
26	для этой цели	1	1
27	лишь тогда когда	2	1
28	между тем как	1	1
29	перед нами не	1	1
30	могли бы быть	1	1
31	в лучшем случае	1	1
32	а во второй	1	1
33	жизни и в	1	1
34	в значительной степени	6	1
35	а не только	1	1
36	но в то	3	1
37	в отношении к	4	1
38	а также и	2	1
39	как один из	1	1
40	до конца не	1	1
41	в евгении онегине	1	1
42	но может быть	1	1
43	все более и	1	1
44	в целом ряде	1	1
45	с другой стороны	1	1
46	не может и	1	1
47	и слова все	1	1
48	не может быть	15	1
49	именно в том	1	1
50	по ту сторону	1	1
51	в свою очередь	2	1
52	до сих пор	2	1
53	одна из форм	1	1
54	с самого начала	1	1
55	в пределах одной	1	1
56	более и более	1	1
57	себя в них	3	1
58	но все же	4	1
59	может и не	1	1
60	в большинстве случаев	5	1
61	то есть от	2	1
62	единого и единственного	1	1
63	в том числе	1	1
64	тех или иных	1	1
65	однако и здесь	1	1
66	слово как таковое	1	1
67	в один из	1	1
