N	2gram	Trubetskoy_1	VLabPisa
1	таким образом	22	27
2	в этом	15	26
3	и в	26	25
4	не только	10	22
5	может быть	10	21
6	хотя бы	3	20
7	и не	8	19
8	не может	4	17
9	в его	5	15
10	в процессе	2	14
11	прежде всего	2	13
12	в том	11	13
13	этом отношении	2	13
14	все это	6	12
15	в силу	5	11
16	из них	7	11
17	с другой	8	11
18	в качестве	3	10
19	не могут	2	10
20	о том	6	10
21	что в	9	9
22	для него	3	9
23	но и	9	9
24	то же	4	9
25	к этому	3	9
26	все эти	6	8
27	ни один	2	8
28	другой стороны	1	8
29	могут быть	1	8
30	не следует	1	8
31	в своем	3	8
32	из этих	10	7
33	как и	1	7
34	же в	1	7
35	отношению к	3	7
36	не было	2	7
37	во всех	2	7
38	вместе с	15	7
39	по отношению	1	7
40	творчества в	1	7
41	а не	5	7
42	было бы	1	7
43	том что	7	7
44	главным образом	8	6
45	в себе	6	6
46	и его	1	6
47	так и	6	6
48	в нем	4	6
49	у него	1	6
50	бы и	1	6
51	между тем	2	6
52	это не	1	6
53	то что	7	6
54	художественном творчестве	1	6
55	это и	1	6
56	в то	4	6
57	или менее	5	6
58	более или	5	6
59	том же	1	6
60	их в	1	6
61	одним из	2	5
62	приводит к	2	5
63	все же	6	5
64	же время	2	5
65	не в	2	5
66	в их	1	5
67	сказать что	2	5
68	один из	2	5
69	только в	4	5
70	в результате	3	5
71	и есть	1	5
72	не является	1	5
73	связи с	9	5
74	как бы	12	5
75	и при	3	5
76	в связи	3	4
77	можно сказать	3	4
78	как раз	1	4
79	даже в	1	4
80	в своей	1	4
81	в одном	3	4
82	в ее	1	4
83	в нашей	1	4
84	никогда не	5	4
85	утверждать что	2	4
86	них не	2	4
87	что все	4	4
88	с ними	1	4
89	в них	2	4
90	в этой	4	4
91	когда он	3	4
92	в самом	4	4
93	к тому	6	4
94	их и	1	4
95	с его	2	4
96	что он	4	4
97	в значительной	3	3
98	это мы	1	3
99	жизни и	2	3
100	что они	1	3
101	так же	5	3
102	как на	8	3
103	в котором	4	3
104	и ее	1	3
105	и их	1	3
106	точки зрения	13	3
107	вслед за	2	3
108	творчество как	1	3
109	о работе	1	3
110	в конце	6	3
111	с тем	18	3
112	всех других	2	3
113	видели что	1	3
114	его в	1	3
115	того что	3	3
116	только что	2	3
