N	2gram	Berdyaev_M_1	Problemy
1	из подполья	10	35
2	и в	28	35
3	как бы	2	31
4	и не	11	27
5	что он	10	24
6	в его	9	21
7	но в	7	19
8	как и	5	18
9	к себе	1	18
10	не может	28	18
11	о себе	3	17
12	к другому	1	16
13	в нем	13	16
14	то есть	3	16
15	с самим	2	15
16	и все	10	15
17	в этом	20	14
18	и его	9	14
19	для него	11	14
20	может быть	30	14
21	но и	25	14
22	все это	6	14
23	он не	24	13
24	что я	1	13
25	к нему	7	13
26	человека из	2	13
27	и с	3	12
28	у достоевского	42	12
29	прежде всего	10	12
30	и к	2	12
31	в пределах	1	11
32	в то	2	11
33	самом деле	1	10
34	не только	29	10
35	не в	16	10
36	то что	5	10
37	на самом	1	9
38	в отношении	1	9
39	мы уже	1	8
40	я не	1	8
41	все же	2	8
42	так и	1	8
43	себя и	3	8
44	о мире	2	8
45	и для	2	8
46	потому что	16	8
47	слово о	1	7
48	еще не	1	7
49	с его	3	7
50	себе и	2	7
51	и наконец	1	7
52	лишь в	6	7
53	настасьи филипповны	1	7
54	и сам	1	7
55	творчестве достоевского	4	7
56	вовсе не	1	7
57	так же	1	7
58	что же	1	7
59	точки зрения	4	7
60	с ним	2	7
61	а в	4	7
62	отношении к	2	7
63	отношению к	2	7
64	и на	6	6
65	он сам	6	6
66	но не	8	6
67	по отношению	2	6
68	отношение к	4	6
69	что они	1	6
70	в самом	11	6
71	в плане	1	6
72	в каждом	1	6
73	у меня	1	6
74	к тому	3	6
75	в одном	1	6
76	и что	2	6
77	только в	6	6
78	но это	1	6
79	от него	4	6
80	не знает	4	6
81	что в	10	6
82	и то	1	5
83	как в	2	5
84	в себе	7	5
85	на протяжении	2	5
86	он и	2	5
87	знает и	1	5
88	в конце	7	5
89	во время	1	5
90	себе самом	1	5
91	да и	1	5
92	его с	2	5
93	и это	12	5
94	в глаза	1	5
95	в том	6	5
96	так что	1	5
97	и даже	1	5
98	когда я	1	5
99	в романах	1	5
100	как к	1	5
101	ивана карамазова	7	4
102	бы уже	1	4
103	во внутреннем	1	4
104	в мире	10	4
105	обращен к	4	4
106	он в	2	4
107	нет и	5	4
108	же и	1	4
109	романах достоевского	1	4
110	над собой	1	4
111	та же	1	4
112	и вот	3	4
113	я бы	2	4
114	же не	1	4
115	его в	3	4
116	все и	1	4
117	в них	4	4
118	рядом с	1	4
119	в своей	15	4
120	в такой	1	4
121	нему и	1	4
122	но он	9	4
123	никогда не	14	4
124	и без	1	4
125	он хочет	1	4
126	во всем	1	4
127	как будто	2	4
128	протяжении всего	1	4
129	сознания и	1	4
130	еще в	2	4
131	герой из	1	4
132	все его	3	4
133	со смердяковым	1	4
134	между тем	1	4
135	его мысль	2	4
136	все время	1	4
137	которым он	1	4
138	и у	2	4
139	не принимает	1	4
140	всяком случае	1	4
141	так как	3	4
142	у него	17	4
143	тем что	4	4
144	что не	1	4
145	до конца	14	4
146	а не	25	4
147	в творчестве	10	4
148	по своему	2	4
149	в той	2	4
150	это он	1	4
151	человек и	6	4
152	бы в	2	4
153	я в	1	4
154	во всяком	1	4
155	себя как	1	3
156	как его	1	3
157	это и	4	3
158	за собой	2	3
159	достоевского в	9	3
160	высшей степени	2	3
161	достоевского очень	2	3
162	он знает	2	3
163	в виду	2	3
164	во всех	1	3
165	мне все	1	3
166	для других	1	3
167	за пределы	4	3
168	в одной	1	3
169	с этим	3	3
170	когда он	3	3
171	героев достоевского	2	3
172	его к	1	3
173	все эти	2	3
174	ее как	1	3
175	и кто	1	3
176	в братьях	3	3
177	него и	2	3
178	к другу	1	3
179	знает что	1	3
180	было бы	10	3
181	нет в	4	3
182	в высшей	2	3
183	с тем	9	3
184	достоевского нет	5	3
185	вот я	1	3
186	в котором	8	3
187	к одному	1	3
188	не как	4	3
189	знал что	1	3
190	с миром	1	3
191	ничего не	3	3
192	к концу	4	3
193	и мысли	1	3
194	только с	1	3
195	записок из	5	3
196	не могу	1	3
197	в ее	3	3
198	с человеком	1	3
199	под влиянием	1	3
200	это я	1	3
201	и во	2	3
202	что и	4	3
203	это не	5	3
204	достоевского это	2	3
205	в него	3	3
206	друг к	1	3
207	того что	7	3
208	он уже	6	3
209	человека с	2	3
210	уже не	4	3
211	уже в	4	3
212	его и	1	3
213	братьях карамазовых	3	3
214	даже и	2	3
215	о своей	2	3
216	эти слова	2	3
217	сам не	2	3
218	должно быть	3	3
219	в начале	2	3
220	которой он	1	3
221	не мог	3	3
222	и от	2	3
223	конце концов	2	3
224	том что	3	3
225	отношением к	1	3
226	сказать что	2	3
227	я и	1	2
228	обращено к	1	2
229	чтобы не	2	2
230	его внутреннюю	1	2
231	не хочет	2	2
232	проникает в	2	2
233	и этот	4	2
234	он ничего	1	2
235	а как	2	2
236	она в	1	2
237	уверен что	1	2
238	и тут	1	2
239	еще до	1	2
240	время как	2	2
241	в ней	15	2
242	в которых	4	2
243	бы не	2	2
244	это сказать	1	2
245	отличие от	1	2
246	в своем	10	2
247	в душу	1	2
248	и как	2	2
249	скажете что	1	2
250	увидим что	4	2
251	в этот	2	2
252	следует быть	1	2
253	в которой	6	2
254	бы и	3	2
255	но ведь	1	2
256	как он	2	2
257	можно лишь	1	2
258	в записках	1	2
259	вообще не	2	2
260	всех этих	1	2
261	этот процесс	3	2
262	с таким	1	2
263	и по	4	2
264	на этом	3	2
265	ни был	1	2
266	это было	1	2
267	было в	1	2
268	чтобы все	1	2
269	он все	1	2
270	кажется что	1	2
271	достоевского и	10	2
272	же я	1	2
273	в этих	4	2
274	он дает	1	2
275	в отличие	1	2
276	мышкина с	1	2
277	бы так	1	2
278	вы скажете	1	2
279	войти в	1	2
280	что сам	1	2
281	тому чтобы	2	2
282	между двумя	1	2
283	вопрос о	2	2
284	если и	1	2
285	не менее	1	2
286	этими двумя	1	2
287	мысли в	1	2
288	к ней	4	2
289	по своей	2	2
290	такая же	1	2
291	мире и	1	2
292	достоевского как	2	2
293	иван карамазов	8	2
294	есть только	2	2
295	лежит в	1	2
296	про себя	1	2
297	а что	1	2
298	бы он	1	2
299	и он	12	2
300	и самое	1	2
301	обращенный к	1	2
302	уже с	1	2
303	так в	1	2
304	приводит к	2	2
305	с собой	3	2
306	можно было	1	2
307	особенно в	3	2
308	мог бы	4	2
309	жизнь и	1	2
310	от власти	1	2
311	о нем	2	2
312	именно потому	1	2
313	о том	2	2
314	и та	1	2
315	переходит в	15	2
316	тему о	4	2
317	и мир	2	2
318	быть и	1	2
319	на которой	1	2
320	одной из	1	2
321	мы увидим	3	2
322	я уверен	1	2
323	и кажется	1	2
324	в эти	1	2
325	себя в	3	2
326	в сторону	1	2
327	конечно не	3	2
328	в жизни	3	2
329	в душе	1	2
330	чего бы	1	2
331	него нет	1	2
332	связан с	1	2
333	он во	1	2
334	говорит о	1	2
335	на этот	2	2
336	всю жизнь	4	2
337	у человека	5	2
338	точек зрения	1	2
339	одна и	1	2
340	человека как	2	2
341	вступает в	1	2
342	вместе с	6	2
343	нет ни	1	2
344	не знал	4	2
345	ивана и	1	2
346	когда она	1	2
347	с этой	4	2
348	достоевского по	1	2
349	самое главное	1	2
350	словом о	1	2
351	ивану карамазову	1	2
352	я хотел	2	2
353	я хочу	3	2
354	его нельзя	1	2
355	для достоевского	5	2
356	хотя бы	3	2
357	будто бы	3	2
358	путь к	1	1
359	если вы	1	1
360	ту же	1	1
361	нем нет	1	1
362	кто бы	1	1
363	одним из	2	1
364	целым дням	1	1
365	оно менее	1	1
366	начинается с	1	1
367	и через	1	1
368	достоевского у	2	1
369	к духовной	1	1
370	кажется в	1	1
371	и пришел	1	1
372	своем достоевский	1	1
373	с какой-то	1	1
374	нему все	2	1
375	и до	1	1
376	отношения к	4	1
377	в их	4	1
378	сказать с	1	1
379	человеческий и	1	1
380	есть не	4	1
381	ни того	2	1
382	мы не	1	1
383	и ничего	1	1
384	достоевского даже	1	1
385	а где	1	1
386	почти все	1	1
387	достоевского мы	2	1
388	все переходит	1	1
389	ему в	1	1
390	то это	1	1
391	достоевского есть	19	1
392	зависимости от	1	1
393	себе что	1	1
394	слово он	1	1
395	собой в	1	1
396	он был	14	1
397	в преступлении	2	1
398	путь путь	1	1
399	в юности	1	1
400	отказ от	1	1
401	то он	1	1
402	человеке в	2	1
403	к которой	1	1
404	тех же	1	1
405	к богу	3	1
406	не все	2	1
407	него все	1	1
408	менее всего	7	1
409	раскольникова со	1	1
410	в центре	2	1
411	за этим	1	1
412	тем более	1	1
413	как последняя	1	1
414	совершенно другой	1	1
415	в различные	1	1
416	ней в	1	1
417	и преступление	1	1
418	говорит что	1	1
419	жизни нет	1	1
420	чего же	2	1
421	к чему	2	1
422	человек у	1	1
423	что достоевский	4	1
424	того ни	1	1
425	является лишь	1	1
426	в этой	6	1
427	может найти	1	1
428	роль в	1	1
429	мы чувствуем	1	1
430	во многих	1	1
431	все человеческие	1	1
432	люди а	1	1
433	в такую	1	1
434	человек не	10	1
435	в первых	1	1
436	он ни	2	1
437	к миру	2	1
438	раз когда	2	1
439	к героям	1	1
440	а вовсе	1	1
441	он должен	3	1
442	ведь не	1	1
443	был и	1	1
444	с последней	1	1
445	из него	1	1
446	заключает в	3	1
447	конца и	1	1
448	и заключается	1	1
449	человека в	13	1
450	и характер	1	1
451	нем есть	1	1
452	об этом	1	1
453	говорил что	1	1
454	в глубине	8	1
455	них не	1	1
456	на все	1	1
457	боли о	1	1
458	достоевского он	7	1
459	входит в	2	1
460	его личности	3	1
461	федора павловича	1	1
462	это имел	1	1
463	понять его	2	1
464	и мы	2	1
465	любовь к	2	1
466	делает его	1	1
467	по целым	1	1
468	был очень	2	1
469	участие в	1	1
470	только одно	3	1
471	достоевский и	3	1
472	период его	1	1
473	все было	1	1
474	личности не	1	1
475	и вопреки	1	1
476	нисколько не	1	1
477	перед собой	1	1
478	его образ	2	1
479	которую он	2	1
480	что сознание	1	1
481	почти нет	1	1
482	что такое	1	1
483	и ее	1	1
484	можно найти	1	1
485	достоевского его	1	1
486	но у	1	1
487	нельзя понять	1	1
488	мысли и	2	1
489	но путь	2	1
490	знал и	1	1
491	ко всему	1	1
492	и эти	1	1
493	такого отношения	3	1
494	и более	1	1
495	и почти	1	1
496	бы быть	1	1
497	самого ивана	1	1
498	человек так	1	1
499	своего образа	1	1
500	да ведь	1	1
501	мир он	2	1
502	весь в	5	1
503	она не	4	1
504	он все-таки	1	1
505	от нас	1	1
506	которых он	4	1
507	на два	1	1
508	что их	1	1
509	у кого	1	1
510	достоевский не	6	1
511	в основе	2	1
512	миру но	1	1
513	и именно	1	1
514	все мои	1	1
515	творчества достоевского	1	1
516	того чтобы	2	1
517	чем не	1	1
518	это еще	1	1
519	не разрешает	1	1
520	котором не	2	1
521	в самой	7	1
522	ведь может	1	1
523	настасьей филипповной	1	1
524	а лишь	1	1
525	и после	1	1
526	его он	1	1
527	не до	1	1
528	и страстный	1	1
529	свое собственное	1	1
530	не могут	5	1
531	когда мы	2	1
532	отличается от	2	1
533	всего в	2	1
534	значительной степени	1	1
535	не способен	1	1
536	как для	2	1
537	мысли о	2	1
538	для того	2	1
539	ставрогина и	1	1
540	человека нет	1	1
541	оно не	1	1
542	которой она	1	1
543	время он	1	1
544	него как	2	1
545	приходит к	1	1
546	можно и	1	1
547	она принадлежит	1	1
548	на нем	1	1
549	сравнению со	1	1
550	достоевского к	5	1
551	с сего	1	1
552	то время	2	1
553	рассудка и	2	1
554	достоевским как	1	1
555	верит в	1	1
556	в нескольких	1	1
557	чем у	4	1
558	она была	1	1
559	вершины своего	1	1
560	по сравнению	2	1
561	является в	1	1
562	поэтому в	1	1
563	был не	2	1
564	если бы	2	1
565	в содержании	1	1
566	достоевского особенно	1	1
567	он а	1	1
568	находится в	1	1
569	и человека	5	1
570	каждый раз	1	1
571	но к	1	1
572	и поэтому	1	1
573	силы но	1	1
574	это потому	1	1
575	уже знают	1	1
576	ли она	2	1
577	самому себе	2	1
578	самого достоевского	2	1
579	любви к	7	1
580	в значительной	1	1
581	нас в	1	1
582	нет у	3	1
583	все в	6	1
584	преступлению и	1	1
585	и рогожиным	1	1
586	от них	1	1
587	на одном	1	1
588	что человек	3	1
589	во всей	1	1
590	не видел	1	1
591	и только	1	1
592	даже для	1	1
593	боли в	1	1
594	в середине	4	1
595	природы он	2	1
596	карамазова со	1	1
597	достигает вершины	2	1
598	но она	1	1
599	подойти нельзя	1	1
600	и она	2	1
601	уходит в	1	1
602	карамазовых но	1	1
603	один из	4	1
604	значение в	1	1
605	сразу же	1	1
606	поэтому для	1	1
607	что только	1	1
608	этот вопрос	1	1
609	нем не	2	1
610	и часто	1	1
611	и действительно	1	1
612	те которые	9	1
613	это очень	3	1
614	действительной жизни	1	1
615	образа в	1	1
616	между этими	1	1
617	бы ни	1	1
618	герои достоевского	4	1
619	же он	1	1
620	мог это	1	1
621	то и	1	1
622	записках из	1	1
623	быть что	1	1
624	есть уже	4	1
625	ним не	1	1
626	этот момент	1	1
627	в ином	2	1
628	ответ на	1	1
629	свой собственный	1	1
630	себе в	1	1
631	ведь это	2	1
632	записки из	1	1
633	идет в	1	1
634	он мог	2	1
635	и показывает	1	1
636	и вместе	4	1
637	лишь один	1	1
638	но из	1	1
639	момент в	2	1
640	он возвращает	1	1
641	не были	1	1
642	и из	1	1
643	до сих	2	1
644	сам что	1	1
645	каждый человек	1	1
646	главное и	1	1
647	которых остается	1	1
648	по своим	1	1
649	а именно	1	1
650	мог вынести	1	1
651	человека а	3	1
652	к которому	1	1
653	чем он	1	1
654	действующих лиц	1	1
655	и быть	1	1
656	мы еще	2	1
657	самостоятельного существования	1	1
658	к его	1	1
659	обратиться к	1	1
660	же есть	1	1
661	николай ставрогин	1	1
662	и их	3	1
663	может ли	1	1
664	достоевского с	2	1
665	был в	4	1
666	у других	1	1
667	возможно лишь	1	1
668	не на	1	1
669	власти и	1	1
670	есть лишь	9	1
671	в идиоте	1	1
672	о чем	2	1
673	его собственной	2	1
674	него не	2	1
675	раскрыть себя	1	1
676	филипповны и	1	1
677	жизнь в	1	1
678	стоит в	1	1
679	если не	1	1
680	себя на	1	1
681	все более	1	1
682	но оно	1	1
683	новый момент	2	1
684	нет ничего	7	1
685	человек в	9	1
686	о своих	2	1
687	с первого	1	1
688	ко всем	3	1
689	и потому	10	1
690	в человеке	8	1
691	над ним	1	1
692	если так	1	1
693	с внутренней	2	1
694	он ведет	1	1
695	и скажет	1	1
696	слова он	1	1
697	находятся в	1	1
698	почувствовал что	2	1
699	самого себя	2	1
700	это его	1	1
701	образ и	2	1
702	в мир	3	1
703	в бесах	2	1
704	по ним	1	1
705	одно только	2	1
706	более и	1	1
707	человеку как	1	1
708	сих пор	2	1
709	только для	1	1
710	о его	1	1
711	не видит	1	1
712	имел в	1	1
713	в самые	1	1
714	великого инквизитора	5	1
715	совершается в	1	1
716	письма достоевского	1	1
717	и человек	2	1
718	его творчества	2	1
719	его нет	1	1
720	них иные	1	1
721	я всегда	2	1
722	в другой	1	1
723	бы даже	1	1
724	собой он	1	1
725	еще более	1	1
726	своих героев	2	1
727	не должен	1	1
728	достоевского вообще	1	1
729	образ достоевский	1	1
730	давно уже	1	1
731	в свою	2	1
732	это все	1	1
733	с ней	2	1
734	сохранить за	1	1
735	а ведь	1	1
736	с настасьей	1	1
737	но этот	1	1
738	будет одно	1	1
739	и жизнь	2	1
740	чему бы	1	1
741	в своих	1	1
742	все основные	1	1
743	и эта	1	1
744	к этому	2	1
745	кажется и	2	1
