N	2gram	Vinokur_Ku_2	VrazhdaK
1	в году	2	18
2	тургенева и	1	18
3	не только	20	9
4	в этом	18	8
5	и в	23	8
6	и что	8	8
7	достоевского и	2	7
8	но и	7	7
9	и все	2	7
10	то что	9	7
11	что в	10	7
12	все же	7	6
13	но в	11	6
14	в нем	4	6
15	как и	2	6
16	в котором	1	6
17	и с	7	6
18	и даже	2	6
19	то же	6	5
20	об этом	5	5
21	в то	4	5
22	же время	3	5
23	между тем	6	5
24	у него	3	5
25	не было	4	5
26	и не	16	5
27	в ней	3	4
28	что он	5	4
29	целый ряд	5	4
30	при этом	2	4
31	это не	6	4
32	несмотря на	5	4
33	все это	5	4
34	письме к	1	4
35	в виду	3	4
36	во многом	1	4
37	о том	1	4
38	для нас	4	4
39	у достоевского	1	4
40	уже в	3	4
41	может быть	15	4
42	как бы	4	4
43	в своих	2	4
44	так же	4	4
45	речь идет	2	3
46	я не	5	3
47	он был	1	3
48	в чем	1	3
49	с его	1	3
50	в своем	2	3
51	и как	1	3
52	на то	4	3
53	он не	3	3
54	далеко не	1	3
55	и уже	1	3
56	том что	11	3
57	но он	1	3
58	что есть	1	3
59	и его	3	3
60	связи с	3	3
61	и о	4	3
62	что у	2	3
63	русской литературе	1	3
64	в его	5	3
65	в том	19	3
66	давно уже	1	3
67	и у	2	3
68	в конце	4	3
69	тем что	3	3
70	в связи	4	3
71	эти слова	1	3
72	наряду с	1	3
73	т е	22	3
74	к этому	4	3
75	отношения к	2	2
76	же как	2	2
77	и то	5	2
78	печати и	2	2
79	и он	1	2
80	столь же	1	2
81	но как	1	2
82	ответ на	2	2
83	отнюдь не	4	2
84	в известном	1	2
85	в той	2	2
86	в этой	6	2
87	что к	1	2
88	в себе	1	2
89	в нашей	4	2
90	их в	1	2
91	таким образом	5	2
92	в одну	2	2
93	в глазах	2	2
94	в них	4	2
95	рядом с	2	2
96	мы знаем	4	2
97	не мог	1	2
98	точки зрения	14	2
99	в своей	2	2
100	с точки	8	2
101	место в	1	2
102	он тоже	1	2
103	не менее	7	2
104	том же	1	2
105	за год	2	2
106	одна из	1	2
107	никогда не	2	2
108	п в	3	2
109	и далее	2	2
110	на это	3	2
111	и это	3	2
112	году в	1	2
113	на основе	1	2
114	так в	3	2
115	еще не	5	2
116	а также	3	2
117	тем более	1	2
118	по мнению	1	2
119	уже не	8	2
120	его и	1	2
121	для него	1	2
