N	3gram	Berdyaev_V_1	Problema
1	и т д	2	10
2	то что мы	3	6
3	в том что	2	5
4	т д и	1	4
5	в конце концов	1	4
6	д и т	1	3
7	с другой стороны	1	3
8	по крайней мере	1	2
9	в сознании и	1	2
10	то и другое	1	2
11	и что в	1	2
12	потому что оно	1	2
13	и в этом	1	2
14	в одно целое	1	2
15	есть еще и	1	2
16	а между тем	2	1
17	вместе с тем	1	1
18	во что бы	1	1
19	то ни стало	1	1
20	есть прежде всего	1	1
21	что бы то	1	1
22	так и в	1	1
23	в известном смысле	1	1
24	не могут быть	1	1
25	бы то ни	1	1
26	тем что они	1	1
27	раз и навсегда	1	1
28	к тому что	3	1
29	как и в	1	1
