N	2gram	Bakhtin_KF_1	Literetu
1	не только	5	24
2	при этом	4	19
3	в качестве	2	17
4	но и	9	17
5	в том	6	16
6	а не	17	16
7	том что	4	14
8	может быть	45	13
9	сознания в	2	12
10	и не	26	12
11	в этом	14	12
12	в своем	16	11
13	прежде всего	2	11
14	то что	7	10
15	эстетического субъекта	1	9
16	в целом	10	8
17	не в	12	8
18	и в	24	8
19	только в	16	8
20	как это	1	8
21	я и	2	7
22	я не	6	7
23	как бы	9	7
24	в себе	21	7
25	не менее	3	7
26	в его	40	7
27	уже не	7	7
28	и я	5	6
29	то есть	1	6
30	как и	5	6
31	точки зрения	12	6
32	того что	3	6
33	в жизни	2	6
34	себя в	8	6
35	то же	5	5
36	как в	2	5
37	в то	3	5
38	для себя	5	5
39	же время	2	5
40	в конечном	1	5
41	же в	1	5
42	что он	2	5
43	не может	27	5
44	в данном	2	5
45	я в	1	5
46	с его	1	5
47	тем самым	4	5
48	в своей	10	4
49	еще не	4	4
50	столь же	1	4
51	но не	12	4
52	конечном счете	1	4
53	в этой	2	4
54	все же	5	4
55	перестает быть	1	4
56	не как	4	4
57	с собой	1	4
58	лишь в	8	4
59	для этого	2	4
60	и его	17	4
61	никогда не	5	4
62	так и	2	4
63	и тем	3	4
64	мир в	11	4
65	друг друга	1	4
66	как раз	1	4
67	лирический герой	1	4
68	и т.п	1	4
69	со стороны	7	4
70	эстетической деятельности	1	4
71	это не	10	4
72	культуры в	1	4
73	в своих	3	4
74	и есть	9	3
75	тем же	1	3
76	исходит из	1	3
77	также и	1	3
78	самого себя	1	3
79	по отношению	26	3
80	более чем	1	3
81	субъекта и	1	3
82	в самом	1	3
83	бы не	3	3
84	в принципе	2	3
85	той же	1	3
86	его в	5	3
87	в душе	1	3
88	он и	2	3
89	несмотря на	1	3
90	не мог	1	3
91	художественного творчества	1	3
92	в их	8	3
93	но в	5	3
94	том же	1	3
95	что ему	1	3
96	дело в	2	3
97	одна из	1	3
98	в основе	5	3
99	не должен	3	3
100	в области	2	3
101	к себе	2	3
102	всего в	1	3
103	в виду	3	3
104	приводит к	1	3
105	сводится к	2	3
106	нуждается в	1	3
107	по своей	1	3
108	один из	2	3
109	сознание в	1	3
110	потому что	2	3
111	одно из	1	3
112	и даже	1	3
113	и др	1	3
114	не было	8	3
115	мира в	6	3
116	жизни и	8	3
117	что в	4	3
118	а в	4	3
119	же и	1	3
120	во всяком	1	3
121	чтобы не	2	2
122	того же	1	2
123	не остается	2	2
124	и то	2	2
125	самом деле	3	2
126	из его	3	2
127	должна быть	4	2
128	и само	1	2
129	та же	2	2
130	а для	2	2
131	во мне	3	2
132	а только	1	2
133	нет не	1	2
134	относится к	1	2
135	отнюдь не	6	2
136	его я	1	2
137	бы я	1	2
138	мысль в	1	2
139	действительного мира	5	2
140	или иную	1	2
141	все эти	10	2
142	с чем	1	2
143	в нем	28	2
144	поскольку он	2	2
145	не к	1	2
146	на этом	1	2
147	здесь как	1	2
148	для нее	7	2
149	было бы	8	2
150	на почве	1	2
151	я другой	1	2
152	и того	2	2
153	от своего	1	2
154	как все	1	2
155	а как	2	2
156	всяком случае	1	2
157	с точки	9	2
158	от себя	10	2
159	что я	5	2
160	я есть	1	2
161	эта мысль	1	2
162	тем не	2	2
163	освободиться от	1	2
164	раз и	2	2
165	на один	1	2
166	при всех	1	2
167	дело не	2	2
168	мышления и	2	2
169	жизни не	1	2
170	в сознании	2	2
171	могут быть	3	2
172	к тому	1	2
173	должен быть	7	2
174	я люблю	1	2
175	более не	1	2
176	в себя	7	2
177	но при	1	2
178	на том	1	2
179	друг для	1	2
180	в мире	6	2
181	освобождения от	1	2
182	ту же	1	2
183	или иной	2	2
184	в другом	3	2
185	о том	3	2
186	не могло	1	2
187	мир и	1	2
188	между тем	4	2
189	во втором	1	2
190	и только	6	2
191	хотя бы	4	2
192	их не	1	2
193	только на	1	2
194	что не	3	2
195	ту или	1	2
196	для него	8	2
197	себе в	1	2
198	тем что	3	2
199	с действительностью	1	2
200	сознания для	1	2
201	нового времени	1	2
202	превращается в	1	2
203	этого не	1	2
204	не тот	1	2
205	нет ничего	1	2
206	если оно	1	2
207	это уже	2	2
208	не является	1	2
209	своем я	1	2
210	в индивидуальном	1	2
211	для друга	1	2
212	все они	1	2
213	не есть	20	2
214	отношению к	22	2
215	ко всему	5	2
216	и культуры	1	2
217	в искусстве	1	2
218	по поводу	1	2
219	место не	2	1
220	бытия по	1	1
221	три строки	1	1
222	на самом	3	1
223	показать что	1	1
224	проникает в	5	1
225	оно было	1	1
226	и этот	3	1
227	и за	2	1
228	вживания в	1	1
229	в историю	1	1
230	мы не	3	1
231	которую я	1	1
232	я как	1	1
233	вопрос о	2	1
234	не была	1	1
235	входит как	2	1
236	культуры из	1	1
237	жизни как	5	1
238	ему в	2	1
239	зависимости от	1	1
240	я живу	2	1
241	и он	1	1
242	ним и	3	1
243	быть в	4	1
244	бы то	2	1
245	в различных	1	1
246	в чем	4	1
247	тем как	3	1
248	но как	5	1
249	всем его	3	1
250	к которой	2	1
251	сознания не	2	1
252	себе самой	1	1
253	отношение к	5	1
254	бы себя	1	1
255	изнутри самого	4	1
256	и будет	1	1
257	не просто	1	1
258	мысль каждый	1	1
259	лишь своего	1	1
260	переживание переживания	2	1
261	я только	1	1
262	один и	1	1
263	это мир	2	1
264	его на	2	1
265	как к	2	1
266	и жить	1	1
267	мы можем	1	1
268	и как	2	1
269	эстетическому субъекту	1	1
270	для которой	3	1
271	с действительной	2	1
272	за собой	1	1
273	человек со	1	1
274	себе как	2	1
275	в которой	1	1
276	взаимоотношений между	1	1
277	это открытие	1	1
278	в нашем	1	1
279	если мы	1	1
280	для эстетического	1	1
281	субъекту бытия	1	1
282	на то	1	1
283	вследствие этого	2	1
284	действительную жизнь	1	1
285	задний план	1	1
286	а скорее	1	1
287	он не	6	1
288	но само	1	1
289	едва ли	2	1
290	прочим и	1	1
291	остается лишь	1	1
292	в зависимости	1	1
293	целом как	2	1
294	постольку поскольку	1	1
295	и по	1	1
296	ни был	2	1
297	не должно	3	1
298	но все	5	1
