N	3gram	Vinokur_St_3	Problema
1	и т п	6	13
2	не может быть	5	11
3	с точки зрения	4	6
4	между тем как	2	5
5	с другой стороны	4	4
6	на самом деле	1	3
7	в самом деле	1	3
8	в этом смысле	4	3
9	можно было бы	1	3
10	в применении к	1	3
11	с одной стороны	2	3
12	то же время	3	3
13	в том что	11	3
14	в то же	3	3
15	тем не менее	2	3
16	можно сказать что	1	2
17	и художественного творчества	1	2
18	то же самое	1	2
19	в том же	1	2
20	но и в	2	2
21	в лучшем случае	1	2
22	и в частности	1	2
23	не только в	3	2
24	той или иной	1	2
25	в известной степени	1	2
26	для того чтобы	1	2
27	и с его	1	2
28	в этом отношении	4	2
29	тем как в	1	2
30	и может быть	1	1
31	иметь в виду	1	1
32	в свою очередь	1	1
33	в этих контекстах	1	1
34	не говоря уже	1	1
35	и пр в	2	1
36	можно и должно	1	1
37	до сих пор	2	1
38	говоря уже о	1	1
39	именно то что	1	1
40	и в других	1	1
41	с тем что	3	1
42	на основе общей	1	1
43	ни в какой	1	1
44	на то что	3	1
45	а иногда и	1	1
46	и не в	2	1
47	и тем не	2	1
48	и др или	1	1
49	то время как	4	1
50	в некоторых случаях	1	1
51	и в этом	2	1
52	не в том	3	1
53	в связи с	3	1
54	в том смысле	2	1
55	в этом направлении	1	1
56	тем или иным	1	1
57	независимо от их	1	1
58	это находит свое	1	1
59	уже не к	1	1
60	в свое время	1	1
61	что не имеет	1	1
62	таким образом в	1	1
63	то что в	1	1
64	прежде всего от	1	1
65	том смысле что	1	1
66	в то время	4	1
67	его отношение к	1	1
68	словами о том	1	1
69	и т д	2	1
70	что в его	1	1
71	свое отражение в	1	1
72	на протяжении всего	1	1
73	то есть и	1	1
74	и в самом	1	1
75	вопрос о том	1	1
76	в его работе	2	1
77	в другом случае	1	1
78	к тому что	2	1
79	к вопросу о	1	1
80	но эти попытки	1	1
81	отметить что в	1	1
82	что все они	1	1
83	и в другом	1	1
