N	2gram	Berdyaev_M_2	Russkaja
1	не может	15	22
2	и не	18	19
3	в том	3	17
4	в этом	20	17
5	и в	46	14
6	то что	5	13
7	самим собой	1	12
8	то же	5	11
9	точки зрения	2	11
10	но и	15	10
11	в себе	10	9
12	не только	18	9
13	том что	4	9
14	с точки	1	9
15	может быть	21	9
16	церкви и	1	9
17	того чтобы	4	8
18	прежде всего	12	8
19	русской интеллигенции	1	8
20	как на	1	8
21	самом деле	1	7
22	и если	2	7
23	к богу	2	7
24	и с	3	7
25	к тому	5	7
26	не будет	3	7
27	о том	3	7
28	самого себя	4	7
29	мы должны	1	7
30	ни к	1	7
31	к которой	3	6
32	если в	1	6
33	в своем	8	6
34	и к	7	6
35	в россии	3	6
36	с тем	1	6
37	в своих	3	6
38	признать что	1	6
39	если бы	3	6
40	все это	1	6
41	и для	7	6
42	для того	5	6
43	что он	7	6
44	для него	18	6
45	на самом	1	6
46	а между	1	5
47	вопрос о	6	5
48	и на	3	5
49	во имя	16	5
50	во всех	2	5
51	на то	1	5
52	в нем	22	5
53	он не	10	5
54	он должен	1	5
55	церкви к	1	5
56	было бы	1	5
57	в своей	5	5
58	никогда не	18	5
59	потому что	12	5
60	между тем	2	5
61	а потому	1	5
62	и только	1	5
63	только в	3	5
64	хотя бы	7	5
65	или иной	2	5
66	до сих	3	5
67	себя и	3	5
68	сих пор	3	5
69	а в	2	5
70	жизни в	3	5
71	и то	1	4
72	себе и	2	4
73	себя в	4	4
74	не в	9	4
75	в этой	7	4
76	на земле	8	4
77	что такой	1	4
78	его в	3	4
79	как и	13	4
80	которой он	1	4
81	тогда когда	2	4
82	во всем	5	4
83	а лишь	2	4
84	к соединению	2	4
85	церковь не	1	4
86	от того	3	4
87	не могут	1	4
88	приводит к	1	4
89	в мире	7	4
90	можно было	2	4
91	путь к	1	4
92	в его	5	4
93	так как	8	4
94	вместе с	2	4
95	что же	2	4
96	как бы	8	4
97	в другое	1	4
98	жизни и	6	4
99	что в	4	4
100	к этой	1	4
101	все что	4	4
102	то в	2	3
103	к народу	1	3
104	говорить о	1	3
105	в будущем	1	3
106	он сам	6	3
107	россии и	2	3
108	что они	3	3
109	в самом	5	3
110	что это	6	3
111	в другом	1	3
112	лишь в	2	3
113	для них	1	3
114	должно быть	2	3
115	но если	1	3
116	можно ли	3	3
117	связи с	2	3
118	в сознании	1	3
119	той или	1	3
120	приходит к	2	3
121	что все	5	3
122	для этого	4	3
123	может не	1	3
124	в значительной	1	3
125	и во	3	3
126	что и	4	3
127	а следовательно	1	3
128	того что	6	3
129	в конце	5	3
130	друг друга	12	3
131	тем что	3	3
132	не было	11	3
133	и потому	7	3
134	да и	2	3
135	культуры в	1	3
136	конце концов	1	3
137	и как	1	3
138	все они	1	3
139	не есть	13	3
140	из этого	1	3
141	от этой	2	2
142	к отрицанию	5	2
143	бы для	1	2
144	и есть	8	2
145	от своей	2	2
146	должна быть	1	2
147	этом направлении	1	2
148	к чему	4	2
149	и полнотой	1	2
150	но она	2	2
151	на себя	1	2
152	полное и	1	2
153	в ней	11	2
154	там и	6	2
155	они будут	1	2
156	вполне и	1	2
157	по отношению	2	2
158	сама по	1	2
159	с этим	1	2
160	целый ряд	1	2
161	к культуре	1	2
162	но в	10	2
163	это есть	2	2
164	все эти	1	2
165	что ничего	1	2
166	и тот	2	2
167	во многих	1	2
168	и те	2	2
169	не к	2	2
170	и вот	5	2
171	европейской культуры	1	2
172	на почве	3	2
173	по себе	2	2
174	и тем	1	2
175	стремления к	1	2
176	этого не	1	2
177	этой борьбы	1	2
178	культуры с	1	2
179	и тогда	3	2
180	народа и	4	2
181	в этих	2	2
182	будет в	1	2
183	что такое	1	2
184	в котором	1	2
185	место в	2	2
186	ее он	1	2
187	другом и	1	2
188	и более	1	2
189	их в	1	2
190	любовь к	8	2
191	тому что	4	2
192	она не	8	2
193	принадлежат к	3	2
194	у него	22	2
195	к такому	1	2
196	следовательно и	1	2
197	есть единственная	2	2
198	людей и	3	2
199	как будто	2	2
200	к себе	2	2
201	всю свою	1	2
202	отличается от	1	2
203	для себя	1	2
204	и человек	3	2
205	культуры и	1	2
206	с самим	3	2
207	в борьбе	1	2
208	и должно	3	2
209	и что	2	2
210	были бы	2	2
211	любви к	7	2
212	к нему	2	2
213	это в	1	2
214	быть и	2	2
215	бы ни	1	2
216	так что	2	2
217	уже не	4	2
218	на такой	1	2
219	его и	1	2
220	не так	3	2
221	ни в	3	2
222	не о	2	2
223	только с	3	2
224	у многих	1	2
225	а с	1	2
226	считает себя	3	2
227	не нужна	1	2
228	у других	1	2
229	а не	13	2
230	на эту	1	2
231	так же	6	2
232	– не	3	2
233	в меру	1	2
234	если человек	2	2
235	отношения к	2	2
236	есть и	3	2
237	но это	8	2
238	но для	2	2
239	остается в	1	2
240	с интересами	1	2
241	и от	3	2
242	самом себе	1	2
243	с ним	3	2
244	отношении к	3	2
245	бы его	2	2
246	ее в	2	2
247	в сфере	2	1
248	должен быть	4	1
249	культурного творчества	1	1
250	того же	1	1
251	он может	1	1
252	это и	3	1
253	на деле	4	1
254	национальной и	1	1
255	не хочет	1	1
256	с культурой	1	1
257	права и	1	1
258	от которых	1	1
259	себя принадлежащим	1	1
260	с таким	2	1
261	со своей	1	1
262	и за	2	1
263	также и	4	1
264	их и	1	1
265	есть не	5	1
266	христианства в	1	1
267	от всякой	1	1
268	для достижения	1	1
269	мы не	1	1
270	же как	3	1
271	народ живет	2	1
272	он считает	2	1
273	преимущественно из	1	1
274	ни у	1	1
275	не была	1	1
276	в сущности	2	1
277	путь ко	1	1
278	это отношение	1	1
279	они были	3	1
280	формы в	1	1
281	земле что	1	1
282	он был	9	1
283	на них	1	1
284	не был	2	1
285	ума если	1	1
286	друг к	5	1
287	к этому	1	1
288	нельзя понимать	1	1
289	значение и	1	1
290	только тогда	1	1
291	есть по	2	1
292	должны были	1	1
293	абсолютное значение	1	1
294	человек может	1	1
295	которые не	1	1
296	революция и	1	1
297	кто не	1	1
298	когда он	1	1
299	имя человеколюбия	1	1
300	от этого	2	1
301	смирением и	1	1
302	вот на	1	1
303	не быть	1	1
304	в смысл	2	1
305	за границей	1	1
306	в которой	2	1
307	нее он	1	1
308	привести к	5	1
309	ни один	1	1
310	бы не	2	1
311	только один	1	1
312	в жертву	1	1
313	если он	2	1
314	но на	2	1
315	на его	2	1
316	идет дальше	3	1
317	верит в	2	1
318	они в	1	1
319	есть та	1	1
320	к одному	1	1
321	этого вопроса	2	1
322	– на	1	1
323	этой природы	1	1
324	преклонения перед	1	1
325	с социализмом	1	1
326	находит себе	1	1
327	но все	1	1
328	значительной степени	1	1
329	тем в	1	1
330	борьбы и	1	1
331	об этом	1	1
332	к другу	5	1
333	входит в	1	1
334	мира сего	3	1
335	цивилизации и	1	1
336	его личности	1	1
337	должен привести	3	1
338	это не	5	1
339	то все	2	1
340	есть истинная	1	1
341	в жизни	4	1
342	ввергнуть его	1	1
343	много есть	1	1
344	из нее	1	1
