N	2gram	Propp_Russ_1	VLabPisa
1	таким образом	6	27
2	в этом	12	26
3	и в	36	25
4	и т	10	24
5	не только	22	22
6	может быть	8	21
7	и не	6	19
8	не может	4	17
9	т е	17	17
10	т д	9	15
11	в его	2	15
12	в том	17	13
13	этом отношении	1	13
14	все это	6	12
15	как это	8	12
16	в частности	2	12
17	в силу	2	11
18	вот что	1	11
19	из них	8	11
20	в качестве	3	10
21	не могут	1	10
22	о том	8	10
23	т п	1	9
24	об этом	9	9
25	что в	19	9
26	по этому	3	9
27	но и	16	9
28	то же	3	9
29	и др	4	9
30	к этому	4	9
31	все эти	2	8
32	на основании	1	8
33	могут быть	2	8
34	в своем	3	8
35	он пишет	1	7
36	из этих	4	7
37	как и	10	7
38	говорит о	1	7
39	же в	1	7
40	отношению к	1	7
41	не было	2	7
42	этому поводу	2	7
43	во всех	4	7
44	в году	2	7
45	вместе с	10	7
46	по отношению	1	7
47	а не	2	7
48	было бы	1	7
49	том что	19	7
50	главным образом	2	6
51	в себе	1	6
52	и его	1	6
53	так и	7	6
54	в нем	2	6
55	у него	2	6
56	между тем	7	6
57	это не	10	6
58	то что	6	6
59	в то	1	6
60	том же	2	6
61	их в	3	6
62	в основном	3	6
63	приводит к	3	5
64	все же	5	5
65	в их	4	5
66	зависимости от	1	5
67	сказать что	1	5
68	один из	8	5
69	на основе	1	5
70	очевидно что	1	5
71	думается что	1	5
72	тому что	4	5
73	только в	4	5
74	он же	3	5
75	не является	1	5
76	в пределах	1	5
77	связи с	4	5
78	как бы	5	5
79	и при	1	5
80	в связи	4	4
81	можно сказать	1	4
82	вот почему	1	4
83	в одном	3	4
84	в нашей	1	4
85	в целом	2	4
86	перед нами	1	4
87	что все	1	4
88	с ними	5	4
89	в них	6	4
90	одна из	4	4
91	в этой	1	4
92	когда он	2	4
93	к тому	4	4
94	их и	3	4
95	с его	1	4
96	приведенных выше	1	4
97	что он	1	4
98	показывают что	2	4
99	из приведенных	3	3
100	п в	13	3
101	или в	2	3
102	жизни и	1	3
103	что они	7	3
104	так же	3	3
105	как на	1	3
106	что пишет	1	3
107	и ее	1	3
108	и их	4	3
109	точки зрения	3	3
110	имеет свою	1	3
111	например в	2	3
112	и он	1	3
113	с тем	8	3
114	его в	1	3
115	того что	4	3
116	видно из	1	3
117	и к	3	3
118	некоторые из	1	3
119	у нас	8	3
120	что не	1	3
121	пишет в	3	3
122	с этим	2	3
123	дают возможность	1	3
124	следующим образом	4	3
125	мы видели	1	3
126	во время	14	3
127	всех этих	2	3
128	никак не	1	3
129	что и	7	3
130	она не	2	3
131	далеко не	3	3
132	одном из	1	3
133	по существу	4	3
134	и по	8	3
135	в которых	5	3
136	по поводу	1	3
137	в виду	1	3
138	этот вопрос	2	3
139	и как	2	3
140	мы знаем	1	3
141	те из	1	2
142	в которой	1	2
143	и непосредственно	2	2
144	еще не	4	2
145	же как	1	2
146	если они	1	2
147	должны быть	1	2
148	говорить о	1	2
149	сообщает о	4	2
150	мы наблюдаем	2	2
151	как например	3	2
152	и для	2	2
153	показывает что	5	2
154	к этим	1	2
155	еще и	1	2
156	в жизни	2	2
157	очень многие	1	2
158	не менее	3	2
159	и просто	1	2
160	не по	1	2
161	нет никаких	1	2
162	из основных	1	2
163	только о	1	2
164	было в	1	2
165	который по	1	2
166	года и	1	2
167	если в	3	2
168	во всяком	1	2
169	можно было	1	2
170	между прочим	2	2
171	от до	1	2
172	ли не	1	2
173	а в	9	2
174	по его	1	2
175	между ними	1	2
176	в образе	2	2
177	как он	2	2
178	но не	2	2
179	они должны	1	2
180	и некоторые	3	2
181	до нас	1	2
182	а затем	1	2
183	эта теория	1	2
184	ни одна	1	2
185	хотя и	2	2
186	что для	1	2
187	представляют собою	1	2
188	из которых	1	2
189	одном и	1	2
190	которые в	1	2
191	но в	2	2
192	они и	2	2
193	начнем с	1	2
194	тогда когда	1	2
195	отнюдь не	2	2
196	в самых	1	2
197	относится к	1	2
198	в чем	1	2
199	в течение	5	2
200	труда и	1	2
201	и потому	2	2
202	всяком случае	1	2
203	к ним	3	2
204	не столько	1	2
205	о чем	3	2
206	основываясь на	1	2
207	видеть в	1	2
208	в целях	3	2
209	не о	1	2
210	мы имеем	4	2
211	ту же	1	2
212	в каждом	2	2
213	тому как	1	2
214	если бы	1	2
215	в особенности	2	2
216	не всегда	1	2
217	но даже	2	2
218	из своих	1	2
219	не вполне	1	2
220	будто бы	6	2
221	от того	1	2
222	во всей	1	2
223	чтобы не	1	2
224	как известно	2	2
225	он не	1	2
226	как у	1	2
227	в различных	2	2
228	и том	1	2
229	в своих	2	2
230	народных песен	1	2
231	также и	1	2
232	от них	3	2
233	в общем	1	2
234	не приходится	1	2
235	подобно тому	1	2
236	после этого	4	2
237	чрезвычайно разнообразны	1	2
238	значит что	2	2
239	начиная с	3	2
240	в области	3	2
241	это видно	1	2
242	в ней	2	2
243	много и	3	2
244	н ф	1	2
245	что она	2	2
246	с а	1	2
247	несколько примеров	1	2
248	всего не	1	2
249	они не	1	2
250	так например	6	2
251	но для	1	2
252	что мы	1	2
253	том чтобы	1	2
254	он и	1	2
255	дня и	1	2
256	несколько иной	1	1
257	к таким	3	1
258	что по	4	1
259	действительности которая	1	1
260	характер этой	1	1
261	не означает	2	1
262	и из	3	1
263	его от	2	1
264	своем дневнике	1	1
265	каждый из	1	1
266	с целью	2	1
267	нет даже	1	1
268	как мы	10	1
269	это подтверждается	1	1
270	не значит	2	1
271	в в	2	1
272	но она	2	1
273	еще до	2	1
