N	3gram	Ircho_Kome_1	FransuaR
1	в то же	4	6
2	то же время	4	6
3	на протяжении всего	2	5
4	не только в	1	5
5	но и в	2	4
6	до сих пор	2	4
7	но прежде всего	1	3
8	в этом отношении	3	3
9	с одной стороны	3	3
10	о том что	3	3
11	большей или меньшей	1	3
12	с другой стороны	5	3
13	как мы уже	1	3
14	и его современники	1	2
15	до наших дней	1	2
16	в значительной степени	1	2
17	и его современников	1	2
18	во всяком случае	2	2
19	как мы видели	1	2
20	подобно тому как	1	2
21	до конца в	1	1
22	в подземное царство	1	1
23	время от времени	1	1
24	сих пор остается	1	1
25	по отношению к	3	1
26	и все остальные	1	1
27	дошли до нас	1	1
28	в том же	1	1
29	тех случаях когда	1	1
30	том же году	1	1
31	ни в коем	1	1
32	выходит далеко за	1	1
33	при этом что	2	1
34	в первую очередь	2	1
35	таким образом в	2	1
36	далеко за пределы	1	1
37	но он не	1	1
38	в коем случае	1	1
39	него самого и	1	1
40	в конце концов	4	1
41	и тот же	1	1
42	в борьбе с	1	1
43	в предисловии к	1	1
44	в чем же	1	1
45	было бы однако	1	1
46	в тех случаях	1	1
47	и вот в	1	1
48	половине vii века	1	1
49	из наиболее ярких	1	1
50	и особенно в	1	1
51	в сущности и	1	1
52	в тех же	2	1
53	г как мы	1	1
54	только один человек	1	1
55	и прежде всего	1	1
56	в новое время	2	1
57	на то что	2	1
58	во второй половине	2	1
59	в большинстве случаев	1	1
60	после того как	3	1
61	что уже в	1	1
62	о его значении	1	1
63	для того чтобы	1	1
64	в том что	9	1
65	и все это	1	1
66	как и в	2	1
67	но ни в	1	1
68	в нашу задачу	1	1
