N	2gram	Medvedev_U_1	Dialekti
1	не есть	2	40
2	и не	8	30
3	а не	10	18
4	ничего не	2	17
5	может быть	6	17
6	то что	7	16
7	и в	14	15
8	по себе	2	13
9	того что	1	13
10	это не	3	12
11	в этом	7	11
12	в том	2	11
13	прежде всего	8	11
14	не может	7	11
15	и все	1	11
16	том что	2	10
17	то же	5	9
18	мы не	2	9
19	было бы	3	9
20	в виду	1	9
21	и что	1	9
22	уже не	1	9
23	все это	5	9
24	не в	2	8
25	в себе	2	8
26	не только	10	8
27	и это	1	8
28	это значит	1	8
29	должна быть	2	7
30	как и	3	7
31	по крайней	2	7
32	только в	2	7
33	крайней мере	2	7
34	что мы	2	7
35	что он	2	7
36	что в	1	7
37	если бы	2	6
38	в то	3	6
39	же время	3	6
40	что и	2	6
41	и даже	1	6
42	тем более	1	6
43	сказать что	1	6
44	в сфере	1	5
45	той же	1	5
46	мы имеем	1	5
47	быть в	1	5
48	с его	2	5
49	в своем	1	5
50	на то	1	5
51	что она	2	5
52	в нем	1	5
53	что такое	4	5
54	в ней	1	5
55	но что	1	5
56	тогда когда	1	5
57	как таковой	2	5
58	таким образом	2	5
59	о том	1	5
60	так и	1	5
61	можно сказать	1	5
62	и для	2	5
63	но если	1	5
64	или по	1	4
65	хотя бы	5	4
66	в этой	4	4
67	в течение	1	4
68	бы только	1	4
69	не как	3	4
70	то ни	3	4
71	и с	2	4
72	этом смысле	2	4
73	с тем	1	4
74	она не	1	4
75	так то	1	4
76	что все	2	4
77	в его	2	4
78	не о	3	4
79	само по	1	4
80	как раз	2	4
81	отнюдь не	1	4
82	и эстетической	1	4
83	но это	2	4
84	тех или	2	4
85	бы в	1	4
86	но и	4	4
87	и то	3	3
88	надо было	2	3
89	как таковое	1	3
90	но в	3	3
91	бы и	2	3
92	об этом	1	3
93	в данном	1	3
94	в своей	3	3
95	в их	4	3
96	она в	1	3
97	только для	1	3
98	и истории	1	3
99	мы можем	1	3
100	могут быть	2	3
101	в словах	1	3
102	вот почему	7	3
103	для всех	2	3
104	в виде	1	3
105	даже и	2	3
106	в области	3	3
107	за пределы	1	3
108	у нас	3	3
109	и потому	1	3
110	из которых	1	3
111	к этому	1	3
112	человека и	1	2
113	бы ни	1	2
114	сам по	1	2
115	как таковая	1	2
116	нет и	1	2
117	все же	3	2
118	что по	1	2
119	в этот	1	2
120	в самом	2	2
121	в которой	1	2
122	мы получаем	2	2
123	претендует на	1	2
124	в понятии	1	2
125	а это	1	2
126	это было	2	2
127	но именно	1	2
128	и вне	1	2
129	должно быть	1	2
130	в котором	1	2
