N	2gram	Tiupa_Narr_1	Literetu
1	не только	32	24
2	при этом	9	19
3	в качестве	21	17
4	но и	23	17
5	в том	18	16
6	а не	12	16
7	в частности	14	15
8	том что	14	14
9	в году	1	13
10	тогда как	12	13
11	может быть	25	13
12	сознания в	1	12
13	и не	20	12
14	в этом	17	12
15	в своем	2	11
16	состоит в	13	11
17	своего рода	12	11
18	прежде всего	4	11
19	в русской	1	10
20	такого рода	7	10
21	то что	11	10
22	или иначе	3	9
23	в целом	1	8
24	так или	2	8
25	не в	14	8
26	в тексте	16	8
27	и в	19	8
28	только в	4	8
29	как это	6	8
30	как бы	4	7
31	в себе	8	7
32	не менее	3	7
33	коммуникативного события	12	7
34	в его	9	7
35	уже не	5	7
36	в рамках	12	6
37	то есть	19	6
38	как и	7	6
39	точки зрения	10	6
40	и сам	1	6
41	того что	1	6
42	связи с	4	6
43	себя в	5	6
44	в хх	1	6
45	одним из	2	5
46	то же	4	5
47	хх веке	1	5
48	коммуникативная стратегия	1	5
49	отличие от	5	5
50	как в	7	5
51	наш взгляд	1	5
52	на наш	1	5
53	не столько	4	5
54	в отличие	5	5
55	в то	3	5
56	для себя	1	5
57	а также	7	5
58	же время	4	5
59	в конечном	3	5
60	русской литературе	1	5
61	же в	4	5
62	что он	6	5
63	уже в	3	5
64	не может	10	5
65	в данном	5	5
66	с этой	1	5
67	с его	6	5
68	тем самым	6	5
69	еще не	7	4
70	столь же	3	4
71	но не	5	4
72	конечном счете	2	4
73	в этой	5	4
74	в художественном	1	4
75	все же	7	4
76	всего лишь	2	4
77	представляет собой	13	4
78	в случае	7	4
79	не как	2	4
80	в силу	4	4
81	лишь в	1	4
82	и его	5	4
83	данном случае	4	4
84	никогда не	3	4
85	так и	9	4
86	и адресата	1	4
87	коммуникативное событие	3	4
88	и тем	4	4
89	из них	3	4
90	мир в	1	4
91	в конце	1	4
92	как раз	2	4
93	и т.п	8	4
94	о себе	1	4
95	в связи	2	4
96	со стороны	9	4
97	это не	2	4
98	культуры в	1	4
99	например в	2	3
100	и есть	1	3
101	также и	1	3
102	по отношению	7	3
103	субъекта и	2	3
104	в самом	1	3
105	бы не	2	3
106	в принципе	4	3
107	силу своей	1	3
108	с восприятием	1	3
109	таким образом	1	3
110	исходя из	2	3
111	его в	2	3
112	далеко не	5	3
113	он и	1	3
114	несмотря на	2	3
115	не мог	4	3
116	в их	1	3
117	но в	6	3
118	том же	1	3
119	дело в	1	3
120	одна из	3	3
121	в основе	5	3
122	не должен	1	3
123	в области	2	3
124	к себе	5	3
125	всего в	1	3
126	говоря словами	2	3
127	в виду	1	3
128	в пределах	2	3
129	приводит к	2	3
130	по аналогии	1	3
131	одного из	4	3
132	сводится к	3	3
133	нуждается в	5	3
134	другого в	1	3
135	не сводится	2	3
136	по своей	3	3
137	один из	3	3
138	и прежде	1	3
139	своего другого	1	3
140	потому что	1	3
141	одно из	2	3
142	при всей	4	3
143	у него	4	3
144	и даже	3	3
145	с другой	8	3
146	и др	2	3
147	не было	2	3
148	мира в	5	3
149	по характеристике	4	3
150	да и	4	3
151	этой точки	2	3
152	мыслится как	1	3
153	аналогии с	1	3
154	в культуре	2	3
155	при всем	2	3
156	жизни и	3	3
157	что в	3	3
158	а в	11	3
159	того же	1	2
160	и то	1	2
161	самом деле	2	2
162	от самого	1	2
163	отношения между	1	2
164	из его	1	2
165	должна быть	2	2
166	та же	2	2
