N	2gram	Voloshinov_2	ViktorSh
1	и в	19	2
2	том что	10	2
3	в том	7	2
4	и только	1	1
5	крайней мере	2	1
6	тем более	5	1
7	в устах	3	1
8	и почти	2	1
9	ни к	1	1
10	в другом	3	1
11	хотя бы	6	1
12	и не	19	1
13	все время	2	1
14	и его	16	1
15	потому что	1	1
16	сводится к	2	1
17	и то	3	1
18	самом деле	9	1
19	другом месте	1	1
20	и т.д	4	1
21	к созданию	1	1
22	все это	1	1
23	по поводу	1	1
24	именно в	2	1
25	главным образом	1	1
26	этом и	1	1
27	в их	5	1
28	как же	1	1
29	это далеко	1	1
30	дело в	1	1
31	так в	1	1
32	речи и	13	1
33	одно и	3	1
34	все то	2	1
35	история языка	2	1
36	столь же	3	1
37	время в	1	1
38	ведь это	2	1
39	деле как	1	1
40	в значительной	2	1
41	в самом	6	1
42	только в	8	1
43	то же	16	1
44	слово по	1	1
45	ясно что	1	1
46	так как	3	1
47	далеко не	2	1
48	что слово	1	1
49	вся работа	1	1
50	к чему	1	1
51	но это	1	1
52	в этом	15	1
53	да и	3	1
54	по крайней	2	1
55	от общего	1	1
56	а только	1	1
57	к этому	5	1
58	значительной степени	2	1
59	гораздо более	1	1
