N	2gram	Bakhtin_KF_1	Problemy
1	и в	24	35
2	как бы	9	31
3	и не	26	27
4	что он	2	24
5	в его	40	21
6	но в	5	19
7	как и	5	18
8	к себе	2	18
9	не может	27	18
10	себе самому	1	18
11	в нем	28	16
12	то есть	1	16
13	то же	5	15
14	и все	7	15
15	в этом	14	14
16	и его	17	14
17	для него	8	14
18	может быть	45	14
19	но и	9	14
20	все это	10	14
21	он не	6	13
22	что я	5	13
23	к нему	12	13
24	с другим	1	13
25	и с	1	12
26	в другом	3	12
27	прежде всего	2	12
28	и к	1	12
29	в то	3	11
30	слова и	1	11
31	самом деле	3	10
32	не только	5	10
33	не в	12	10
34	же время	2	10
35	то что	7	10
36	а я	1	10
37	на самом	3	9
38	в отношении	1	9
39	мы уже	1	8
40	я не	6	8
41	все же	5	8
42	так и	2	8
43	себя и	2	8
44	и для	9	8
45	потому что	2	8
46	еще не	4	7
47	с его	1	7
48	себе и	3	7
49	и наконец	1	7
50	лишь в	8	7
51	там где	5	7
52	для себя	5	7
53	в виде	2	7
54	вовсе не	7	7
55	точки зрения	12	7
56	с ним	5	7
57	а в	4	7
58	отношении к	2	7
59	отношению к	22	7
60	и на	3	6
61	но не	12	6
62	по отношению	26	6
63	отношение к	5	6
64	в самом	1	6
65	в каждом	3	6
66	у меня	1	6
67	к тому	1	6
68	в одном	4	6
69	только в	16	6
70	слова в	2	6
71	и т.п	1	6
72	но это	6	6
73	от него	3	6
74	не знает	5	6
75	что в	4	6
76	и то	2	5
77	с собою	1	5
78	как в	2	5
79	в себе	21	5
80	он и	2	5
81	знает и	2	5
82	от себя	10	5
83	его с	2	5
84	и это	12	5
85	я теперь	1	5
86	в том	6	5
87	с ними	3	5
88	и даже	1	5
89	когда я	3	5
90	как к	2	5
91	этого слова	2	5
92	пробиться к	1	4
93	ведь и	1	4
94	он как	1	4
95	так чтобы	1	4
96	в мире	6	4
97	в чем	4	4
98	нет и	3	4
99	же и	1	4
100	та же	2	4
101	что это	3	4
102	на его	1	4
103	но все	5	4
104	же не	1	4
105	его в	5	4
106	все и	1	4
107	рядом с	3	4
108	в эту	1	4
109	в своей	10	4
110	но он	1	4
111	по себе	2	4
112	я для	1	4
113	меня не	3	4
114	никогда не	5	4
115	во всем	7	4
116	как раз	1	4
117	это слово	1	4
118	и делает	2	4
119	той или	3	4
120	где он	3	4
121	сознания и	3	4
122	между тем	4	4
123	и так	1	4
124	только на	1	4
125	всяком случае	1	4
126	так как	1	4
127	не о	2	4
128	тем что	3	4
129	или иной	2	4
130	что не	3	4
131	до конца	3	4
132	а не	17	4
133	с которым	1	4
134	но как	5	4
135	по своему	3	4
136	человек и	1	4
137	я в	1	4
138	тот же	1	4
139	во всяком	1	4
140	себя как	2	3
141	как его	4	3
142	это и	2	3
143	за собой	1	3
144	и свой	2	3
145	говорить о	2	3
146	в виду	3	3
