N	2gram	Bakhtin_Fr_5	Retstnzi
1	не может	5	4
2	и в	45	3
3	один из	2	2
4	если в	2	2
5	нет и	2	1
6	и можно	1	1
7	в особенности	2	1
8	смысл и	1	1
9	и не	15	1
10	тому что	1	1
11	не только	14	1
12	связи с	6	1
13	точки зрения	4	1
14	конечно и	2	1
15	во второй	2	1
16	но и	10	1
17	не менее	3	1
18	в системе	2	1
19	не связанными	1	1
20	теми или	1	1
21	в ней	8	1
22	в то	11	1
23	с точки	2	1
24	и на	5	1
25	первая часть	2	1
26	права и	3	1
27	для него	3	1
28	мы видим	5	1
29	и больше	2	1
30	в языке	1	1
31	в выборе	1	1
32	к тому	2	1
33	а не	4	1
34	может быть	2	1
35	вполне понятно	1	1
36	несмотря на	2	1
37	всех участников	1	1
38	в его	13	1
39	он в	2	1
40	или иными	1	1
41	же время	9	1
42	то же	11	1
43	и все	7	1
44	из этих	3	1
45	можно назвать	1	1
46	нуждаются в	1	1
47	если бы	1	1
48	в каждом	2	1
49	бы в	4	1
