N	2gram	Propp_Isto_4	Problema
1	в его	5	43
2	и не	9	42
3	и в	26	38
4	не может	6	27
5	может быть	14	26
6	как бы	3	22
7	и с	5	17
8	и его	10	16
9	в этом	7	15
10	в нем	2	15
11	и т	27	14
12	только в	3	13
13	прежде всего	1	13
14	независимо от	1	13
15	но не	5	12
16	во всех	1	11
17	в области	2	11
18	ни в	2	11
19	отношение к	2	10
20	таким образом	10	10
21	к нему	6	10
22	не только	15	9
23	не имеет	3	9
24	его в	9	9
25	но и	12	9
26	и как	5	8
27	было бы	2	8
28	точки зрения	1	8
29	в том	3	8
30	и др	5	8
31	то что	16	8
32	еще не	6	7
33	вообще не	1	7
34	как и	7	7
35	и становится	1	7
36	не в	5	7
37	как мы	5	7
38	с другой	4	7
39	с помощью	2	7
40	в своей	4	7
41	что в	14	7
42	на основе	1	6
43	там где	3	6
44	и наконец	1	6
45	в пределах	1	6
46	не к	2	6
47	не всегда	6	6
48	не есть	2	6
49	и этим	2	6
50	ничего не	5	6
51	есть чисто	1	6
52	мы можем	6	6
53	все же	9	6
54	а в	8	6
55	только как	1	6
56	в своем	2	5
57	все эти	3	5
58	при этом	3	5
59	то же	8	5
60	это не	5	5
61	в них	1	5
62	так и	10	5
63	в основе	1	5
64	никогда не	2	5
65	с ним	1	5
66	конечно не	2	5
67	большинстве случаев	1	5
68	в большинстве	1	5
69	не на	3	5
70	а не	6	5
71	могут быть	6	5
72	быть только	1	5
73	формы и	2	5
74	мы здесь	2	4
75	должна быть	2	4
76	содержания в	1	4
77	в виду	1	4
78	в ней	1	4
79	относится к	3	4
80	как в	7	4
81	но в	5	4
82	в себе	2	4
83	перестает быть	1	4
84	в данном	3	4
85	с миром	3	4
86	не менее	2	4
87	тем самым	1	4
88	о значении	1	4
89	в то	1	4
90	чтобы стать	1	4
91	должны быть	1	4
92	здесь не	4	4
93	данном случае	3	4
94	о том	4	4
95	с ними	5	4
96	в других	2	4
97	в форме	2	4
98	и только	5	4
99	к которому	1	4
100	что не	1	4
101	только по	1	4
102	материал в	1	4
103	в более	1	4
104	хотя бы	2	4
105	между ними	3	4
106	сказать что	2	4
107	другой стороны	4	4
108	например в	3	3
109	есть форма	1	3
110	на материале	1	3
111	на них	1	3
112	сказать и	1	3
113	мы будем	1	3
114	иногда и	2	3
115	и к	1	3
116	не будем	1	3
117	в целом	2	3
118	к миру	1	3
119	он не	7	3
120	а как	2	3
121	может стать	1	3
122	и тем	2	3
123	том что	3	3
124	тем не	2	3
125	на него	3	3
126	и это	1	3
127	хотя и	2	3
128	приводит к	1	3
129	в дальнейшем	6	3
130	ясно что	1	3
131	если бы	2	3
132	но здесь	1	3
133	основе своей	1	3
134	на ее	1	3
135	иных случаях	1	3
136	но с	1	3
137	одной из	1	3
138	мы увидим	3	3
139	как нечто	3	3
140	с действительностью	1	3
141	и даже	4	3
142	его как	2	3
143	связь с	12	3
144	в иных	1	3
145	и на	2	3
146	в тех	4	3
147	но это	3	3
148	все это	2	3
149	она может	1	3
150	от него	2	3
151	и все	2	3
152	не знает	1	3
153	все что	4	3
154	они не	1	3
155	он может	2	2
156	и есть	2	2
157	в котором	1	2
158	др в	1	2
159	их и	1	2
160	есть не	1	2
161	можно и	1	2
162	мы имеем	7	2
163	совпадает с	1	2
164	но она	1	2
165	не вполне	1	2
166	и он	3	2
167	со словами	1	2
168	в чем	1	2
169	получает от	1	2
170	часто имеет	1	2
171	но как	1	2
172	а только	1	2
173	не все	1	2
174	или иное	1	2
175	в истории	2	2
176	дает нам	4	2
177	показать что	1	2
178	как к	1	2
179	к чему	1	2
180	и у	5	2
181	что это	2	2
182	нами в	1	2
183	и те	1	2
184	на то	3	2
185	а к	1	2
186	не имеют	1	2
187	не следует	1	2
188	но нельзя	1	2
189	его тела	1	2
190	он должен	3	2
191	на этом	2	2
192	человека в	1	2
193	здесь мы	2	2
194	лишь в	2	2
195	и других	3	2
196	форму и	1	2
197	о которых	1	2
198	как таковой	1	2
199	и при	3	2
200	или точнее	1	2
201	не его	1	2
202	и более	3	2
203	случае мы	2	2
204	в таких	2	2
205	что эта	3	2
206	она не	3	2
207	одна из	2	2
208	и весь	1	2
209	во всем	3	2
210	связи с	3	2
211	здесь же	1	2
212	у нас	2	2
213	к себе	3	2
214	не могут	2	2
215	есть только	3	2
216	же самое	2	2
217	как новое	1	2
218	только при	1	2
219	особенно в	1	2
220	и которые	1	2
221	здесь нет	1	2
222	том как	2	2
223	здесь все	1	2
224	и здесь	5	2
225	в другом	5	2
226	другими словами	2	2
227	и что	5	2
228	современной русской	1	2
229	от них	2	2
230	и во	2	2
231	этот момент	2	2
232	в него	1	2
233	того что	2	2
234	в современной	2	2
235	предмета и	1	2
236	что он	10	2
237	себя в	2	2
238	не можем	1	2
239	в нашей	1	2
240	в виде	2	2
241	в начале	1	2
242	не дает	2	2
243	об отдельных	1	2
244	цели и	1	2
245	что и	9	2
246	вовсе не	4	2
247	в некоторых	5	2
248	тем что	5	2
249	есть выражение	1	2
250	в особенности	2	2
251	без всякой	1	2
252	здесь в	1	2
253	и пр	11	2
254	не было	1	2
255	в связи	2	2
256	человек в	1	2
257	в частности	2	2
258	как это	3	2
259	из которых	5	2
260	к своему	3	2
261	другой же	1	2
262	по существу	3	2
263	можно сказать	1	2
264	и сравнение	1	2
265	или в	3	2
266	узком смысле	1	2
267	мы должны	5	2
268	ни к	1	2
269	в этих	7	2
270	говорить и	1	2
271	к его	1	2
272	и другие	3	2
273	в своих	1	2
274	по поводу	1	2
275	к чему-то	1	2
276	к этому	5	2
277	он получает	3	1
278	дело обстоит	1	1
279	тех же	2	1
280	своей основной	1	1
281	это и	5	1
282	было то	1	1
283	непосредственно не	1	1
284	чего не	1	1
285	к другому	1	1
286	его же	1	1
287	из его	1	1
288	все те	1	1
289	его связь	1	1
290	к созданию	1	1
291	и за	2	1
292	и могут	1	1
293	им самим	1	1
294	бы уже	1	1
295	общих чертах	2	1
296	связан с	3	1
297	вопрос о	4	1
298	быть определены	1	1
299	так чтобы	1	1
300	время как	1	1
301	что иное	3	1
302	на себя	4	1
303	с ее	1	1
304	так называемые	1	1
305	такое же	4	1
306	него он	1	1
307	меньшей степени	1	1
308	и самого	1	1
309	иное как	3	1
310	и связь	1	1
311	ними в	1	1
312	другой более	1	1
313	то он	1	1
314	вступают в	2	1
315	себе и	1	1
316	нам право	2	1
317	ждет своего	2	1
318	ли эта	1	1
319	которые не	1	1
320	превращает его	1	1
321	есть что-то	1	1
322	им в	1	1
323	целый ряд	1	1
324	вопросом о	1	1
325	что по	1	1
326	может послужить	1	1
327	имеет в	1	1
328	нет здесь	1	1
329	есть ли	1	1
330	говорится в	1	1
331	другом случае	2	1
332	это чисто	2	1
333	нему с	1	1
334	очень многих	1	1
335	и я	1	1
336	то время	1	1
337	что так	1	1
338	в специальной	1	1
339	формы оно	1	1
340	в главе	2	1
341	в этой	2	1
342	но он	4	1
343	музыкальные инструменты	1	1
344	как он	6	1
345	не могла	1	1
346	и если	3	1
347	т д	24	1
348	которой не	1	1
349	всех этих	1	1
350	и социальной	1	1
351	есть та	1	1
352	в узком	1	1
353	не как	1	1
354	и вот	2	1
355	широком смысле	1	1
356	его от	2	1
357	подобно тому	1	1
358	образа и	1	1
359	так например	2	1
360	в нее	1	1
361	бы они	1	1
362	в одну	2	1
363	в совершенно	1	1
364	мы уже	5	1
365	себя не	1	1
366	или наконец	1	1
367	ощущается как	1	1
368	целью его	1	1
369	или просто	2	1
370	и мы	1	1
371	в свой	2	1
372	его состав	1	1
373	он является	1	1
374	случае к	1	1
375	она и	1	1
376	ни одной	2	1
377	мифа но	1	1
378	этом явлении	1	1
379	этого не	2	1
380	с тем	2	1
381	и уже	1	1
382	рода и	1	1
383	действительно не	1	1
384	потому и	1	1
385	был бы	1	1
386	только тем	1	1
387	но я	1	1
388	роде в	1	1
389	поэтического творчества	1	1
390	при изучении	2	1
391	еще одного	1	1
392	можно найти	2	1
393	на ступени	1	1
394	по сравнению	3	1
395	установить что	2	1
396	сравнение или	1	1
397	в которых	4	1
398	бы мы	2	1
399	как одна	1	1
400	силу и	1	1
401	той области	1	1
402	и эти	1	1
403	однако в	2	1
404	не должно	1	1
405	по себе	2	1
406	тому что	1	1
407	берут в	1	1
408	что есть	2	1
409	уже выше	2	1
410	некоторых случаях	4	1
411	таких случаях	2	1
412	вплоть до	1	1
413	но для	2	1
414	здесь на	2	1
415	доходят до	1	1
416	нам и	1	1
417	оно значительно	1	1
418	найти в	1	1
419	под этим	1	1
420	именно с	1	1
421	находятся в	1	1
422	этих двух	1	1
423	или иная	1	1
424	явление в	1	1
425	очень мало	1	1
426	подробнее в	1	1
427	и является	1	1
428	нам важно	1	1
429	его он	1	1
430	отношение и	1	1
431	до того	1	1
432	однако это	1	1
433	ему не	1	1
434	и несколько	1	1
435	очень часто	1	1
436	в момент	1	1
437	случайно и	2	1
438	иногда даже	3	1
439	сравнительно с	1	1
440	основаны на	1	1
441	его с	2	1
442	родство с	1	1
443	служить и	1	1
444	для его	1	1
445	даже и	2	1
446	в наши	1	1
447	как не	1	1
448	на нем	5	1
449	и значении	1	1
450	можно показать	2	1
451	если в	1	1
452	как с	1	1
453	на том	2	1
454	что у	3	1
455	на нее	1	1
456	наши задачи	1	1
457	мог бы	1	1
458	иногда в	2	1
459	в одном	5	1
460	это только	1	1
461	что дело	1	1
462	имеется в	2	1
463	творец и	1	1
464	смысле и	1	1
465	поэтому она	1	1
466	форма более	1	1
467	как наиболее	1	1
468	на что	1	1
469	его тело	1	1
470	для нас	3	1
471	а также	3	1
472	нем не	1	1
473	его так	1	1
474	все а	1	1
475	и следовательно	1	1
476	этой форме	1	1
477	сюда относится	1	1
478	что здесь	7	1
479	быть и	1	1
480	на которой	2	1
481	к которой	1	1
482	этот вопрос	2	1
483	исследователя но	1	1
484	понятием так	1	1
485	к их	1	1
486	и действительно	3	1
487	или же	3	1
488	в меньшей	1	1
489	действительность но	2	1
490	человека с	3	1
491	есть в	2	1
492	со своим	1	1
493	уже не	5	1
494	только на	1	1
495	из них	2	1
496	его и	2	1
497	глаза и	1	1
498	целом и	1	1
499	прибавить что	4	1
500	не для	1	1
501	с этими	2	1
502	к ним	2	1
503	друг друга	1	1
504	только с	2	1
505	это суждение	1	1
506	не просто	4	1
507	момент в	1	1
508	которые как	1	1
509	характерно и	1	1
510	наружности и	1	1
511	он живет	2	1
512	до сих	5	1
513	или иначе	1	1
514	нас в	1	1
515	этот недостаток	1	1
516	притом не	1	1
517	именно в	1	1
518	уходит в	1	1
519	несколько примеров	2	1
520	мы еще	1	1
521	предмет и	1	1
522	обратиться к	1	1
523	только что	3	1
524	связано с	1	1
525	а на	4	1
526	на этот	2	1
527	власти и	1	1
528	человеческой жизни	1	1
529	не совсем	1	1
530	с которым	1	1
531	имеет к	1	1
532	о чем	3	1
533	на эту	1	1
534	что мы	3	1
535	для историка	1	1
536	близка к	1	1
537	входить в	3	1
538	из моря	1	1
539	вместе с	6	1
540	так же	18	1
541	до этого	1	1
542	происходит в	2	1
543	теперь к	1	1
544	но этот	2	1
545	сравнению с	3	1
546	образом и	1	1
547	на которое	1	1
548	смысле этого	2	1
549	тому как	1	1
550	и всей	1	1
551	еще ждет	1	1
552	как целое	1	1
553	д мы	2	1
554	есть и	2	1
555	этого слова	2	1
556	правда этот	1	1
557	сих пор	5	1
558	которое может	1	1
559	вообще есть	1	1
560	это уже	2	1
561	не занимает	1	1
562	свою связь	1	1
563	для выражения	1	1
564	и может	1	1
565	к тому	1	1
566	что делает	1	1
567	с ног	1	1
568	в результате	1	1
569	которая в	1	1
570	у некоторых	1	1
571	склонны считать	1	1
572	бы в	1	1
573	еще более	1	1
574	и смысл	1	1
575	форма имеется	1	1
576	в мифе	2	1
577	второстепенное значение	2	1
578	но эта	4	1
579	но если	1	1
580	их он	1	1
581	в иной	6	1
582	не что	3	1
583	жизни и	1	1
584	но эти	1	1
585	к этой	3	1
586	это в	1	1
587	прийти в	1	1
588	им и	1	1
589	в отрицательном	1	1
