N	2gram	Tiupa_Anal_3	Myslijsy
1	потому что	1	49
2	то есть	10	30
3	и в	18	24
4	может быть	9	23
5	то что	2	20
6	и не	12	19
7	в том	9	18
8	а не	9	18
9	что в	9	16
10	не только	22	15
11	по себе	4	15
12	того же	5	14
13	при этом	11	13
14	в слове	5	13
15	не в	6	13
16	было бы	3	13
17	то же	3	12
18	но не	7	12
19	мы можем	2	12
20	не может	2	12
21	мы не	3	11
22	таким образом	4	11
23	вместе с	2	11
24	если бы	1	11
25	что и	5	11
26	что мы	2	11
27	только в	2	11
28	тогда как	20	10
29	как в	3	10
30	в себе	2	10
31	для него	6	10
32	так что	1	10
33	независимо от	1	9
34	в нем	2	9
35	вовсе не	1	9
36	но и	13	9
37	как бы	10	9
38	и на	4	8
39	в этом	14	8
40	том что	12	8
41	в одно	1	8
42	могут быть	2	8
43	а в	10	8
44	во всех	2	7
45	с этим	3	7
46	мысль о	3	7
47	как и	14	7
48	всяком случае	2	7
49	не могут	1	7
50	прежде всего	5	7
51	тем что	2	7
52	того что	1	7
53	во всяком	2	7
54	что если	1	6
55	и как	4	6
56	и того	3	6
57	одного и	3	6
58	тем не	2	6
59	в то	3	6
60	связи с	1	6
61	свою очередь	4	6
62	между тем	5	6
63	и только	1	6
64	не можем	1	6
65	в одном	4	6
66	с другой	7	6
67	не было	3	6
68	этого слова	2	6
69	не есть	4	6
70	в свою	5	6
71	только как	1	6
72	по поводу	3	6
73	столь же	4	5
74	а и	4	5
75	что они	3	5
76	все же	4	5
77	мертвых душ	1	5
78	уже в	3	5
79	бы не	1	5
80	на то	1	5
81	есть не	2	5
82	не от	2	5
83	не менее	4	5
84	по крайней	4	5
85	с ним	1	5
86	судя по	2	5
87	так и	14	5
88	о том	6	5
89	с другими	1	5
90	а потому	1	5
91	крайней мере	4	5
92	тот же	1	5
93	бы ни	1	5
94	слова в	1	5
95	в них	2	5
96	для того	1	5
97	что не	3	5
98	и их	1	5
99	представляется нам	2	5
100	же в	2	5
101	а между	1	4
102	сам по	1	4
103	нам кажется	2	4
104	к другому	1	4
105	в самом	5	4
106	к общему	1	4
107	еще не	6	4
108	но в	2	4
109	уже не	5	4
110	из этих	3	4
111	так сказать	2	4
112	в нее	1	4
113	внешнего мира	1	4
114	с тем	2	4
115	место в	1	4
116	сих пор	1	4
117	одном из	1	4
118	между прочим	1	4
119	они не	1	4
120	тем самым	4	4
121	образом в	1	4
122	подобно тому	3	4
123	одна из	2	4
124	так в	3	4
125	никогда не	5	4
126	к языку	1	4
127	что он	4	4
128	с одной	2	4
129	как кажется	1	4
130	до сих	1	4
131	там где	2	4
132	тому как	2	4
133	от него	1	4
134	себе не	1	4
135	этот звук	1	4
136	в таком	1	4
137	говоря о	1	3
138	например в	2	3
139	человека и	1	3
140	тем же	1	3
141	с таким	1	3
142	той же	5	3
143	если в	3	3
144	очевидно что	2	3
145	со стороны	9	3
146	хотя и	2	3
147	в целом	3	3
148	во многих	1	3
149	что она	2	3
150	о которой	2	3
151	при виде	1	3
152	не как	2	3
153	человека в	1	3
154	могла бы	2	3
155	и может	1	3
156	его не	3	3
157	его в	3	3
158	от одного	1	3
159	это не	2	3
160	эту минуту	1	3
161	о которых	2	3
162	рядом с	1	3
163	далеко не	4	3
164	и тогда	1	3
165	в эту	1	3
166	себе в	1	3
167	на мысль	1	3
168	того кто	1	3
169	бы быть	1	3
170	в ней	2	3
171	на него	1	3
172	оно не	1	3
173	те же	2	3
174	не с	2	3
175	мог бы	1	3
176	от них	1	3
177	вслед за	1	3
178	и у	1	3
179	одно из	1	3
180	что на	1	3
181	только по	1	3
182	одной стороны	2	3
183	а от	1	3
184	есть явление	1	3
185	в самой	1	3
186	но это	1	3
187	и для	2	3
188	и от	2	3
189	и все	2	3
190	с ними	1	3
191	все что	1	3
192	как на	1	3
193	также что	1	2
194	таком случае	1	2
195	самом деле	2	2
196	на самом	1	2
197	и есть	1	2
198	на две	1	2
199	не имеют	1	2
200	отношения к	2	2
201	вопрос о	1	2
202	с его	8	2
203	тем как	1	2
204	то мы	1	2
205	не все	1	2
206	по отношению	7	2
207	в общем	2	2
208	за пределы	1	2
209	сама по	2	2
210	что во	1	2
211	могли бы	2	2
212	все эти	2	2
213	и тот	1	2
214	время и	1	2
215	всех этих	1	2
216	состоит в	4	2
217	поэтому оно	1	2
218	одной и	2	2
219	и по	2	2
220	ни был	1	2
221	такого же	1	2
222	в каждом	3	2
223	факт что	1	2
224	в другом	1	2
225	в жизни	2	2
226	мы знаем	1	2
227	должно быть	1	2
228	не столько	3	2
229	от себя	1	2
230	и той	2	2
231	не должно	3	2
232	для нее	1	2
233	а а	5	2
234	и его	13	2
235	с теми	1	2
236	сказать что	2	2
237	того чтобы	1	2
238	же время	3	2
239	во всем	3	2
240	и чувства	1	2
241	остаются вне	1	2
242	у нас	1	2
243	превращается в	1	2
244	когда мы	2	2
245	указывает на	3	2
246	не противоречит	1	2
247	в себя	2	2
248	что у	1	2
249	и здесь	2	2
250	внимание на	4	2
251	звуков в	1	2
252	не заключает	1	2
253	это было	1	2
254	связь между	1	2
255	состоит не	2	2
256	этом смысле	1	2
257	один из	2	2
258	есть в	1	2
259	с нею	2	2
260	у него	1	2
261	само по	1	2
262	указание на	2	2
263	к которому	1	2
264	а с	1	2
265	и затем	1	2
266	себя и	1	2
267	между ними	1	2
268	зависит от	1	2
269	для их	1	2
270	в связи	1	2
271	и потому	2	2
272	как это	3	2
273	этой последней	1	2
274	сравнении с	2	2
275	все это	3	2
276	в его	7	2
277	бы в	1	2
278	мы должны	1	2
279	хотя бы	1	2
280	над собою	1	2
281	нами не	1	2
282	нам не	2	2
283	но если	1	2
284	другой стороны	5	2
285	в сравнении	2	2
286	у и	3	2
287	и б	2	2
288	к этому	3	2
289	я и	3	1
290	отношение к	1	1
291	с новыми	3	1
292	зависимые от	1	1
293	значении этого	1	1
294	не это	1	1
295	мере в	2	1
296	и так	1	1
297	и до	1	1
298	видеть в	2	1
299	переносном смысле	1	1
300	если к	1	1
301	уже по	2	1
302	мы уже	1	1
303	и само	1	1
304	что между	1	1
305	на внешние	1	1
306	единство и	1	1
307	принадлежит к	4	1
308	оно есть	1	1
309	от друга	1	1
310	как я	1	1
311	мы и	1	1
312	всех сторон	1	1
313	и самого	6	1
314	в отличие	2	1
315	на их	1	1
316	ними в	2	1
317	в ее	3	1
318	итак мы	1	1
319	мы будем	1	1
320	но как	3	1
321	не понимаю	1	1
322	ответ на	3	1
323	должны были	1	1
324	отличие от	2	1
325	друг от	1	1
326	б с	1	1
327	один и	1	1
328	его собственных	1	1
329	в истории	1	1
330	с чисто	1	1
331	для всех	2	1
332	как к	2	1
333	перед нами	4	1
334	еще больше	1	1
335	применении к	1	1
336	что по	4	1
337	имеет в	1	1
338	в противоположность	2	1
339	и свою	1	1
340	от этого	1	1
341	то в	2	1
342	сливается с	1	1
343	бы и	2	1
344	них самих	1	1
345	всем с	1	1
346	в известном	1	1
347	с их	3	1
348	его и	1	1
349	тому же	3	1
350	роли в	3	1
351	например как	2	1
352	вместо ожидаемого	1	1
353	не следует	1	1
354	есть одна	1	1
355	о а	2	1
356	которого в	1	1
357	он не	6	1
358	но само	1	1
359	первой части	1	1
360	свою собственную	1	1
361	переходит от	1	1
362	том чтобы	1	1
363	из виду	1	1
364	не достигает	1	1
365	нам известно	1	1
366	значительной степени	2	1
367	не будет	3	1
368	тем в	1	1
369	об этом	2	1
370	связанных с	1	1
371	сознание не	1	1
372	лишь в	5	1
373	входит в	2	1
374	содержание к	1	1
375	он есть	1	1
376	между отдельными	1	1
377	из нее	1	1
378	его частей	1	1
379	как смерть	3	1
380	не всегда	3	1
381	во внимание	1	1
382	жизни но	1	1
383	в чистом	1	1
384	воспоминания в	1	1
385	же есть	1	1
386	в связь	1	1
387	можно сказать	4	1
388	в ходе	1	1
389	или точнее	2	1
390	таким же	1	1
391	никаких оснований	1	1
392	и без	3	1
393	с точки	2	1
394	в их	6	1
395	время с	1	1
396	мысли и	1	1
397	что уже	1	1
398	поэтому в	2	1
399	мир и	1	1
400	втором случае	1	1
401	не будем	1	1
402	теми же	1	1
403	доказывает что	2	1
404	в устах	1	1
405	со многими	1	1
406	случае мы	1	1
407	то с	1	1
408	что звуки	1	1
409	содержания а	1	1
410	дело в	2	1
411	на себе	1	1
412	не вызывает	1	1
413	какой бы	1	1
414	только не	3	1
415	по законам	1	1
416	на меня	2	1
417	ничего не	3	1
418	слова как	1	1
419	обратим внимание	2	1
420	этих двух	1	1
421	известно из	1	1
422	или как	1	1
423	с одним	1	1
424	по своей	2	1
425	внутренней и	1	1
426	своей цели	1	1
427	зрение и	1	1
428	в тени	1	1
429	известной степени	3	1
430	к себе	1	1
431	и сам	4	1
432	похож на	1	1
433	его за	2	1
434	к тому	6	1
435	бы он	1	1
436	слова с	1	1
437	что при	1	1
