N	2gram	Vinokur_Vv_1	ViktorSh
1	конце концов	2	2
2	и в	27	2
3	том что	26	2
4	в том	31	2
5	в конце	3	2
6	крайней мере	4	1
7	тем более	2	1
8	ни к	2	1
9	как говорили	1	1
10	и том	1	1
11	в другом	3	1
12	хотя бы	5	1
13	и не	13	1
14	все время	1	1
15	и его	5	1
16	потому что	14	1
17	не даром	1	1
18	и то	5	1
19	в пылу	1	1
20	теснейшим образом	1	1
21	впрочем не	1	1
22	а отсюда	2	1
23	самом деле	6	1
24	другом месте	2	1
25	и т.д	4	1
26	все это	6	1
27	совершенно ясно	1	1
28	от других	2	1
29	по поводу	1	1
30	именно в	8	1
31	главным образом	1	1
32	этом и	1	1
33	в их	11	1
34	дело в	3	1
35	в частности	3	1
36	или без	1	1
37	одно и	1	1
38	стоит на	1	1
39	все то	1	1
40	история языка	2	1
41	не одно	1	1
42	время в	2	1
43	ведь это	1	1
44	в которых	6	1
45	деле как	1	1
46	в значительной	2	1
47	материалов и	2	1
48	в самом	12	1
49	для них	1	1
50	только в	13	1
51	то же	8	1
52	говорится в	1	1
53	других и	1	1
54	ясно что	9	1
55	так как	13	1
56	и составляет	1	1
57	бы уже	1	1
58	чем к	1	1
59	другое дело	3	1
60	но это	1	1
61	в этом	34	1
62	одном и	1	1
63	что сами	1	1
64	да и	4	1
65	имеется в	1	1
66	чем больше	2	1
67	по крайней	4	1
68	а только	8	1
69	о теории	1	1
70	и заключается	4	1
71	по существу	2	1
72	к этому	3	1
73	значительной степени	1	1
74	гораздо более	3	1
75	том же	2	1
