N	2gram	Medvedev_V_1	Sovremen
1	не может	17	17
2	может быть	22	12
3	точки зрения	3	12
4	таким образом	31	11
5	в каждом	2	8
6	в этом	26	7
7	и в	26	7
8	как и	7	6
9	и не	19	6
10	в результате	5	6
11	и наконец	2	5
12	все эти	6	5
13	каждом отдельном	2	5
14	прежде всего	13	5
15	в дальнейшем	1	4
16	в зависимости	6	4
17	вопрос о	1	4
18	зависимости от	5	4
19	нет и	3	4
20	в том	15	4
21	в целом	4	4
22	из них	9	4
23	мы видели	3	4
24	не только	25	4
25	как бы	5	4
26	вместе с	7	4
27	это не	7	4
28	их в	6	4
29	а в	3	4
30	жизни и	3	4
31	он может	2	3
32	то же	10	3
33	между собой	1	3
34	может не	2	3
35	видели что	3	3
36	его развития	1	3
37	отнюдь не	3	3
38	все же	5	3
39	еще не	2	3
40	но в	2	3
41	мы получаем	1	3
42	он в	1	3
43	у каждого	1	3
44	в этой	4	3
45	в себе	6	3
46	уже в	1	3
47	как он	2	3
48	что она	2	3
49	ведь это	1	3
50	в одном	4	3
51	в конце	3	3
52	в нем	6	3
53	было бы	7	3
54	само собою	2	3
55	а не	7	3
56	и потому	2	3
57	не в	6	3
58	все это	10	3
59	самого начала	1	3
60	не подлежит	2	3
61	одна из	4	3
62	для нас	1	3
63	и все	1	3
64	в системе	2	3
65	у нас	2	3
66	состоит из	1	3
67	и к	3	3
68	отличается от	2	3
69	следующим образом	3	3
70	в области	2	3
71	как известно	2	2
72	как мы	1	2
73	свою очередь	1	2
74	между всеми	1	2
75	и есть	5	2
76	приводит к	5	2
77	роль в	4	2
78	все те	1	2
79	каждого из	1	2
80	на этом	1	2
81	для его	4	2
82	и даже	2	2
83	говорить о	2	2
84	говорим о	1	2
85	и что	1	2
86	на другом	1	2
87	и во	1	2
88	подлежит сомнению	1	2
89	самом деле	1	2
90	в его	14	2
91	может иметь	1	2
92	с этим	3	2
93	быть и	1	2
94	в самом	4	2
95	в которой	2	2
96	из этих	7	2
97	тот или	1	2
98	с одной	2	2
99	ни одна	2	2
100	уже не	1	2
101	так сказать	2	2
102	в виде	1	2
103	на его	1	2
104	мы знаем	3	2
105	который как	1	2
106	всяком случае	1	2
107	у него	6	2
108	и по	3	2
109	что все	3	2
110	или иной	2	2
111	развития в	1	2
112	в живом	1	2
113	на этот	1	2
114	которой он	1	2
115	что такое	2	2
116	из которых	2	2
117	знаем что	2	2
118	задача эта	2	2
119	не менее	2	2
120	о значении	1	2
121	можно назвать	1	2
122	наблюдения и	3	2
123	в науке	2	2
124	еще более	1	2
125	мы видим	1	2
126	не дает	1	2
127	в свою	1	2
128	совершенно не	1	2
129	не могут	7	2
130	могут быть	5	2
131	что при	2	2
132	же самое	2	2
133	что в	10	2
134	если же	1	2
135	в таком	1	2
136	во всяком	1	2
137	должен быть	4	1
138	новое время	1	1
139	и это	1	1
140	можно говорить	1	1
141	оно может	1	1
142	своего развития	1	1
143	с жизнью	1	1
144	человека и	3	1
145	с ее	1	1
146	данной области	1	1
147	ним или	1	1
148	очень важную	1	1
149	это и	6	1
150	отношению к	7	1
151	естественнонаучного исследования	1	1
152	по аналогии	1	1
153	можно было	2	1
154	их и	4	1
155	деятельность как	2	1
156	в социальном	1	1
157	мы имеем	3	1
158	же как	2	1
159	еще в	1	1
160	это только	4	1
161	это что	1	1
162	мы в	1	1
163	поэтому в	1	1
164	если бы	3	1
165	и ни	1	1
166	или как	1	1
167	разобраться в	2	1
168	подчеркнуть что	2	1
169	о том	10	1
170	в ней	2	1
171	и та	1	1
172	чем отличается	1	1
173	очень сложную	1	1
174	утверждает что	3	1
175	аналогии с	1	1
176	без труда	1	1
177	он сам	2	1
178	именно эти	1	1
179	все его	2	1
180	быть в	1	1
181	же время	5	1
182	что его	2	1
183	его в	3	1
184	с его	3	1
185	во всех	6	1
186	науке и	1	1
187	те или	1	1
188	путь для	1	1
189	данном случае	1	1
190	но не	2	1
191	или иные	1	1
192	к этому	9	1
193	свести все	1	1
194	но как	3	1
195	если в	2	1
196	в конечном	7	1
197	конечном счете	5	1
198	по отношению	7	1
199	а потому	1	1
200	во всей	2	1
201	крайней мере	2	1
202	приводит и	1	1
203	вообще и	2	1
204	в ту	1	1
205	чем же	4	1
206	говорить только	1	1
207	опирается на	1	1
208	стороны и	2	1
209	этого развития	1	1
210	значит что	2	1
211	один из	5	1
212	кроме того	1	1
213	сомнению что	1	1
214	от общей	1	1
215	одной из	1	1
216	только в	7	1
217	целого и	1	1
218	роль играет	1	1
219	что свои	1	1
220	жизни к	1	1
221	не приходится	2	1
222	одним замечательным	1	1
223	но ведь	1	1
224	в известном	1	1
225	явлений и	3	1
226	всего необходимо	1	1
227	этот вопрос	3	1
228	конечно не	1	1
229	нет единства	2	1
230	и у	2	1
231	каким же	1	1
232	только на	1	1
233	в следующих	1	1
234	ни одного	2	1
235	в начале	1	1
236	этот процесс	2	1
237	и если	1	1
238	и чисто	1	1
