N	3gram	Tiupa_Narr_1	EvropaiE
1	с точки зрения	1	16
2	в то же	4	15
3	то же время	4	14
4	и в то	1	8
5	с одной стороны	1	8
6	в том что	5	6
7	для того чтобы	3	5
8	бы то ни	1	4
9	не только в	6	4
10	то ни было	1	4
11	само по себе	1	4
12	той или иной	4	4
13	в той или	1	3
14	же как и	1	3
15	в этом отношении	3	3
16	в известном смысле	2	3
17	друг с другом	1	3
18	во всяком случае	2	3
19	можно сказать что	2	3
20	заключает в себе	2	3
21	и со стороны	1	2
22	из того что	1	2
23	в данном случае	8	2
24	с другой стороны	1	2
25	не может быть	4	2
26	в частности в	1	2
27	в свою очередь	2	2
28	на то что	2	2
29	друг от друга	1	2
30	как мы видели	1	2
31	и того же	1	1
32	дело в том	2	1
33	более или менее	1	1
34	большей или меньшей	1	1
35	в соответствии с	4	1
36	что для него	1	1
37	действительности как и	1	1
38	и не только	1	1
39	том случае если	1	1
40	в отличие от	2	1
41	но и в	2	1
42	и та же	1	1
43	том числе и	1	1
44	его жизни но	1	1
45	или иной степени	1	1
46	качестве одного из	1	1
47	в ряде случаев	1	1
48	не исключено что	1	1
49	можно ли признать	1	1
50	может быть и	1	1
51	точки зрения развития	1	1
52	настоящего и будущего	1	1
53	не сводится к	2	1
54	на этот раз	1	1
55	и тот же	1	1
56	в значительной степени	1	1
57	по большей части	3	1
58	в том случае	1	1
59	в большей или	1	1
60	в качестве одного	1	1
61	в связи с	2	1
62	одна и та	1	1
63	в стороне от	1	1
64	качестве одной из	1	1
65	один и тот	1	1
66	так и со	1	1
67	мы не можем	1	1
68	связи с этим	1	1
69	и тем самым	4	1
70	в качестве одной	1	1
71	речь идет о	3	1
72	одного и того	1	1
73	в том числе	1	1
74	к тому что	1	1
75	к тому же	5	1
76	и т д	1	1
