N	3gram	Bakhtin_Pr_1	Hudozhes
1	по отношению к	11	10
2	в отличие от	2	7
3	то же время	7	6
4	в то же	7	6
5	с другой стороны	2	5
6	в том что	7	5
7	так и не	1	4
8	с точки зрения	15	3
9	того или иного	1	3
10	можно сказать что	2	3
11	в этом смысле	9	3
12	в том и	1	2
13	и в то	3	2
14	отношению к герою	1	2
15	но он не	1	2
16	в искусстве слова	1	2
17	во всей его	2	2
18	в противном случае	1	2
19	до известной степени	1	2
20	в значительной степени	1	2
21	для того чтобы	2	2
22	тем или иным	1	2
23	к тому что	1	2
24	и в форме	1	2
25	и в сущности	1	1
26	том отношении что	1	1
27	в е годы	1	1
28	может быть назван	1	1
29	чего нет в	1	1
30	подобно тому как	3	1
31	и для него	1	1
32	может быть это	1	1
33	в зависимости от	3	1
34	в самом произведении	1	1
35	можно говорить о	1	1
36	для автора и	1	1
37	не входит в	1	1
38	бы то ни	3	1
39	сказать что для	1	1
40	только то что	2	1
41	в себе и	1	1
42	несмотря на свою	1	1
43	с самим собою	1	1
44	перед нами не	1	1
45	точно так же	1	1
46	для него не	1	1
47	могли бы быть	1	1
48	потому что из	1	1
49	он ни был	1	1
50	в романе достоевского	6	1
51	с этой точки	1	1
52	по крайней мере	2	1
53	может быть и	1	1
54	позицию по отношению	1	1
55	в том чем	1	1
56	то что может	1	1
57	можно даже сказать	1	1
58	не совпадает с	1	1
59	прямого авторского слова	1	1
60	в ее составе	1	1
61	в художественном произведении	1	1
62	то ни было	2	1
63	по себе еще	2	1
64	таким образом и	1	1
65	отношению к нему	1	1
66	отношение к своему	1	1
67	в известном смысле	1	1
68	отношения к миру	1	1
69	и по отношению	1	1
70	отношению к автору	1	1
71	не могут быть	1	1
72	и на его	1	1
73	и как бы	1	1
74	в его сознании	1	1
75	при условии что	1	1
76	же время оно	1	1
77	не только к	1	1
78	та или иная	1	1
79	как впрочем и	1	1
80	в том отношении	1	1
81	как бы в	2	1
82	так же как	1	1
83	все то что	3	1
84	по ту сторону	1	1
85	в то время	2	1
86	а в том	1	1
87	внешних и внутренних	1	1
88	по себе а	1	1
89	в основе его	1	1
90	не была бы	1	1
91	даже сказать что	1	1
92	и для автора	1	1
93	это и есть	3	1
94	не во внешних	1	1
95	о том что	2	1
96	то есть в	3	1
97	этой точки зрения	1	1
98	именно потому что	2	1
99	но во всех	1	1
100	они ни были	1	1
101	как правило лишь	1	1
102	в области литературы	1	1
103	тех или иных	1	1
104	в отношении к	1	1
105	а в то	2	1
106	в себе в	1	1
107	видения мира и	1	1
108	том что он	4	1
109	не может быть	3	1
110	в полной мере	1	1
111	авторской позиции и	1	1
112	так же точно	1	1
113	себе еще не	2	1
114	входит в его	1	1
