N	3gram	Vinokur_Vv_1	Formalny
1	с точки зрения	2	13
2	в настоящее время	1	10
3	то же время	5	8
4	в то же	5	8
5	и т д	37	8
6	на самом деле	1	6
7	до сих пор	5	6
8	в свою очередь	1	6
9	не может быть	8	5
10	по отношению к	4	4
11	одной стороны и	3	4
12	с одной стороны	4	4
13	во всяком случае	3	4
14	и т п	5	4
15	прежде всего в	1	3
16	в лучшем случае	1	3
17	бы то ни	1	3
18	может быть и	2	3
19	смысле этого слова	2	3
20	не могло не	1	2
21	в своей работе	1	2
22	и не в	1	2
23	в зависимости от	1	2
24	в строгом смысле	3	2
25	бы оно было	1	2
26	и в каждом	1	2
27	как если бы	1	2
28	в применении к	6	2
29	чтобы убедиться в	1	2
30	в том чтобы	5	2
31	но в то	3	2
32	и истории литературы	1	2
33	и в этом	3	2
34	в связи с	2	2
35	в целом ряде	2	2
36	того или иного	1	2
37	в этом пункте	1	2
38	связи с этим	1	2
39	сама по себе	3	2
40	если бы оно	1	2
41	как мы видели	2	2
42	быть и не	1	2
43	как она есть	2	1
44	состоит в том	2	1
45	в чем же	3	1
46	именно как целое	1	1
47	как один из	1	1
48	даже и тогда	1	1
49	для нашего времени	1	1
50	не говоря уже	2	1
51	в этом смысле	10	1
52	говоря уже о	1	1
53	хотя бы и	2	1
54	можно говорить о	1	1
55	в том что	12	1
56	и те кто	1	1
57	в одном отношении	1	1
58	он должен быть	1	1
59	но и в	1	1
60	в этом отношении	3	1
61	в гораздо большей	1	1
62	широком смысле слова	4	1
63	с этой точки	1	1
64	вместе с тем	3	1
65	а кроме того	1	1
66	т е в	4	1
67	в данном случае	4	1
68	то ни было	1	1
69	ни к какому	1	1
70	зависимости от того	1	1
71	а также и	2	1
72	смысле слова в	1	1
73	то что собственно	1	1
74	в отличие от	3	1
75	по сравнению с	3	1
76	все же в	1	1
77	так или иначе	4	1
78	текста и т	2	1
79	т е на	1	1
80	с разных сторон	1	1
81	чтобы понять что	1	1
82	но вместе с	2	1
83	во взглядах на	1	1
84	в точном смысле	1	1
85	с другой стороны	5	1
86	в каждом своем	1	1
87	так же как	1	1
88	с историей других	1	1
89	и в том	3	1
90	все то что	1	1
91	в широком смысле	7	1
92	по себе не	1	1
93	этой точки зрения	1	1
94	как некоторое единство	1	1
95	до тех пор	1	1
96	от того что	1	1
97	которая сама по	1	1
98	всего того что	1	1
99	друг для друга	1	1
100	не только с	1	1
101	с самого начала	1	1
102	в одном месте	1	1
103	нужно сказать что	1	1
104	в том отношении	3	1
105	но все же	3	1
106	том отношении что	3	1
107	с этой стороны	1	1
108	как своего рода	1	1
109	один из важнейших	1	1
110	как мы знаем	1	1
111	заключается в том	3	1
112	каждой из них	1	1
113	что же собственно	1	1
114	и каковы его	1	1
115	к тому что	1	1
116	тех или иных	3	1
117	в предисловии к	1	1
118	как на элемент	1	1
119	тем не менее	8	1
120	мы уже знаем	1	1
121	строгом смысле этого	1	1
122	художественных произведений не	1	1
123	все это не	1	1
124	не в этом	1	1
125	идет уже не	1	1
126	может быть более	1	1
