N	2gram	Bakhtin_Pr_5	Vladivir
1	и в	35	30
2	то что	10	20
3	в этом	14	20
4	у него	4	19
5	в том	5	18
6	и не	27	18
7	и с	12	14
8	в конце	5	13
9	что он	24	13
10	что в	6	12
11	не только	10	12
12	том что	3	12
13	а в	7	11
14	в его	21	11
15	как мы	8	11
16	сказать что	3	11
17	и вообще	2	10
18	и даже	5	10
19	все же	8	9
20	не может	18	9
21	кроме того	1	9
22	не в	10	9
23	потому что	8	9
24	для него	14	9
25	в то	11	9
26	было бы	3	9
27	не мог	3	8
28	в письме	1	8
29	связи с	1	8
30	что же	7	8
31	вместе с	2	8
32	но и	14	8
33	но в	19	8
34	в своем	2	8
35	в эти	2	7
36	не менее	2	7
37	и все	15	7
38	точки зрения	7	7
39	то есть	16	7
40	а не	4	7
41	никогда не	4	7
42	может быть	14	7
43	которую он	1	7
44	до конца	4	7
45	ни в	2	7
46	в себе	5	6
47	во всяком	4	6
48	еще и	1	6
49	в москве	1	6
50	и к	12	6
51	прежде всего	12	6
52	и его	14	6
53	всяком случае	4	6
54	он был	1	6
55	хотя и	2	6
56	тем не	1	6
57	только в	6	6
58	о чем	1	6
59	об этом	1	6
60	то время	1	6
61	к этому	1	6
62	а именно	1	6
63	все эти	3	5
64	из этого	2	5
65	как и	18	5
66	того же	1	5
67	к концу	3	5
68	при этом	2	5
69	для себя	7	5
70	о его	1	5
71	так и	8	5
72	с ним	7	5
73	в своей	4	5
74	по себе	4	5
75	тот же	4	5
76	того что	3	5
77	в дальнейшем	2	5
78	так что	5	5
79	с этим	3	5
80	в котором	3	5
81	и что	6	5
82	в результате	1	5
83	то в	2	5
84	же касается	1	5
85	но что	2	5
86	все это	14	5
87	в основном	1	5
88	и то	5	5
89	так как	4	5
90	он уже	3	5
91	как бы	31	5
92	в которой	2	4
93	на его	4	4
94	и наконец	7	4
95	можно сказать	1	4
96	так же	7	4
97	ко всему	1	4
98	здесь не	1	4
99	крайней мере	1	4
100	вовсе не	7	4
101	что это	4	4
102	в нем	16	4
103	мы с	2	4
104	и он	2	4
105	по разным	1	4
106	его в	4	4
107	совсем не	3	4
108	с этой	2	4
109	отношение к	6	4
110	в начале	3	4
111	то же	15	4
112	вот что	1	4
113	для меня	1	4
114	в целом	3	4
115	что его	2	4
116	мы должны	3	4
117	с которыми	2	4
118	той же	2	4
119	и мы	1	4
120	то это	1	4
121	это было	2	4
122	него в	1	4
123	в этой	1	4
124	в этих	2	4
125	и на	6	4
126	по крайней	1	4
127	и если	1	4
128	он не	13	4
129	с его	7	4
130	я не	8	4
131	о том	2	4
132	в те	1	4
133	на этот	2	4
134	эти последние	1	4
135	в ней	2	4
136	конечно не	2	4
137	мы знаем	2	4
138	но это	6	4
139	как в	5	3
140	когда мы	1	3
141	и вот	4	3
142	же время	10	3
143	конце концов	3	3
144	но он	4	3
145	и это	5	3
146	где он	4	3
147	этот раз	2	3
148	был и	1	3
149	я его	1	3
150	таким образом	7	3
151	в виде	7	3
152	и больше	1	3
153	наконец в	4	3
154	это в	2	3
155	во всех	3	3
156	те же	2	3
157	им в	2	3
158	но не	6	3
159	хотя бы	2	3
160	под влиянием	3	3
161	к такому	1	3
162	здесь мы	1	3
163	дело в	1	3
164	что касается	1	3
165	нам кажется	1	3
166	но вот	1	3
167	отношения к	1	3
168	в весьма	1	3
169	к ней	2	3
170	еще более	1	3
171	с точки	2	3
172	да и	5	3
173	отличие от	2	3
174	только одно	1	3
175	в отношении	9	3
176	не то	1	3
177	я в	4	3
178	и особенно	1	3
179	сказать о	1	3
180	в очень	1	3
181	что я	13	3
182	должно быть	3	3
183	мы сейчас	1	3
184	он и	5	3
185	уже не	3	3
186	в них	4	3
187	всех этих	2	3
188	том же	1	3
189	и для	8	3
190	никак не	1	3
191	что и	3	3
192	в отличие	2	3
193	даже и	3	3
194	нет ничего	1	3
195	сравнительно с	1	3
196	под названием	1	3
197	тем более	1	3
198	быть в	2	3
199	уже в	3	3
200	и как	2	3
201	в данном	1	3
202	в свою	1	3
203	и из	1	2
204	не могла	1	2
205	вот вам	1	2
206	глубокой и	1	2
207	был в	1	2
208	а вот	1	2
209	эту тему	1	2
210	очень много	1	2
211	можно и	1	2
212	по двум	1	2
213	же это	1	2
214	в двух	1	2
215	мыслей и	1	2
216	ее на	1	2
217	время как	2	2
218	раз и	3	2
219	стремится к	6	2
220	после того	1	2
221	а то	1	2
222	мы сказали	1	2
223	к нему	13	2
224	него и	3	2
225	с ней	1	2
226	общего дела	1	2
227	у вас	1	2
228	я и	2	2
229	и во	3	2
230	даже в	5	2
231	его и	3	2
232	мы не	1	2
233	где на	1	2
234	на котором	1	2
235	человек не	1	2
236	нисколько не	1	2
237	но тем	1	2
238	в их	1	2
239	которой он	3	2
240	с тем	3	2
241	если не	1	2
242	но кроме	1	2
243	о в	1	2
244	вернулся к	1	2
245	к той	1	2
246	он сам	6	2
247	отрывок из	2	2
248	но все	4	2
249	этого не	3	2
250	для вас	2	2
251	меня и	1	2
252	здесь в	2	2
253	меня не	4	2
254	кажется что	2	2
255	и очень	1	2
256	в той	4	2
257	данном случае	1	2
258	к тому	6	2
259	он все	2	2
260	это не	3	2
261	мы видели	2	2
262	не имел	1	2
263	из его	2	2
264	мысли и	1	2
265	на все	1	2
266	и сам	7	2
267	и прежде	4	2
268	что вы	2	2
269	к вам	1	2
270	на меня	6	2
271	а что	2	2
272	с которым	4	2
273	в чем	4	2
274	что не	4	2
275	в статье	1	2
276	к его	1	2
277	того чтобы	1	2
278	прямо и	1	2
279	не на	1	2
280	как он	2	2
281	но уже	2	2
282	свою очередь	1	2
283	и от	3	2
284	в сущности	14	2
285	здесь можно	1	2
286	вы не	2	2
287	во многих	1	2
288	уже давно	1	2
289	для того	1	2
290	она не	1	2
291	как я	1	2
292	и потому	1	2
293	ничего не	3	2
294	же и	4	2
295	а другие	1	2
296	иной раз	1	2
297	у которого	1	2
298	не о	4	2
299	с известной	1	2
300	и может	1	2
301	ему в	1	2
302	без всякого	2	2
303	котором все	1	2
304	что эти	1	2
305	друг друга	2	2
306	сам по	2	2
307	я очень	3	2
308	мы уже	8	2
309	будто бы	2	2
310	и часто	1	2
311	приходит к	1	2
312	в самом	6	2
313	а он	3	2
314	себе в	1	2
315	у достоевского	12	2
316	бы с	2	2
317	как к	5	2
318	полемика с	4	2
319	и она	1	2
320	на этом	2	2
321	в петербурге	1	2
322	их в	2	2
323	бы его	3	2
324	в своих	1	2
325	в общем	3	2
326	но из	1	2
327	правда в	1	2
328	он дает	2	2
329	же в	1	2
330	есть нечто	1	2
331	но по	1	2
332	меня в	2	2
333	от нас	1	2
334	тогда и	2	2
335	и до	1	2
336	себя в	2	2
337	и вы	2	2
338	или как	3	2
339	необходимостью и	1	2
340	нас в	1	2
341	я хотел	2	2
342	тут же	1	2
343	как будто	4	2
344	уже и	2	2
345	он прямо	1	2
346	себе и	7	2
347	в виду	3	2
348	о нем	2	2
349	еще один	2	2
350	можно было	2	2
351	не могу	3	2
352	еще в	4	2
353	однако в	2	2
354	этот отрывок	1	2
355	и по	2	2
356	из письма	2	2
357	по своему	4	2
358	i здесь	2	2
359	и при	1	2
360	что по	1	1
361	свои собственные	2	1
362	всех его	1	1
363	становилось в	1	1
364	одним из	1	1
365	нем он	1	1
366	не сказал	1	1
367	ни одного	9	1
368	каждый из	2	1
369	и совершенно	1	1
370	и этот	2	1
371	главным образом	1	1
372	вы может	1	1
373	его внутреннего	2	1
374	же он	1	1
375	все более	1	1
376	но она	1	1
377	отношении к	7	1
378	и того	2	1
379	личное обращение	1	1
380	суждение о	1	1
381	ты не	1	1
382	еще не	7	1
383	в свое	1	1
384	дела в	1	1
385	говорил это	2	1
386	я вовсе	1	1
387	последнее слово	4	1
388	что их	1	1
389	в него	3	1
390	новых точек	1	1
391	а ведь	1	1
392	за что	1	1
393	и ведет	1	1
394	очень часто	2	1
395	говорить о	3	1
396	общения с	1	1
397	в бесах	1	1
398	всю жизнь	2	1
399	так сказать	2	1
400	любовь к	1	1
401	бы то	3	1
402	ним не	1	1
403	и ни	2	1
404	что они	6	1
405	чем он	1	1
406	в нескольких	1	1
407	как например	1	1
408	тех кто	1	1
409	на которые	1	1
410	его но	1	1
411	появилось в	1	1
412	для всех	1	1
413	у меня	6	1
414	в этот	2	1
415	мы здесь	1	1
416	на тему	2	1
417	есть не	1	1
418	заставить его	1	1
419	но даже	1	1
420	рядом с	4	1
421	к богу	1	1
422	этот принцип	1	1
423	несколько позже	1	1
424	вы меня	1	1
425	ли ты	1	1
426	рад что	2	1
427	над ним	1	1
428	то он	1	1
429	было того	1	1
430	тайно от	1	1
431	в жизни	2	1
432	говорил что	1	1
433	в произведении	2	1
434	с самим	15	1
435	сих пор	1	1
436	вследствие своей	1	1
437	свое время	1	1
438	решился и	1	1
439	нему с	1	1
440	это конечно	1	1
441	его можно	1	1
442	в вашей	2	1
443	но мы	1	1
444	ним и	1	1
445	разве вы	1	1
446	и которая	1	1
447	он боялся	1	1
448	есть все	1	1
449	это дано	2	1
450	и другие	1	1
451	но с	1	1
452	до сих	1	1
453	с глубоким	1	1
454	и без	4	1
455	я этого	2	1
456	два часа	1	1
457	человека с	3	1
458	то и	1	1
459	та же	4	1
460	же самый	1	1
461	как впрочем	1	1
462	и человек	1	1
463	так в	2	1
464	которого мы	1	1
465	я знаю	1	1
466	то ни	3	1
467	и стремится	1	1
468	таким каков	1	1
469	пожалуй что	1	1
470	бы и	2	1
471	тут я	1	1
472	в одном	6	1
473	есть второй	1	1
474	не выдержал	1	1
475	менее всего	1	1
476	ну а	1	1
477	мне надо	1	1
478	слова не	2	1
479	те которые	1	1
480	по его	1	1
481	речи в	2	1
482	со всеми	3	1
483	исповедь не	1	1
484	что только	1	1
485	он во	2	1
486	эти слова	3	1
487	его к	3	1
488	или даже	1	1
489	за то	1	1
490	еще из	1	1
491	он говорил	4	1
492	применил к	1	1
493	еще две	1	1
494	это очень	1	1
495	независимо от	1	1
496	в сердце	1	1
497	сводится к	3	1
498	начала в	1	1
499	отношением к	3	1
500	в которых	2	1
501	все его	4	1
502	тонким и	1	1
503	но только	3	1
504	уже после	1	1
505	этом смысле	3	1
506	и самого	1	1
507	почти никогда	1	1
508	что человек	1	1
509	например в	2	1
510	в себя	1	1
511	здесь с	1	1
512	между ними	1	1
513	и третий	1	1
514	столкновение с	1	1
515	о своей	3	1
516	не удалось	1	1
517	себе как	1	1
518	к чему	1	1
519	особенно в	2	1
520	уже с	2	1
521	дело и	1	1
522	же был	1	1
523	он ни	1	1
524	с теми	1	1
525	что даже	2	1
526	который однако	1	1
527	и отчасти	2	1
528	этом отношении	1	1
529	и словом	1	1
530	нет и	4	1
531	но как	4	1
532	он тут	2	1
533	в иване	1	1
534	но они	1	1
535	вот в	1	1
536	высшей степени	3	1
537	к своему	5	1
538	он приводит	1	1
539	времени и	2	1
540	но я	2	1
541	больше в	1	1
542	и других	1	1
543	некоторое время	1	1
544	него самого	1	1
545	вы сами	2	1
546	же из	1	1
547	и весь	1	1
548	этом случае	1	1
549	всей своей	2	1
550	будет и	2	1
551	тех же	1	1
552	об исповеди	1	1
553	был не	1	1
554	о вас	1	1
555	что этот	1	1
556	он оказывается	1	1
557	без всяких	1	1
558	на него	5	1
559	которые в	1	1
560	и всегда	1	1
561	три свидания	1	1
562	который является	1	1
563	он хочет	4	1
564	и мне	1	1
565	лицо его	1	1
566	а как	2	1
567	в тот	1	1
568	даже с	1	1
569	не были	1	1
570	что имеет	1	1
571	теперь же	2	1
572	вид что	1	1
573	есть еще	1	1
574	больше всего	1	1
575	душевных и	1	1
576	в качестве	1	1
577	от него	6	1
578	в душе	2	1
579	бы на	1	1
580	и лишь	2	1
581	требует от	1	1
582	любви к	1	1
583	них не	1	1
584	за собой	3	1
585	что такое	1	1
586	что из	1	1
587	лишь в	7	1
588	больше и	1	1
589	ему во	1	1
590	он особенно	1	1
591	тут и	1	1
592	в г	1	1
593	пока еще	2	1
594	для нее	1	1
