N	3gram	Losev_Prob_3	DiskursI
1	в том что	9	13
2	с одной стороны	1	9
3	о том что	3	5
4	в отличие от	2	4
5	к тому же	1	4
6	но при этом	1	3
7	далеко еще не	1	3
8	той или иной	8	3
9	не может быть	5	3
10	и как бы	2	3
11	с другой стороны	5	3
12	в то же	4	3
13	по себе не	1	2
14	что же касается	4	2
15	и того же	1	2
16	а не в	1	2
17	то же самое	7	2
18	и не только	1	2
19	сами по себе	6	2
20	обратить внимание на	1	2
21	по крайней мере	5	2
22	в данном случае	7	2
23	в том чтобы	1	2
24	не только в	2	2
25	хотя и в	1	2
26	более или менее	1	2
27	сказать и о	1	2
28	то есть в	3	2
29	но отнюдь не	1	2
30	по сути дела	1	2
31	можно сказать что	2	2
32	только в том	1	2
33	одного и того	1	2
34	и может быть	1	1
35	в этом случае	5	1
36	точка зрения на	1	1
37	в чистом виде	2	1
38	точки зрения на	1	1
39	обнаруживает себя в	1	1
40	дело в том	3	1
41	одним и тем	1	1
42	далеко не все	1	1
43	но и о	1	1
44	на самом деле	2	1
45	в котором он	1	1
46	зрения на него	1	1
47	имеют дело с	1	1
48	как раз и	4	1
49	значении этого слова	1	1
50	о том как	2	1
51	с точки зрения	2	1
52	том что всякое	1	1
53	до сих пор	2	1
54	том что вся	2	1
55	сам по себе	6	1
56	что он не	1	1
57	самое можно сказать	1	1
58	в первую очередь	3	1
59	тех случаях когда	1	1
60	только то что	2	1
61	из того что	1	1
62	в таком случае	4	1
63	том или ином	2	1
64	перед нами не	1	1
65	другой стороны это	1	1
66	ту или иную	1	1
67	одно и то	3	1
68	только потому что	2	1
69	в целом и	1	1
70	как мы видели	2	1
71	то что и	1	1
72	содержит в себе	3	1
73	и тем же	1	1
74	тем что он	1	1
75	и потому что	1	1
76	как будто бы	3	1
77	во всех этих	1	1
78	в евгении онегине	1	1
79	требует для себя	1	1
80	как и вообще	1	1
81	в связи с	7	1
82	том что он	1	1
83	один я на	1	1
84	во всяком случае	6	1
85	не то чтобы	1	1
86	сказать что даже	1	1
87	в тех случаях	1	1
88	того или иного	3	1
89	с той или	5	1
90	к тому или	1	1
91	так и в	1	1
92	это и есть	1	1
93	как и всякий	1	1
94	и тем более	2	1
95	же самое можно	1	1
96	заключается в том	3	1
97	речь идет о	1	1
98	тому или иному	1	1
99	которая может быть	1	1
100	на то что	1	1
101	и что эту	1	1
102	в результате этого	1	1
103	и то же	4	1
104	я на дорогу	1	1
105	в том и	1	1
106	тех или иных	4	1
107	тем более не	1	1
108	тем не менее	10	1
109	дело не в	2	1
110	выхожу один я	1	1
111	может быть в	1	1
112	как и в	1	1
113	в себе не	1	1
114	в своей основе	1	1
115	в том или	2	1
116	что не только	1	1
117	но и к	1	1
