N	3gram	Bakhtin_Fr_2	NovoeSre
1	не может быть	4	4
2	подобно тому как	2	3
3	в средние века	8	3
4	в наше время	1	3
5	во всех сферах	1	3
6	что в нем	1	2
7	в эпоху когда	1	2
8	с одной стороны	3	2
9	с другой стороны	3	2
10	знает что будет	1	1
11	к себе отношения	1	1
12	но это есть	1	1
13	только потому что	1	1
14	есть лишь в	1	1
15	до сих пор	4	1
16	и во всех	3	1
17	и не может	1	1
18	в эпоху ренессанса	2	1
19	в эту эпоху	4	1
20	но и в	4	1
21	в том чтобы	1	1
22	не только в	5	1
23	в одну эпоху	1	1
24	xiv и xv	1	1
25	не могут быть	1	1
26	средние века были	2	1
27	ни в одну	2	1
28	в одну из	1	1
29	во всяком случае	2	1
30	о том что	3	1
31	то что в	1	1
32	в значительной степени	2	1
33	выходит за пределы	1	1
34	в новое время	1	1
35	в большинстве случаев	1	1
36	в том что	1	1
37	как и в	1	1
38	прежде всего как	1	1
