N	3gram	Bakhtin_Fr_5	Poddanst
1	в то же	9	7
2	то же время	9	7
3	в том что	6	4
4	с точки зрения	2	3
5	в том числе	4	2
6	и в то	1	2
7	в значительной мере	1	2
8	в полной мере	1	2
9	том что в	1	1
10	в ней и	1	1
11	далеко не все	1	1
12	же время в	1	1
13	можно говорить о	2	1
14	в отличие от	2	1
15	в последующие века	1	1
16	что дело идет	1	1
17	вместе с тем	1	1
18	и в частности	1	1
19	все это в	1	1
20	так же как	4	1
21	там где он	1	1
22	не может исчезнуть	1	1
23	но в общем	2	1
24	и тех кто	1	1
25	не может быть	2	1
26	и в формах	1	1
27	одно из важнейших	1	1
28	но в то	5	1
29	именно потому что	1	1
30	в большинстве случаев	2	1
31	и не менее	1	1
32	друг с другом	2	1
33	для того чтобы	6	1
34	в отрыве от	2	1
35	том числе и	2	1
