N	2gram	Berdyaev_M_1	Myslijsy
1	то есть	3	34
2	потому что	16	33
3	то что	5	29
4	может быть	30	26
5	в этом	20	23
6	и в	28	23
7	в том	6	23
8	и не	11	18
9	что в	10	17
10	только в	6	15
11	в себе	7	14
12	для нас	3	14
13	как и	5	14
14	того что	7	14
15	так как	3	14
16	если бы	2	13
17	не было	18	12
18	а не	25	12
19	том что	3	12
20	не может	28	11
21	не в	16	11
22	что я	1	11
23	но и	25	11
24	по отношению	2	10
25	и потому	10	10
26	тем что	4	10
27	не только	29	10
28	что мы	1	10
29	между тем	1	9
30	не есть	9	9
31	о том	2	8
32	отношению к	2	8
33	мы не	1	8
34	заключает в	3	8
35	было бы	10	8
36	стало быть	1	8
37	но в	7	8
38	то это	1	8
39	сказать что	2	8
40	в своем	10	8
41	мы говорим	1	7
42	вовсе не	1	7
43	в нем	13	7
44	с тем	9	7
45	и т	1	7
46	с этим	3	7
47	это не	5	7
48	мысли и	2	7
49	когда я	1	7
50	как в	2	7
51	что такое	1	7
52	в силу	1	7
53	и что	2	7
54	могут быть	2	7
55	что и	4	7
56	в которой	6	6
57	когда мы	2	6
58	человеческого духа	26	6
59	так и	1	6
60	вместе с	6	6
61	для того	2	6
62	что не	1	6
63	в ряду	1	6
64	и к	2	6
65	во всяком	1	5
66	не менее	1	5
67	к нему	7	5
68	с ним	2	5
69	примыкает к	1	5
70	есть для	1	5
71	бы и	3	5
72	должно быть	3	5
73	а в	4	5
74	что же	1	5
75	для него	11	5
76	в его	9	5
77	не имеет	3	5
78	так что	1	5
79	и мы	2	5
80	уже в	4	5
81	имеет для	1	5
82	находится в	1	5
83	тем более	1	5
84	все это	6	5
85	и то	1	5
86	есть только	2	5
87	как бы	2	5
88	и с	3	4
89	когда человек	3	4
90	так же	1	4
91	что как	1	4
92	каждый раз	1	4
93	и все	10	4
94	сих пор	2	4
95	точки зрения	4	4
96	хотя бы	3	4
97	до сих	2	4
98	то и	1	4
99	того чтобы	2	4
100	в одном	1	4
101	есть не	4	4
102	для человека	3	4
103	в той	2	4
104	новое слово	1	4
105	есть то	1	4
106	в то	2	4
107	и о	1	4
108	да и	1	4
109	в истории	2	4
110	мы имеем	1	4
111	в котором	8	4
112	и та	1	4
113	от того	1	4
114	его в	3	4
115	есть уже	4	4
116	т п	1	4
117	в каком	2	4
118	что он	10	4
119	а именно	1	4
120	быть может	7	4
121	и более	1	4
122	все эти	2	3
123	и из	1	3
124	то мы	1	3
125	еще до	1	3
126	еще не	1	3
127	с нею	1	3
128	в разных	1	3
129	только от	1	3
130	это есть	3	3
131	ведет к	6	3
132	и вместе	4	3
133	том случае	1	3
134	было в	1	3
135	вообще и	1	3
136	самом деле	1	3
137	бы не	2	3
138	в смысле	1	3
139	так в	1	3
140	есть всегда	1	3
141	и есть	14	3
142	от одного	1	3
143	в искусстве	1	3
144	и только	1	3
145	что человек	3	3
146	на самом	1	3
147	более чем	1	3
148	в этих	4	3
149	что есть	5	3
150	ко всем	3	3
151	душевной жизни	2	3
152	связанная с	1	3
153	о человеке	23	3
154	никогда не	14	3
155	всяком случае	1	3
156	даже и	2	3
157	уже не	4	3
158	в каждом	1	3
159	переход от	1	3
160	в них	4	3
161	из одного	1	3
162	мы уже	1	3
163	мысли не	1	3
164	ряду других	1	3
165	как человек	1	3
166	в самом	11	3
167	не от	1	3
168	и на	6	3
169	к тому	3	3
170	или от	2	3
171	нет ничего	7	3
172	ни был	1	3
173	лишь в	6	3
174	и состоит	1	3
175	ее не	1	3
176	и до	1	3
177	давно уже	1	3
178	говорим что	1	3
179	в которых	4	3
180	все более	1	3
181	и их	3	3
182	быть назван	1	3
183	ту же	1	3
184	в виду	2	3
185	ответить на	1	3
186	этот вопрос	1	3
187	человека и	14	3
188	к одному	1	3
189	себе в	1	3
190	и по	4	3
191	но это	1	3
192	если и	1	2
193	не значит	2	2
194	но нет	1	2
195	из себя	1	2
196	на том	3	2
197	в состоянии	1	2
198	в более	2	2
199	и для	2	2
200	никто не	2	2
201	это потому	1	2
202	есть лишь	9	2
203	в сложном	1	2
204	то он	1	2
205	как ни	1	2
206	одна и	1	2
207	в обществе	1	2
208	человека а	3	2
209	в ее	3	2
210	бы ни	1	2
211	можно лишь	1	2
212	иное как	1	2
213	имеет свою	1	2
214	не были	1	2
215	и без	1	2
216	человек не	10	2
217	от него	4	2
218	с психологической	1	2
219	в другой	1	2
220	в это	1	2
221	влияние на	1	2
222	котором она	1	2
223	если так	1	2
224	лишь один	1	2
225	бы в	2	2
226	и я	5	2
227	жизни к	1	2
228	в образе	1	2
229	человеческой природы	20	2
230	оно не	1	2
231	духа и	4	2
232	и сама	2	2
233	быть не	2	2
234	я в	1	2
235	отношение к	4	2
236	из него	1	2
237	вопрос о	2	2
238	света и	2	2
239	не так	3	2
240	для понимания	1	2
241	мысли о	2	2
242	в первый	1	2
243	он все	1	2
244	к ней	4	2
245	отношений между	1	2
246	еще более	1	2
247	значительной степени	1	2
248	и даже	1	2
249	что иное	1	2
250	во многих	1	2
251	мысли в	1	2
252	более и	1	2
253	непосредственно примыкает	1	2
254	и его	9	2
255	а что	1	2
256	у нас	5	2
257	к его	1	2
258	не существует	2	2
259	в течение	1	2
260	можно назвать	1	2
261	природы и	1	2
262	человека из	2	2
263	что до	1	2
264	к ним	1	2
265	том смысле	2	2
266	отлично от	1	2
267	об этом	1	2
268	и быть	1	2
269	во время	1	2
270	по своему	2	2
271	и др	1	2
272	не вполне	1	2
273	оно есть	1	2
274	или лучше	1	2
275	от ее	1	2
276	и мысли	1	2
277	не что	1	2
278	не могут	5	2
279	мы видим	2	2
280	есть вместе	1	2
281	в мире	10	2
282	тем как	1	2
283	она не	4	2
284	один из	4	2
285	и когда	2	2
286	не могу	1	2
287	не как	4	2
288	он не	24	2
289	в своих	1	2
290	быть и	1	2
291	я не	1	2
