N	2gram	Bakhtin_Pr_2	IolandNe
1	и с	5	3
2	и не	29	2
3	творчества достоевского	1	2
4	в этом	13	2
5	он не	9	2
6	ничего не	3	2
7	что в	4	2
8	достоевского а	1	2
9	нисколько не	1	1
10	смердякова и	1	1
11	что для	1	1
12	все эти	5	1
13	то и	2	1
14	с другой	4	1
15	для него	8	1
16	того чтобы	1	1
17	того что	2	1
18	отношению к	5	1
19	и о	2	1
20	автор не	1	1
21	без этого	1	1
22	от нее	1	1
23	в целом	2	1
24	и та	2	1
25	в художественном	3	1
26	художественном творчестве	3	1
27	во многом	1	1
28	с героем	1	1
29	так и	3	1
30	и со	3	1
31	его личности	1	1
32	с голядкиным	1	1
33	автора и	2	1
34	видит в	1	1
35	в основе	1	1
36	достоевского с	1	1
37	жизни и	1	1
38	по отношению	5	1
39	себя в	3	1
40	и сам	7	1
41	стало быть	1	1
42	по поводу	1	1
43	и очень	2	1
44	если бы	3	1
45	того же	3	1
46	от этого	1	1
47	а с	2	1
48	и еще	2	1
49	и чрезвычайно	1	1
50	в значительной	1	1
51	его цель	1	1
52	униженных и	1	1
53	бы в	5	1
54	из подполья	2	1
55	а в	5	1
56	самого достоевского	1	1
57	по существу	3	1
58	и в	43	1
59	не случайно	1	1
60	ибо и	2	1
61	и оскорбленных	1	1
62	в эту	3	1
63	все это	5	1
64	со всеми	3	1
65	тем что	3	1
66	и др	2	1
67	он с	3	1
68	к достоевскому	1	1
69	я не	4	1
70	другой стороны	3	1
71	никогда не	9	1
72	в них	4	1
73	и без	2	1
74	художественного творчества	2	1
