N	3gram	Nazirov_Vr_1	slovoVRo
1	не может быть	2	15
2	то же время	4	4
3	в том что	2	4
4	в то же	4	4
5	но в то	2	3
6	в этом отношении	1	3
7	с точки зрения	2	3
8	в мировой литературе	1	2
9	во всяком случае	1	2
10	может быть и	1	2
11	до сих пор	1	2
12	в связи с	3	2
13	в свою очередь	1	2
14	о том что	1	1
15	он не только	2	1
16	же время и	1	1
17	а следовательно и	1	1
18	а также в	1	1
19	и в то	1	1
20	не только не	1	1
21	не только как	1	1
22	с другой стороны	1	1
23	на первый план	1	1
24	в той же	1	1
25	не с точки	1	1
26	что как раз	1	1
27	и не может	1	1
28	как он сам	1	1
29	но это как	1	1
30	но в этом	1	1
31	на то что	1	1
32	речь идет о	1	1
33	для нас оно	1	1
34	все же он	1	1
35	далеко не все	1	1
36	лишнего человека в	2	1
37	гоголя и достоевского	1	1
38	тем не менее	1	1
