N	3gram	Bakhtin_Fr_7	Russkaja
1	то же время	9	10
2	в то же	9	10
3	с точки зрения	3	9
4	в том что	3	7
5	на самом деле	1	6
6	во всяком случае	1	6
7	более или менее	2	4
8	к которой он	1	4
9	можно было бы	2	3
10	в данном случае	1	3
11	в конце концов	4	3
12	а следовательно и	2	2
13	в том и	1	2
14	о том чтобы	1	2
15	том и в	1	2
16	и в том	1	2
17	и во всяком	1	2
18	о том что	1	2
19	и тем самым	1	2
20	друг от друга	1	2
21	в другом случае	1	2
22	в большинстве случаев	2	2
23	и в другом	1	2
24	уже знаем что	1	1
25	прежде всего в	4	1
26	дело в том	2	1
27	в свою очередь	3	1
28	по отношению к	2	1
29	в том числе	4	1
30	то же самое	1	1
31	в том же	1	1
32	мы уже знаем	1	1
33	в нем все	1	1
34	не может иметь	1	1
35	особое значение и	1	1
36	в этом отношении	2	1
37	том числе и	2	1
38	за то что	3	1
39	как и при	1	1
40	но вряд ли	1	1
41	на этот вопрос	1	1
42	что все это	1	1
43	но по существу	2	1
44	не подлежит сомнению	1	1
45	роль в истории	1	1
46	в значительной степени	2	1
47	в применении к	1	1
48	же время в	1	1
49	но в то	3	1
50	только на этой	1	1
51	еще не было	1	1
52	и в этом	1	1
53	не только для	1	1
54	в связи с	1	1
55	большинстве случаев это	1	1
56	это в данном	1	1
57	о котором мы	1	1
58	в его целом	2	1
59	что он есть	1	1
60	это и есть	1	1
61	содержат в себе	1	1
62	яркое выражение в	1	1
63	но и для	1	1
64	с самого начала	1	1
65	которой он считает	1	1
66	тем более что	1	1
67	но на самом	1	1
68	мы не знаем	1	1
69	и прежде всего	1	1
70	к тому же	1	1
71	во всех странах	1	1
72	не трудно видеть	1	1
