N	3gram	Tiupa_Teor_1	Psycholo
1	для того чтобы	1	19
2	в том что	8	14
3	с одной стороны	2	12
4	о том что	1	6
5	заключается в том	1	6
6	к тому что	2	6
7	с другой стороны	5	5
8	так же точно	1	5
9	заключает в себе	1	4
10	а с другой	2	4
11	не только не	2	4
12	таким образом что	1	3
13	иметь в виду	1	3
14	никак не может	1	3
15	то же самое	1	3
16	из того что	1	3
17	одно и то	1	3
18	и то же	1	3
19	и того же	3	2
20	что иное как	1	2
21	мы видим в	1	2
22	состоит в том	5	2
23	одного и того	3	2
24	как это делает	1	2
25	может быть и	2	2
26	с точки зрения	3	2
27	в отличие от	6	2
28	так же как	1	2
29	в данном случае	5	2
30	все то что	1	2
31	не может быть	4	2
32	ту же самую	1	2
33	не что иное	1	2
34	той или иной	1	2
35	можно сказать что	2	2
36	друг от друга	1	2
37	как бы в	1	2
38	именно потому что	1	2
39	том что она	1	1
40	и в сущности	1	1
41	том что в	1	1
42	что в основе	2	1
43	дело в том	1	1
44	мы имеем в	3	1
45	ни к каким	1	1
46	по отношению к	4	1
47	более или менее	2	1
48	вдоль улиц шумных	1	1
49	и вся она	1	1
50	в этом смысле	2	1
51	живопись графика скульптура	1	1
52	а в том	1	1
53	между собой в	1	1
54	те и другие	1	1
55	в одной из	1	1
56	находятся между собой	1	1
57	что он должен	1	1
58	я вдоль улиц	1	1
59	до известной степени	2	1
60	только то что	1	1
61	искусства может быть	1	1
62	но он не	1	1
63	том или ином	1	1
64	ли я вдоль	1	1
65	в основе своей	1	1
66	входят в состав	1	1
67	по крайней мере	1	1
68	то или иное	1	1
69	в том случае	1	1
70	строго говоря и	1	1
71	в эстетический объект	2	1
72	не могло быть	2	1
73	брожу ли я	1	1
74	в том или	1	1
75	в основе его	1	1
76	в художественном произведении	1	1
77	во внешнем мире	1	1
78	что речь в	1	1
79	у нее нет	1	1
80	как один из	1	1
81	в произведении искусства	1	1
82	не могут быть	2	1
83	это имеет место	1	1
84	и в этой	1	1
85	имеем дело с	1	1
86	приводит к тому	2	1
87	именно в этом	1	1
88	первой части романа	1	1
89	того или иного	3	1
90	в русском языке	1	1
91	произведения искусства как	1	1
92	в то время	1	1
93	в свою очередь	2	1
94	а не ее	1	1
95	но во всех	1	1
96	незаметно для читателя	1	1
97	с первых же	1	1
98	в конечном счете	6	1
99	и поэтому не	1	1
100	во времени и	1	1
101	в целом ряде	1	1
102	в евгении онегине	1	1
103	мы имеем дело	2	1
104	художественного произведения мы	1	1
105	же точно и	1	1
106	в полной мере	1	1
107	в стихе как	1	1
108	вбирает в себя	1	1
109	в русской литературе	2	1
